 INPUT STRING:	عاوزه

 INPUT STRING:	بافتحه
     IS_TRANS:	bAftHh
        INDEX:	P66W6
      OFFSETS:	25-31
       TOKENS:	P66W8-P66W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(bAafotaHuh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+Aa+fotaH+uh
        GLOSS:	[present-tense]+I+open/conquer/be opened/be conquered+it/him

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P66W7
      OFFSETS:	32-36
       TOKENS:	P66W11-P66W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	ماليش
     IS_TRANS:	mAly$
        INDEX:	P66W8
      OFFSETS:	37-42
       TOKENS:	P66W12-P66W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAly$)
          POS:	NO_FUNC
          VOC:	mAly$
        GLOSS:	nogloss

 INPUT STRING:	مزاج
     IS_TRANS:	mzAj
        INDEX:	P66W9
      OFFSETS:	43-47
       TOKENS:	P66W13-P66W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAj)
          POS:	NOUN
          VOC:	mazAj
        GLOSS:	mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P67W1
      OFFSETS:	0-5
       TOKENS:	P67W1-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+uh+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P67W2
      OFFSETS:	6-10
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man/men/pedestrian/pedestrians

 INPUT STRING:	بيخاف
     IS_TRANS:	byxAf
        INDEX:	P67W3
      OFFSETS:	11-16
       TOKENS:	P67W6-P67W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(biyixAf)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+xAf
        GLOSS:	[present-tense]+he/it+fear/be afraid (of)/fear for/be worried (of)

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P67W4
      OFFSETS:	17-21
       TOKENS:	P67W8-P67W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تواجه
     IS_TRANS:	twAjh
        INDEX:	P67W5
      OFFSETS:	22-27
       TOKENS:	P67W9-P67W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjih_1]
   UNSPLITVOC:	(tiwAjih)
          POS:	IV2MS+IV
          VOC:	ti+wAjih
        GLOSS:	you+confront/be faced with/face

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P67W6
      OFFSETS:	28-32
       TOKENS:	P67W10-P67W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P67W7
      OFFSETS:	33-35
       TOKENS:	P67W12-P67W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P67W8
      OFFSETS:	36-38
       TOKENS:	P67W13-P67W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	شك
     IS_TRANS:	$k
        INDEX:	P67W9
      OFFSETS:	39-41
       TOKENS:	P67W15-P67W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~_1]
   UNSPLITVOC:	($ak~)
          POS:	NOUN
          VOC:	$ak~
        GLOSS:	doubt/doubts/without a doubt)

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P67W10
      OFFSETS:	42-44
       TOKENS:	P67W16-P67W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P67W11
      OFFSETS:	45-47
       TOKENS:	P67W17-P67W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P67W12
      OFFSETS:	48-52
       TOKENS:	P67W18-P67W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تتلحق
     IS_TRANS:	ttlHq
        INDEX:	P67W13
      OFFSETS:	53-58
       TOKENS:	P67W19-P67W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(titiliHiq)
          POS:	IV3FS+IV_PASS
          VOC:	ti+tiliHiq
        GLOSS:	it+be attached

 INPUT STRING:	حاسس
     IS_TRANS:	HAss
        INDEX:	P68W1
      OFFSETS:	0-4
       TOKENS:	P68W1-P68W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAsis)
          POS:	ADJ.VN
          VOC:	HAsis
        GLOSS:	feeling

 INPUT STRING:	بان
     IS_TRANS:	bAn
        INDEX:	P68W2
      OFFSETS:	5-8
       TOKENS:	P68W2-P68W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ina~_1]
   UNSPLITVOC:	(bi<ina~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<ina~
        GLOSS:	for+that

 INPUT STRING:	مزاجك
     IS_TRANS:	mzAjk
        INDEX:	P68W3
      OFFSETS:	9-14
       TOKENS:	P68W4-P68W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	mazAj+ak
        GLOSS:	mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod+your

 INPUT STRING:	قليل
     IS_TRANS:	qlyl
        INDEX:	P68W4
      OFFSETS:	15-19
       TOKENS:	P68W6-P68W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaliyl_1]
   UNSPLITVOC:	(qaliyl)
          POS:	ADJ
          VOC:	qaliyl
        GLOSS:	little/few/small/a little/somewhat/briefly/shortly/insufficient

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P68W5
      OFFSETS:	20-25
       TOKENS:	P68W7-P68W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P68W6
      OFFSETS:	26-29
       TOKENS:	P68W9-P68W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	باقولك
     IS_TRANS:	bAqwlk
        INDEX:	P68W7
      OFFSETS:	30-36
       TOKENS:	P68W10-P68W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwlak)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	bi+Aa+quwl+ak
        GLOSS:	[present-tense]+I+said/say/be said/(for example)+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P68W8
      OFFSETS:	37-40
       TOKENS:	P68W13-P68W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	حاول
     IS_TRANS:	HAwl
        INDEX:	P69W1
      OFFSETS:	0-4
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwil)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	HAwil+(null)
        GLOSS:	test/try/attempt/try out/test for ripeness/explore/invent/originate+you

 INPUT STRING:	تهتم
     IS_TRANS:	thtm
        INDEX:	P69W2
      OFFSETS:	5-9
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aihotam~_1]
   UNSPLITVOC:	(tihotam~)
          POS:	IV2MS+IV
          VOC:	ti+hotam~
        GLOSS:	you+be interested/care/concern

 INPUT STRING:	بالموصوع
     IS_TRANS:	bAlmwSwE
        INDEX:	P69W3
      OFFSETS:	10-18
       TOKENS:	P69W3-P69W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAlmwSwE)
          POS:	TYPO
          VOC:	bAlmwSwE
        GLOSS:	nogloss

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P69W4
      OFFSETS:	19-21
       TOKENS:	P69W4-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مزاجي
     IS_TRANS:	mzAjy
        INDEX:	P69W5
      OFFSETS:	22-27
       TOKENS:	P69W5-P69W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mazAj+iy
        GLOSS:	mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod+my

 INPUT STRING:	قليل
     IS_TRANS:	qlyl
        INDEX:	P69W6
      OFFSETS:	28-32
       TOKENS:	P69W7-P69W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaliyl_1]
   UNSPLITVOC:	(qaliyl)
          POS:	ADJ
          VOC:	qaliyl
        GLOSS:	little/few/small/a little/somewhat/briefly/shortly/insufficient

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P69W7
      OFFSETS:	33-37
       TOKENS:	P69W8-P69W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually+[acc.indef.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P70W1
      OFFSETS:	0-4
       TOKENS:	P70W1-P70W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P70W2
      OFFSETS:	5-9
       TOKENS:	P70W3-P70W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sah~il_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate

 INPUT STRING:	بدأت
     IS_TRANS:	bd>t
        INDEX:	P71W1
      OFFSETS:	0-4
       TOKENS:	P71W1-P71W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	bada>+it
        GLOSS:	start/begin+it/they/she

 INPUT STRING:	الدوامة
     IS_TRANS:	AldwAmp
        INDEX:	P71W2
      OFFSETS:	5-12
       TOKENS:	P71W2-P71W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daw~Amap_1]
   UNSPLITVOC:	(Aldaw~Amap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daw~Am+ap
        GLOSS:	the+dizziness/whirlpool/vortex+[fem.sg.]

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P71W3
      OFFSETS:	13-16
       TOKENS:	P71W3-P71W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	VERB
          VOC:	yal~A
        GLOSS:	let's

 INPUT STRING:	تصبح
     IS_TRANS:	tSbH
        INDEX:	P71W4
      OFFSETS:	17-21
       TOKENS:	P71W4-P71W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabaH_1]
   UNSPLITVOC:	(tiSobaH)
          POS:	IV2MS+IV
          VOC:	ti+SobaH
        GLOSS:	you+become/begin/start/be/begin a new day

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P71W5
      OFFSETS:	22-25
       TOKENS:	P71W5-P71W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P71W6
      OFFSETS:	26-29
       TOKENS:	P71W6-P71W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P72W1
      OFFSETS:	0-4
       TOKENS:	P72W1-P72W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاكى
     IS_TRANS:	mEAkY
        INDEX:	P72W2
      OFFSETS:	5-10
       TOKENS:	P72W3-P72W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEaki)
          POS:	PREP+PRON_2FS
          VOC:	maEa+ki
        GLOSS:	with+you

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P72W3
      OFFSETS:	11-13
       TOKENS:	P72W5-P72W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Aw)
          POS:	TYPO
          VOC:	Aw
        GLOSS:	nogloss

 INPUT STRING:	منمتيش
     IS_TRANS:	mnmty$
        INDEX:	P72W4
      OFFSETS:	14-20
       TOKENS:	P72W6-P72W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(mA_nimtiy$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+nim+tiy+$
        GLOSS:	not+sleep/lie down+you+not

 INPUT STRING:	وحبيتى
     IS_TRANS:	wHbytY
        INDEX:	P72W5
      OFFSETS:	21-27
       TOKENS:	P72W9-P72W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(wiHab~aytiy)
          POS:	CONJ+PV+PVSUFF_SUBJ:2FS
          VOC:	wi+Hab~+aytiy
        GLOSS:	and+love/like/want+you

 INPUT STRING:	تتكلمى
     IS_TRANS:	ttklmY
        INDEX:	P72W6
      OFFSETS:	28-34
       TOKENS:	P72W11-P72W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(titokal~imiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+tokal~im+iy
        GLOSS:	you+speak/talk/discuss+you

 INPUT STRING:	قوليلى
     IS_TRANS:	qwlylY
        INDEX:	P72W7
      OFFSETS:	35-41
       TOKENS:	P72W12-P72W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	quwl+iy+li+iy
        GLOSS:	said/say/be said/(for example)+you+to/for+I

 INPUT STRING:	اوكي
     IS_TRANS:	Awky
        INDEX:	P73W1
      OFFSETS:	0-4
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aawok~ayoh_1]
   UNSPLITVOC:	(Aawok~ay)
          POS:	INTERJ
          VOC:	Aawok~ayoh
        GLOSS:	ok

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P73W2
      OFFSETS:	5-8
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	اطمن
     IS_TRANS:	ATmn
        INDEX:	P73W3
      OFFSETS:	9-13
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiTam~in_1]
   UNSPLITVOC:	(AaTam~in)
          POS:	IV1S+IV
          VOC:	Aa+Tam~in
        GLOSS:	I+be calm/be reassured

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P73W4
      OFFSETS:	14-16
       TOKENS:	P73W4-P73W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الهبوط
     IS_TRANS:	AlhbwT
        INDEX:	P73W5
      OFFSETS:	17-23
       TOKENS:	P73W5-P73W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hubuwT_1]
   UNSPLITVOC:	(AlhubuwT)
          POS:	DET+NOUN
          VOC:	Al+hubuwT
        GLOSS:	the+landing/descent/drop/fall/downfall/decline

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P73W6
      OFFSETS:	24-27
       TOKENS:	P73W6-P73W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	begin/go+he/it

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P74W1
      OFFSETS:	0-3
       TOKENS:	P74W1-P74W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P74W2
      OFFSETS:	4-7
       TOKENS:	P74W2-P74W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حانام
     IS_TRANS:	HAnAm
        INDEX:	P74W3
      OFFSETS:	8-13
       TOKENS:	P74W3-P74W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(HaAanAm)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+nAm
        GLOSS:	will+I+sleep/lie down

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P74W4
      OFFSETS:	14-17
       TOKENS:	P74W5-P74W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	تصبحى
     IS_TRANS:	tSbHY
        INDEX:	P75W1
      OFFSETS:	0-5
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tSbHY)
          POS:	NO_FUNC
          VOC:	tSbHY
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P75W2
      OFFSETS:	6-9
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P75W3
      OFFSETS:	10-13
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P76W1
      OFFSETS:	0-3
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P76W2
      OFFSETS:	4-8
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P77W1
      OFFSETS:	0-3
       TOKENS:	P77W1-P77W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلقانة
     IS_TRANS:	qlqAnp
        INDEX:	P77W2
      OFFSETS:	4-10
       TOKENS:	P77W2-P77W2
