 INPUT STRING:	اخبار
 INPUT STRING:	محسن
     IS_TRANS:	mHsn
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHas~in_1]
   UNSPLITVOC:	(muHas~in)
          POS:	NOUN
          VOC:	muHas~in
        GLOSS:	embellisher

 INPUT STRING:	اد
     IS_TRANS:	Ad
        INDEX:	P17W4
      OFFSETS:	16-18
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~_1]
   UNSPLITVOC:	(>ad~)
          POS:	NOUN
          VOC:	>ad~
        GLOSS:	size/as

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P17W5
      OFFSETS:	19-22
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	والرغيف
     IS_TRANS:	wAlrgyf
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rigiyf_1]
   UNSPLITVOC:	(wiAlrigiyf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+rigiyf
        GLOSS:	and+the+loaves

 INPUT STRING:	تقيل
     IS_TRANS:	tqyl
        INDEX:	P18W2
      OFFSETS:	8-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(tiqiyl)
          POS:	ADJ
          VOC:	tiqiyl
        GLOSS:	heavy/oppressive/difficult/burdensome/cheeky/insupportable/thick/viscous

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W3
      OFFSETS:	13-15
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	خفيف
     IS_TRANS:	xfyf
        INDEX:	P18W4
      OFFSETS:	16-20
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xafiyf_1]
   UNSPLITVOC:	(xafiyf)
          POS:	ADJ
          VOC:	xafiyf
        GLOSS:	light/slight/sparse

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	برمتيه
     IS_TRANS:	brmtyh
        INDEX:	P19W2
      OFFSETS:	5-11
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baram_1]
   UNSPLITVOC:	(baramtiyh)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3MS
          VOC:	baram+tiy+uh
        GLOSS:	roll+you+him/it

 INPUT STRING:	بزمه
     IS_TRANS:	bzmh
        INDEX:	P19W3
      OFFSETS:	12-16
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*im~ap_1]
   UNSPLITVOC:	(bizim~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+zim~+ap
        GLOSS:	for/to+protection+[fem.sg.]

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(nuS~)
          POS:	NOUN_QUANT
          VOC:	nuS~
        GLOSS:	halves/half/centre half/splitting/crack/gap/cracks/gaps

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلتللك
     IS_TRANS:	qltllk
        INDEX:	P21W2
      OFFSETS:	4-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qltllk)
          POS:	TYPO
          VOC:	qltllk
        GLOSS:	nogloss

 INPUT STRING:	فشفشيه
     IS_TRANS:	f$f$yh
        INDEX:	P21W3
      OFFSETS:	11-17
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$ofi$_1]
   UNSPLITVOC:	(fa$ofi$iyh)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3MS
          VOC:	fa$ofi$+iy+uh
        GLOSS:	break into pieces+you+him/it

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P21W4
      OFFSETS:	18-22
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	ماتبرميش
     IS_TRANS:	mAtbrmy$
        INDEX:	P22W1
      OFFSETS:	0-8
       TOKENS:	P22W1-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baram_1]
   UNSPLITVOC:	(mA_tuborumiy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+tu+borum+iy+$
        GLOSS:	not+you+roll+you+not

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P22W2
      OFFSETS:	9-12
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	مممممم
     IS_TRANS:	mmmmmm
        INDEX:	P23W1
      OFFSETS:	0-6
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um_1]
   UNSPLITVOC:	(mmmmmm)
          POS:	INTERJ
          VOC:	mmmmmm
        GLOSS:	um

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P24W2
      OFFSETS:	4-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عملته
     IS_TRANS:	Emlth
        INDEX:	P24W3
      OFFSETS:	8-13
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaltuh)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS
          VOC:	Eamal+t+uh
        GLOSS:	function/make/act/do+I+it/him

 INPUT STRING:	كيزر
     IS_TRANS:	kyzr
        INDEX:	P24W4
      OFFSETS:	14-18
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kyzr)
          POS:	FOREIGN
          VOC:	kyzr
        GLOSS:	nogloss

 INPUT STRING:	كورته
     IS_TRANS:	kwrth
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaw~ar_1]
   UNSPLITVOC:	(kaw~artuh)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS
          VOC:	kaw~ar+t+uh
        GLOSS:	roll up/wind+I+him/it

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwrap_1]
   UNSPLITVOC:	(kuwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kuwr+ap
        GLOSS:	ball+[fem.sg.]

 INPUT STRING:	صغيرة
     IS_TRANS:	Sgyrp
        INDEX:	P25W3
      OFFSETS:	11-16
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(Sugay~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Sugay~ar+ap
        GLOSS:	young/small+[fem.sg.]

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P26W2
      OFFSETS:	4-9
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmilap)
          POS:	ADJ.VN+PRON_3MS
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	همبروجر
     IS_TRANS:	hmbrwjr
        INDEX:	P26W3
      OFFSETS:	10-17
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hmbrwjr)
          POS:	TYPO
          VOC:	hmbrwjr
        GLOSS:	nogloss

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+ADJ
          VOC:	Al+muhim~
        GLOSS:	the+important/serious

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P27W2
      OFFSETS:	6-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P27W3
      OFFSETS:	9-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasant

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P27W4
      OFFSETS:	13-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	تعبت
     IS_TRANS:	tEbt
        INDEX:	P27W5
      OFFSETS:	19-23
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiEib_1]
   UNSPLITVOC:	(tiEibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tiEib+t
        GLOSS:	work hard/be tired+I

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P27W6
      OFFSETS:	24-27
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	اكله
     IS_TRANS:	Aklh
        INDEX:	P27W7
      OFFSETS:	28-32
       TOKENS:	P27W8-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(Aakoluh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+kol+uh
        GLOSS:	I+eat+it/him

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P27W8
      OFFSETS:	33-36
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مممممم
     IS_TRANS:	mmmmmm
        INDEX:	P28W1
      OFFSETS:	0-6
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um_1]
   UNSPLITVOC:	(mmmmmm)
          POS:	INTERJ
          VOC:	mmmmmm
        GLOSS:	um

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	هههههه
     IS_TRANS:	hhhhhh
        INDEX:	P30W1
      OFFSETS:	0-6
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahahahaha)
          POS:	INTERJ
          VOC:	hahahahahaha
        GLOSS:	laughing

 INPUT STRING:	بالهنا
     IS_TRANS:	bAlhnA
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hanA_1]
   UNSPLITVOC:	(biAlhanA)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+hanA
        GLOSS:	with/by+the+good health/happiness/well being/god health

 INPUT STRING:	والشفا
     IS_TRANS:	wAl$fA
        INDEX:	P31W2
      OFFSETS:	7-13
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ifA_1]
   UNSPLITVOC:	(wiAl$ifA)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$ifA
        GLOSS:	and+the+cure/remedy/medication/remedies/healing/spell

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P32W1
      OFFSETS:	0-6
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEodiyn_1]
   UNSPLITVOC:	(wibaEodiyn)
          POS:	CONJ+ADV
          VOC:	wi+baEodiyn
        GLOSS:	and+then

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P32W2
      OFFSETS:	7-9
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P32W3
      OFFSETS:	10-15
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dAyim_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P32W4
      OFFSETS:	16-20
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بيجرب
     IS_TRANS:	byjrb
        INDEX:	P32W5
      OFFSETS:	21-26
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~ab_1]
   UNSPLITVOC:	(biyijar~ab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+jar~ab
        GLOSS:	[present-tense]+he/it+test/try/attempt

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P32W6
      OFFSETS:	27-30
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ
          VOC:	Aw~il
        GLOSS:	first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P32W7
      OFFSETS:	31-35
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P32W8
      OFFSETS:	36-38
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتطلع
     IS_TRANS:	btTlE
        INDEX:	P32W9
      OFFSETS:	39-44
       TOKENS:	P32W11-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(bitiTolaE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+TolaE
        GLOSS:	[present-tense]+it/they/she+ascend/begin to/rise/start/seems/come out/get out/turn be

 INPUT STRING:	مظبوطه
     IS_TRANS:	mZbwTh
        INDEX:	P32W10
      OFFSETS:	45-51
       TOKENS:	P32W13-P32W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maZobuwT_1]
   UNSPLITVOC:	(maZobuwTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maZobuwT+ap
        GLOSS:	established facts/controlled/regulated/accurate/precise/exactly!/precisely!/exact+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P32W11
      OFFSETS:	52-55
       TOKENS:	P32W14-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	واتغديت
     IS_TRANS:	wAtgdyt
        INDEX:	P33W1
      OFFSETS:	0-7
       TOKENS:	P33W1-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitogad~aY_1]
   UNSPLITVOC:	(wiAitogad~iyt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+Aitogad~aY+t
        GLOSS:	and+have lunch+I

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P33W2
      OFFSETS:	8-11
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	والعيال
     IS_TRANS:	wAlEyAl
        INDEX:	P33W3
      OFFSETS:	12-19
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(wiAlEiyAl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+EiyAl
        GLOSS:	and+the+family/household

 INPUT STRING:	ومحمد
     IS_TRANS:	wmHmd
        INDEX:	P33W4
      OFFSETS:	20-25
       TOKENS:	P33W6-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miHam~ad_1]
   UNSPLITVOC:	(wimiHam~ad)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+miHam~ad
        GLOSS:	and+Mohamed/Mohammed/Muhammad

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P33W5
      OFFSETS:	26-28
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هندوقه
     IS_TRANS:	hndwqh
        INDEX:	P33W6
      OFFSETS:	29-35
       TOKENS:	P33W9-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*Aq_1]
   UNSPLITVOC:	(haniduwquh)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	ha+ni+duwq+uh
        GLOSS:	will+we+taste+him/it

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P33W7
      OFFSETS:	36-39
       TOKENS:	P33W12-P33W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P33W8
      OFFSETS:	40-44
       TOKENS:	P33W14-P33W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	التريقة
     IS_TRANS:	Altryqp
        INDEX:	P33W9
      OFFSETS:	45-52
       TOKENS:	P33W16-P33W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taroyaqap_1]
   UNSPLITVOC:	(Altaroyaqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+taroyaq+ap
        GLOSS:	the+sarcasm/irony+[fem.sg.]

 INPUT STRING:	ماتيأسيش
     IS_TRANS:	mAty>sy$
        INDEX:	P34W1
      OFFSETS:	0-8
       TOKENS:	P34W1-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ya>as_1]
   UNSPLITVOC:	(mA_tiyo>asiy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+ti+yo>as+iy+$
        GLOSS:	not+you+fed up+you+not

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P34W2
      OFFSETS:	9-12
       TOKENS:	P34W4-P34W4
