 INPUT STRING:	مروة
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	ADJ
          VOC:	wAHid
        GLOSS:	single/individual/alone/singular

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P17W4
      OFFSETS:	13-17
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+explore/traverse/bring

 INPUT STRING:	ازازة
     IS_TRANS:	AzAzp
        INDEX:	P17W5
      OFFSETS:	18-23
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AizAzap_1]
   UNSPLITVOC:	(AizAzap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AizAz+ap
        GLOSS:	bottle+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هأعرف
     IS_TRANS:	h>Erf
        INDEX:	P18W2
      OFFSETS:	3-8
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(HaAaEraf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+>Eraf
        GLOSS:	will+I+know

 INPUT STRING:	اشيل
     IS_TRANS:	A$yl
        INDEX:	P18W3
      OFFSETS:	9-13
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(Aa$iyl)
          POS:	IV1S+IV
          VOC:	Aa+$iyl
        GLOSS:	I+carry/lift

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P19W2
      OFFSETS:	3-5
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P19W3
      OFFSETS:	6-8
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(En)
          POS:	FOREIGN
          VOC:	En
        GLOSS:	nogloss

 INPUT STRING:	جب
     IS_TRANS:	jb
        INDEX:	P19W4
      OFFSETS:	9-11
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jb)
          POS:	FOREIGN
          VOC:	jb
        GLOSS:	nogloss

 INPUT STRING:	خليها
     IS_TRANS:	xlyhA
        INDEX:	P19W5
      OFFSETS:	12-17
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3FS
          VOC:	xal~+iy+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	الولاد
     IS_TRANS:	AlwlAd
        INDEX:	P19W6
      OFFSETS:	18-24
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlwilAd)
          POS:	DET+NOUN
          VOC:	Al+wilAd
        GLOSS:	the+child/son/children

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P19W7
      OFFSETS:	25-28
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>wl)
          POS:	TYPO
          VOC:	>wl
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	هأبقى
     IS_TRANS:	h>bqY
        INDEX:	P20W2
      OFFSETS:	4-9
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(HaAabqaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+>bqY
        GLOSS:	will+I+remain/stay

 INPUT STRING:	حببي
     IS_TRANS:	Hbby
        INDEX:	P20W3
      OFFSETS:	10-14
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hbby)
          POS:	FOREIGN
          VOC:	Hbby
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P20W4
      OFFSETS:	15-17
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	دفعوا
     IS_TRANS:	dfEwA
        INDEX:	P20W5
      OFFSETS:	18-23
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(dafaEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	dafaE+uwA
        GLOSS:	push/motivate/pay/be pushed/be motivated/be paid+they

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P20W6
      OFFSETS:	24-28
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P20W7
      OFFSETS:	29-30
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P21W1
      OFFSETS:	0-2
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P21W2
      OFFSETS:	3-7
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P21W3
      OFFSETS:	8-9
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[5_1]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W4
      OFFSETS:	10-12
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P21W5
      OFFSETS:	13-17
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P21W6
      OFFSETS:	18-22
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+explore/traverse/bring

 INPUT STRING:	عززة
     IS_TRANS:	Ezzp
        INDEX:	P21W7
      OFFSETS:	23-27
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ezzp)
          POS:	TYPO
          VOC:	Ezzp
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P22W1
      OFFSETS:	0-1
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2_1]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	برتقان
     IS_TRANS:	brtqAn
        INDEX:	P22W2
      OFFSETS:	2-8
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[burotuqAnap_1]
   UNSPLITVOC:	(burotuqAn)
          POS:	NOUN
          VOC:	burotuqAn
        GLOSS:	orange

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W3
      OFFSETS:	9-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P22W4
      OFFSETS:	10-11
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2_1]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	كوكا
     IS_TRANS:	kwkA
        INDEX:	P22W5
      OFFSETS:	12-16
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwkA_1]
   UNSPLITVOC:	(kuwkA)
          POS:	NOUN
          VOC:	kuwkA
        GLOSS:	coca

 INPUT STRING:	وواحد
     IS_TRANS:	wwAHd
        INDEX:	P22W6
      OFFSETS:	17-22
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wiwAHid)
          POS:	CONJ+NOUN_NUM
          VOC:	wi+wAHid
        GLOSS:	and+one

 INPUT STRING:	أبيض
     IS_TRANS:	>byD
        INDEX:	P22W7
      OFFSETS:	23-27
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

