 INPUT STRING:	رمضان
   UNSPLITVOC:	(tiEomil)
          POS:	IV2MS+IV
          VOC:	ti+Eomil
        GLOSS:	you+function/make/act/do

 INPUT STRING:	عملية
     IS_TRANS:	Emlyp
        INDEX:	P11W4
      OFFSETS:	12-17
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamaliy~ap_1]
   UNSPLITVOC:	(Eamaliy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eamaliy~+ap
        GLOSS:	operation/mission/process/operations/missions/processes+[fem.sg.]

 INPUT STRING:	وتريح
     IS_TRANS:	wtryH
        INDEX:	P11W5
      OFFSETS:	18-23
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~aH_1]
   UNSPLITVOC:	(witiray~aH)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+ray~aH
        GLOSS:	and+you+make rest/make relax

 INPUT STRING:	رأسك
     IS_TRANS:	r>sk
        INDEX:	P11W6
      OFFSETS:	24-28
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(ra>osak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ra>os+ak
        GLOSS:	head/top/heads/tops/leader/chief/leaders/chiefs+your

 INPUT STRING:	بدأ
     IS_TRANS:	bd>
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bada>+(null)
        GLOSS:	start/begin+he/it

 INPUT STRING:	يتحرك
     IS_TRANS:	ytHrk
        INDEX:	P12W2
      OFFSETS:	4-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHar~ak_1]
   UNSPLITVOC:	(yitoHar~ak)
          POS:	IV3MS+IV
          VOC:	yi+toHar~ak
        GLOSS:	he/it+move

 INPUT STRING:	والشافعي
     IS_TRANS:	wAl$AfEy
        INDEX:	P13W1
      OFFSETS:	0-8
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AfoEiy_1]
   UNSPLITVOC:	(wiAl$AfoEiy)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+$AfoEiy
        GLOSS:	and+the+Shafi

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P13W2
      OFFSETS:	9-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P13W3
      OFFSETS:	14-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وبلبل
     IS_TRANS:	wblbl
        INDEX:	P13W4
      OFFSETS:	18-23
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bulobul_1]
   UNSPLITVOC:	(wibulobul)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+bulobul
        GLOSS:	and+Bulbul

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P13W5
      OFFSETS:	24-28
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P13W6
      OFFSETS:	29-32
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

