 INPUT STRING:	ناريمان
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwoliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	HAwol+iy
        GLOSS:	test/try/attempt/try out/test for ripeness/explore/invent/originate+you

 INPUT STRING:	تأكليها
     IS_TRANS:	t>klyhA
        INDEX:	P167W7
      OFFSETS:	24-31
       TOKENS:	P167W7-P167W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ak~il_1]
   UNSPLITVOC:	(ti>ak~iliyhA)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3FS
          VOC:	ti+>ak~il+iy+hA
        GLOSS:	you+feed+you+it/them/her

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P168W1
      OFFSETS:	0-2
       TOKENS:	P168W1-P168W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P168W2
      OFFSETS:	3-5
       TOKENS:	P168W2-P168W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	أكلتش
     IS_TRANS:	>klt$
        INDEX:	P168W3
      OFFSETS:	6-11
       TOKENS:	P168W3-P168W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(>akalit$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	>akal+it+$
        GLOSS:	eat+I+not

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P168W4
      OFFSETS:	12-16
       TOKENS:	P168W5-P168W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P169W1
      OFFSETS:	0-3
       TOKENS:	P169W1-P169W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	حأطلع
     IS_TRANS:	H>TlE
        INDEX:	P169W2
      OFFSETS:	4-9
       TOKENS:	P169W2-P169W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(HaAaTolaE)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+TolaE
        GLOSS:	will+I+ascend/begin to/rise/start/seems/come out/get out/turn be

 INPUT STRING:	اشوف
     IS_TRANS:	A$wf
        INDEX:	P169W3
      OFFSETS:	10-14
       TOKENS:	P169W4-P169W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwf)
          POS:	IV1S+IV
          VOC:	Aa+$uwf
        GLOSS:	I+look

 INPUT STRING:	حأسيب
     IS_TRANS:	H>syb
        INDEX:	P169W4
      OFFSETS:	15-20
       TOKENS:	P169W5-P169W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(HaAasiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+siyb
        GLOSS:	will+I+flow/neglect

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P169W5
      OFFSETS:	21-24
       TOKENS:	P169W7-P169W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+her/it/them

 INPUT STRING:	الأكل
     IS_TRANS:	Al>kl
        INDEX:	P169W6
      OFFSETS:	25-30
       TOKENS:	P169W9-P169W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(Al>akol)
          POS:	DET+NOUN
          VOC:	Al+>akol
        GLOSS:	the+eating/consumption/food/meal

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P170W1
      OFFSETS:	0-3
       TOKENS:	P170W1-P170W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	وحأشوف
     IS_TRANS:	wH>$wf
        INDEX:	P171W1
      OFFSETS:	0-6
       TOKENS:	P171W1-P171W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiHaAa$uwf)
          POS:	CONJ+FUT_PART+IV1S+IV
          VOC:	wi+Ha+Aa+$uwf
        GLOSS:	and+will+I+look

 INPUT STRING:	حتاكل
     IS_TRANS:	HtAkl
        INDEX:	P171W2
      OFFSETS:	7-12
       TOKENS:	P171W4-P171W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(HatAkul)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+t+Akul
        GLOSS:	will+you+eat

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P171W3
      OFFSETS:	13-17
       TOKENS:	P171W6-P171W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wAl~A
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P171W4
      OFFSETS:	18-20
       TOKENS:	P171W7-P171W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P172W1
      OFFSETS:	0-2
       TOKENS:	P172W1-P172W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P172W2
      OFFSETS:	3-5
       TOKENS:	P172W2-P172W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	لهاش
     IS_TRANS:	lhA$
        INDEX:	P172W3
      OFFSETS:	6-10
       TOKENS:	P172W3-P172W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA$)
          POS:	PREP+PRON_3FS+NEG_PART
          VOC:	li+hA+$
        GLOSS:	for/to+her/it/them+not

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P172W4
      OFFSETS:	11-14
       TOKENS:	P172W6-P172W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifos)
          POS:	NOUN
          VOC:	nifos
        GLOSS:	appetite

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P172W5
      OFFSETS:	15-19
       TOKENS:	P172W7-P172W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P172W6
      OFFSETS:	20-24
       TOKENS:	P172W8-P172W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	بطنها
     IS_TRANS:	bTnhA
        INDEX:	P172W7
      OFFSETS:	25-30
       TOKENS:	P172W9-P172W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTon_1]
   UNSPLITVOC:	(baTonahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baTon+hA
        GLOSS:	stomach/depth/stomachs/interior+its/their/her

 INPUT STRING:	وجعاها
     IS_TRANS:	wjEAhA
        INDEX:	P172W8
      OFFSETS:	31-37
       TOKENS:	P172W11-P172W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAjiE_1]
   UNSPLITVOC:	(wajoEAhA)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wajoE+ap+hA
        GLOSS:	hurting+[fem.sg.]+her/its/their

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P172W9
      OFFSETS:	38-40
       TOKENS:	P172W13-P172W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P172W10
      OFFSETS:	41-46
       TOKENS:	P172W14-P172W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	at/have/possession/with+its/their/her

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P172W11
      OFFSETS:	47-50
       TOKENS:	P172W16-P172W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(duwr)
          POS:	NOUN
          VOC:	duwr
        GLOSS:	role/part/roles/parts/round

 INPUT STRING:	برد
     IS_TRANS:	brd
        INDEX:	P172W12
      OFFSETS:	51-54
       TOKENS:	P172W17-P172W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barod_1]
   UNSPLITVOC:	(barod)
          POS:	NOUN
          VOC:	barod
        GLOSS:	cold/cooling

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P172W13
      OFFSETS:	55-57
       TOKENS:	P172W18-P172W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P172W14
      OFFSETS:	58-62
       TOKENS:	P172W19-P172W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P172W15
      OFFSETS:	63-67
       TOKENS:	P172W20-P172W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P173W1
      OFFSETS:	0-2
       TOKENS:	P173W1-P173W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P173W2
      OFFSETS:	3-5
       TOKENS:	P173W2-P173W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نامتش
     IS_TRANS:	nAmt$
        INDEX:	P173W3
      OFFSETS:	6-11
       TOKENS:	P173W3-P173W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nAmit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	nAm+it+$
        GLOSS:	sleep/lie down+it/they/she+not

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P173W4
      OFFSETS:	12-14
       TOKENS:	P173W5-P173W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P173W5
      OFFSETS:	15-21
       TOKENS:	P173W6-P173W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	أه
     IS_TRANS:	>h
        INDEX:	P174W1
      OFFSETS:	0-2
       TOKENS:	P174W1-P174W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(>ah)
          POS:	INTERJ
          VOC:	>ah
        GLOSS:	yes

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P174W2
      OFFSETS:	3-7
       TOKENS:	P174W2-P174W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P174W3
      OFFSETS:	8-12
       TOKENS:	P174W3-P174W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P174W4
      OFFSETS:	13-15
       TOKENS:	P174W4-P174W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P174W5
      OFFSETS:	16-20
       TOKENS:	P174W6-P174W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P174W6
      OFFSETS:	21-25
       TOKENS:	P174W7-P174W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P175W1
      OFFSETS:	0-2
       TOKENS:	P175W1-P175W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P175W2
      OFFSETS:	3-7
       TOKENS:	P175W2-P175W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P175W3
      OFFSETS:	8-10
       TOKENS:	P175W3-P175W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P175W4
      OFFSETS:	11-15
       TOKENS:	P175W4-P175W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+her/it/them

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P175W5
      OFFSETS:	16-18
       TOKENS:	P175W6-P175W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نامتش
     IS_TRANS:	nAmt$
        INDEX:	P175W6
      OFFSETS:	19-24
       TOKENS:	P175W7-P175W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nAmit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	nAm+it+$
        GLOSS:	sleep/lie down+it/they/she+not

 INPUT STRING:	أه
     IS_TRANS:	>h
        INDEX:	P176W1
      OFFSETS:	0-2
       TOKENS:	P176W1-P176W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(>ah)
          POS:	INTERJ
          VOC:	>ah
        GLOSS:	yes

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P176W2
      OFFSETS:	3-5
       TOKENS:	P176W2-P176W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P176W3
      OFFSETS:	5-6
       TOKENS:	P176W3-P176W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P176W4
      OFFSETS:	7-9
       TOKENS:	P176W4-P176W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P176W5
      OFFSETS:	10-12
       TOKENS:	P176W5-P176W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نامتش
     IS_TRANS:	nAmt$
        INDEX:	P176W6
      OFFSETS:	13-18
       TOKENS:	P176W6-P176W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nAmit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	nAm+it+$
        GLOSS:	sleep/lie down+it/they/she+not

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P176W7
      OFFSETS:	19-22
       TOKENS:	P176W8-P176W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P176W8
      OFFSETS:	23-26
       TOKENS:	P176W9-P176W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P176W9
      OFFSETS:	26-27
       TOKENS:	P176W10-P176W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P177W1
      OFFSETS:	0-4
       TOKENS:	P177W1-P177W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be/was/were+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P177W2
      OFFSETS:	5-7
       TOKENS:	P177W3-P177W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P177W3
      OFFSETS:	8-11
       TOKENS:	P177W5-P177W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P177W4
      OFFSETS:	12-15
       TOKENS:	P177W6-P177W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	بيتنا
     IS_TRANS:	bytnA
        INDEX:	P177W5
      OFFSETS:	16-21
       TOKENS:	P177W7-P177W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(biytnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	biyt+nA
        GLOSS:	house/houses/verse/verses+our

 INPUT STRING:	شكت
     IS_TRANS:	$kt
        INDEX:	P178W1
      OFFSETS:	0-3
       TOKENS:	P178W1-P178W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ak~_1]
   UNSPLITVOC:	($ak~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	$ak~+it
        GLOSS:	doubt/distrust/impale+it/they/she [verb]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P178W2
      OFFSETS:	4-6
       TOKENS:	P178W2-P178W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P178W3
      OFFSETS:	7-9
       TOKENS:	P178W3-P178W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+gloss

 INPUT STRING:	كلب
     IS_TRANS:	klb
        INDEX:	P178W4
