 INPUT STRING:	سامحيني
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P4W20
      OFFSETS:	83-87
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	عاجباك
     IS_TRANS:	EAjbAk
        INDEX:	P4W21
      OFFSETS:	88-94
       TOKENS:	P4W32-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjobAk)
          POS:	ADJ+NSUFF_FEM_SG+PRON_2MS
          VOC:	EAjob+ap+ak
        GLOSS:	pleasing/arousing admiration/liking/admiring+[fem.sg.]+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W22
      OFFSETS:	94-95
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W23
      OFFSETS:	95-96
       TOKENS:	P4W35-P4W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W24
      OFFSETS:	96-97
       TOKENS:	P4W36-P4W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	أبقاش
     IS_TRANS:	>bqA$
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(AaboqA$)
          POS:	IV1S+IV+NEG_PART
          VOC:	Aa+boqA+$
        GLOSS:	I+become/begin/start/be/begin a new day+not

 INPUT STRING:	بأزف
     IS_TRANS:	b>zf
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zaf~_1]
   UNSPLITVOC:	(bAazif)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+zif~
        GLOSS:	[present-tense]+I+make a wedding procession

 INPUT STRING:	وحأكون
     IS_TRANS:	wH>kwn
        INDEX:	P5W4
      OFFSETS:	14-20
       TOKENS:	P5W6-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiHaAakuwn)
          POS:	CONJ+FUT_PART+IV1S+IV
          VOC:	wi+Ha+Aa+kuwn
        GLOSS:	and+will+I+be/was/were

 INPUT STRING:	معاكم
     IS_TRANS:	mEAkm
        INDEX:	P5W5
      OFFSETS:	21-26
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	maEa+kum
        GLOSS:	with+your

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P5W6
      OFFSETS:	27-29
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P5W7
      OFFSETS:	30-33
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W8
      OFFSETS:	34-38
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P5W9
      OFFSETS:	39-42
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	حاسيبك
     IS_TRANS:	HAsybk
        INDEX:	P5W10
      OFFSETS:	43-49
       TOKENS:	P5W16-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(HaAasiybik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+siyb+ik
        GLOSS:	will+I+flow/neglect/leave+you

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P5W11
      OFFSETS:	50-54
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	pure/clear/sincere/very/absolutely

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P5W12
      OFFSETS:	55-58
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	تزهقى
     IS_TRANS:	tzhqY
        INDEX:	P5W13
      OFFSETS:	59-64
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(tizohaqiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+zohaq+iy
        GLOSS:	you+become bored with/become impatient with/consider tedious/silly/spoil/ruin/make tedious/boring+you

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P5W14
      OFFSETS:	65-68
       TOKENS:	P5W22-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+I

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W15
      OFFSETS:	68-69
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	فالفرح
     IS_TRANS:	fAlfrH
        INDEX:	P5W16
      OFFSETS:	70-76
       TOKENS:	P5W25-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(fiAlfaraH)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+faraH
        GLOSS:	in+the+festivity/wedding

 INPUT STRING:	عندكم
     IS_TRANS:	Endkm
        INDEX:	P5W17
      OFFSETS:	77-82
       TOKENS:	P5W27-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Eanod+kum
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	العروسة
     IS_TRANS:	AlErwsp
        INDEX:	P5W18
      OFFSETS:	83-90
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earuwsap_1]
   UNSPLITVOC:	(AlEaruwsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earuws+ap
        GLOSS:	the+bride+[fem.sg.]

 INPUT STRING:	بتفضل
     IS_TRANS:	btfDl
        INDEX:	P5W19
      OFFSETS:	91-96
       TOKENS:	P5W30-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(bitifoDal)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+foDal
        GLOSS:	[present-tense]+it/they/she+remain/stay

 INPUT STRING:	بفستان
     IS_TRANS:	bfstAn
        INDEX:	P5W20
      OFFSETS:	97-103
       TOKENS:	P5W32-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(bifusotAn)
          POS:	PREP+NOUN
          VOC:	bi+fusotAn
        GLOSS:	with/by+dress/gown/dresses/gowns

 INPUT STRING:	أبيض
     IS_TRANS:	>byD
        INDEX:	P5W21
      OFFSETS:	104-108
       TOKENS:	P5W34-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P5W22
      OFFSETS:	109-113
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P5W23
      OFFSETS:	114-118
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	بتغير
     IS_TRANS:	btgyr
        INDEX:	P5W24
      OFFSETS:	119-124
       TOKENS:	P5W37-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(bitigay~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+gay~ar
        GLOSS:	[present-tense]+it/they/she+change/modify

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P5W25
      OFFSETS:	125-128
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P5W26
      OFFSETS:	129-132
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	بفساتين
     IS_TRANS:	bfsAtyn
        INDEX:	P5W27
      OFFSETS:	133-140
       TOKENS:	P5W41-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(bifasAtiyn)
          POS:	PREP+NOUN
          VOC:	bi+fasAtiyn
        GLOSS:	with/by+dresses/gowns

 INPUT STRING:	ثانيين
     IS_TRANS:	vAnyyn
        INDEX:	P5W28
      OFFSETS:	141-147
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(vAnyyn)
          POS:	NO_FUNC
          VOC:	vAnyyn
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W29
      OFFSETS:	147-148
       TOKENS:	P5W44-P5W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	فستان
     IS_TRANS:	fstAn
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(fusotAn)
          POS:	NOUN
          VOC:	fusotAn
        GLOSS:	dress/gown/dresses/gowns

 INPUT STRING:	أبيض
     IS_TRANS:	>byD
        INDEX:	P6W3
      OFFSETS:	11-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	فرح
     IS_TRANS:	frH
        INDEX:	P6W5
      OFFSETS:	21-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(faraH)
          POS:	NOUN
          VOC:	faraH
        GLOSS:	wedding

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P6W6
      OFFSETS:	25-31
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodiyn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	نغير
     IS_TRANS:	ngyr
        INDEX:	P6W7
      OFFSETS:	32-36
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(nigay~ar)
          POS:	IV1P+IV
          VOC:	ni+gay~ar
        GLOSS:	we+change/modify

 INPUT STRING:	لفساتين
     IS_TRANS:	lfsAtyn
        INDEX:	P6W8
      OFFSETS:	37-44
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fustAn_1]
   UNSPLITVOC:	(lifasAtiyn)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+fasa+tiyn
        GLOSS:	for/to+dresses+plural

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P6W9
      OFFSETS:	45-48
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	نوع
     IS_TRANS:	nwE
        INDEX:	P6W10
      OFFSETS:	49-52
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nuwE)
          POS:	NOUN
          VOC:	nawE
        GLOSS:	type/kind/form/types/kinds/forms

 INPUT STRING:	ولون
     IS_TRANS:	wlwn
        INDEX:	P6W11
      OFFSETS:	53-57
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawn_1]
   UNSPLITVOC:	(wiluwn)
          POS:	CONJ+NOUN
          VOC:	wi+lawn
        GLOSS:	and+color/tint/colors/tints/type/sort/types/sorts

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P6W12
      OFFSETS:	58-61
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/entire/every/whole

 INPUT STRING:	فستان
     IS_TRANS:	fstAn
        INDEX:	P6W13
      OFFSETS:	62-67
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(fusotAn)
          POS:	NOUN
          VOC:	fusotAn
        GLOSS:	dress/gown/dresses/gowns

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P6W14
      OFFSETS:	68-71
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/tor+he/it

 INPUT STRING:	لوازمه
     IS_TRANS:	lwAzmh
        INDEX:	P6W15
      OFFSETS:	72-78
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAzimap_1]
   UNSPLITVOC:	(lawAzmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	lawAzim+uh
        GLOSS:	exigencies/requisites+its/his

 INPUT STRING:	الخاصة
     IS_TRANS:	AlxASp
        INDEX:	P6W16
      OFFSETS:	79-85
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(AlxAS~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xAS~+ap
        GLOSS:	the+elite+[fem.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P6W17
      OFFSETS:	86-89
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W18
      OFFSETS:	90-93
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	أختك
     IS_TRANS:	>xtk
        INDEX:	P6W19
      OFFSETS:	94-98
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>uxot+ik
        GLOSS:	sister/counterpart/sisters+your

 INPUT STRING:	وعايزاكي
     IS_TRANS:	wEAyzAky
        INDEX:	P6W20
      OFFSETS:	99-107
       TOKENS:	P6W27-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(wiEAyozAkiy)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG+PRON_2FS
          VOC:	wi+EAyoz+ap+ik
        GLOSS:	and+needing/liking/requiring/wanting/desiring+[fem.sg.]+you

 INPUT STRING:	تنصحيني
     IS_TRANS:	tnSHyny
        INDEX:	P6W21
      OFFSETS:	108-115
       TOKENS:	P6W30-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSaH_1]
   UNSPLITVOC:	(tinSaHiyniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S
          VOC:	ti+nSaH+iy+niy
        GLOSS:	you+advise+you+me

 INPUT STRING:	أعمل
     IS_TRANS:	>Eml
        INDEX:	P6W22
      OFFSETS:	116-120
       TOKENS:	P6W32-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	عاداتنا
     IS_TRANS:	EAdAtnA
        INDEX:	P6W23
      OFFSETS:	121-128
       TOKENS:	P6W33-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	EAd+At+nA
        GLOSS:	habit/custom/practice/customs/practices/habits/usually/typically+[fem.pl.]+our

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P6W24
      OFFSETS:	129-133
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	عاداتكم
     IS_TRANS:	EAdAtkm
        INDEX:	P6W25
      OFFSETS:	134-141
       TOKENS:	P6W36-P6W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdAtkum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2P
          VOC:	EAd+At+kum
        GLOSS:	habit/custom/practice/customs/practices/habits/usually/typically+[fem.pl.]+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W26
      OFFSETS:	141-142
       TOKENS:	P6W38-P6W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W27
      OFFSETS:	142-143
       TOKENS:	P6W39-P6W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	وهيبة
     IS_TRANS:	whybp
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wahiybap_1]
   UNSPLITVOC:	(wahiybap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	whyb+ap
        GLOSS:	Wahiba+[fem.sg.]

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P7W2
      OFFSETS:	6-12
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
