 INPUT STRING:	أونلاين
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satAn_1]
   UNSPLITVOC:	(satAn)
          POS:	NOUN
          VOC:	satAn
        GLOSS:	satin

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P7W19
      OFFSETS:	88-89
       TOKENS:	P7W26-P7W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الوسط
     IS_TRANS:	AlwsT
        INDEX:	P7W20
      OFFSETS:	90-95
       TOKENS:	P7W27-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wisoT_1]
   UNSPLITVOC:	(AlwisoT)
          POS:	DET+NOUN
          VOC:	Al+wisoT
        GLOSS:	the+center/environment/circles/quarters/environments/between/among/in the midst of

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W21
      OFFSETS:	96-99
       TOKENS:	P7W28-P7W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	mmkn
     IS_TRANS:	mmkn
        INDEX:	P7W22
      OFFSETS:	100-104
       TOKENS:	P7W29-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	ابدل
     IS_TRANS:	Abdl
        INDEX:	P7W23
      OFFSETS:	105-109
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[badil_1]
   UNSPLITVOC:	(>abodil)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	>abodil+(null)
        GLOSS:	substitute/exchange/replace+you

 INPUT STRING:	الفستان
     IS_TRANS:	AlfstAn
        INDEX:	P7W24
      OFFSETS:	110-117
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(AlfusotAn)
          POS:	DET+NOUN
          VOC:	Al+fusotAn
        GLOSS:	the+dress/gown/dresses/gowns

 INPUT STRING:	بالبلوزة
     IS_TRANS:	bAlblwzp
        INDEX:	P7W25
      OFFSETS:	118-126
       TOKENS:	P7W32-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biluwzap_1]
   UNSPLITVOC:	(biAlbiluwzap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+biluwz+ap
        GLOSS:	with/by+the+blouse+[fem.sg.]

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P7W26
      OFFSETS:	127-129
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W27
      OFFSETS:	130-132
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاجبني
     IS_TRANS:	EAjbny
        INDEX:	P7W28
      OFFSETS:	133-139
       TOKENS:	P7W36-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjibniy)
          POS:	ADJ+PRON_1S
          VOC:	EAjib+niy
        GLOSS:	pleasing/arousing admiration/liking/admiring+I

 INPUT STRING:	الفصوص
     IS_TRANS:	AlfSwS
        INDEX:	P7W29
      OFFSETS:	140-146
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faS~_1]
   UNSPLITVOC:	(AlfiSuwS)
          POS:	DET+NOUN
          VOC:	Al+fiSuwS
        GLOSS:	the+peeling/shelling/segment/piece/segments/pieces

 INPUT STRING:	الكتير
     IS_TRANS:	Alktyr
        INDEX:	P7W30
      OFFSETS:	147-153
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(Alkitiyr)
          POS:	DET+ADJ
          VOC:	Al+kitiyr
        GLOSS:	the+numerous/many/several/much/a lot/very

 INPUT STRING:	بتاعتها
     IS_TRANS:	btAEthA
        INDEX:	P7W31
      OFFSETS:	154-161
       TOKENS:	P7W40-P7W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	bitAE+ap+hA
        GLOSS:	own+[fem.sg.]+its/their/her

 INPUT STRING:	الفستان
     IS_TRANS:	AlfstAn
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(AlfusotAn)
          POS:	DET+NOUN
          VOC:	Al+fusotAn
        GLOSS:	the+dress/gown/dresses/gowns

 INPUT STRING:	البلو
     IS_TRANS:	Alblw
        INDEX:	P8W2
      OFFSETS:	8-13
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alblw)
          POS:	FOREIGN
          VOC:	Alblw
        GLOSS:	nogloss

 INPUT STRING:	أحلى
     IS_TRANS:	>HlY
        INDEX:	P8W3
      OFFSETS:	14-18
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHolaY_1]
   UNSPLITVOC:	(>aHolaY)
          POS:	ADJ_COMP
          VOC:	>aHolaY
        GLOSS:	more sweet

 INPUT STRING:	حي
     IS_TRANS:	Hy
        INDEX:	P8W4
      OFFSETS:	19-21
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hay~_1]
   UNSPLITVOC:	(Hay~)
          POS:	ADJ
          VOC:	Hay~
        GLOSS:	alive/living/live/lively

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P8W5
      OFFSETS:	22-26
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akotar)
          POS:	NOUN_QUANT
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	ايوا
     IS_TRANS:	AywA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aywah_1]
   UNSPLITVOC:	(AywA)
          POS:	INTERJ
          VOC:	AywA
        GLOSS:	yes

 INPUT STRING:	hw
     IS_TRANS:	hw
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W3
      OFFSETS:	8-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	عاجاجبني
     IS_TRANS:	EAjAjbny
        INDEX:	P9W4
      OFFSETS:	12-20
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EAjAjbny)
          POS:	TYPO
          VOC:	EAjAjbny
        GLOSS:	nogloss

 INPUT STRING:	fwy
     IS_TRANS:	fwy
        INDEX:	P9W5
      OFFSETS:	21-24
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fwy)
          POS:	TYPO
          VOC:	fwy
        GLOSS:	nogloss

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P9W6
      OFFSETS:	25-27
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ماسك
     IS_TRANS:	mAsk
        INDEX:	P9W7
      OFFSETS:	28-32
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAsik_1]
   UNSPLITVOC:	(mAsik)
          POS:	ADJ
          VOC:	mAsik
        GLOSS:	grabbing

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	نافع
     IS_TRANS:	nAfE
        INDEX:	P10W2
      OFFSETS:	3-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAfiE_1]
   UNSPLITVOC:	(nAfiE)
          POS:	ADJ
          VOC:	nAfiE
        GLOSS:	productive/beneficial/useful

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P10W3
      OFFSETS:	8-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W4
      OFFSETS:	12-13
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مقاسي
     IS_TRANS:	mqAsy
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAs_1]
   UNSPLITVOC:	(maqAsiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maqAs+iy
        GLOSS:	measuring/gauging/dimensions+my

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	خليكي
     IS_TRANS:	xlyky
        INDEX:	P12W2
      OFFSETS:	5-10
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iykiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xal~iy+ik
        GLOSS:	let+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W3
      OFFSETS:	11-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفستان
     IS_TRANS:	AlfstAn
        INDEX:	P12W4
      OFFSETS:	14-21
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(AlfusotAn)
          POS:	DET+NOUN
          VOC:	Al+fusotAn
        GLOSS:	the+dress/gown/dresses/gowns

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P12W5
      OFFSETS:	22-28
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ
          VOC:	Al+vAniy
        GLOSS:	the+second/next/II/secondly

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_2]
   UNSPLITVOC:	(balA$)
          POS:	VERB
          VOC:	balA$
        GLOSS:	do not do

 INPUT STRING:	البلوزة
     IS_TRANS:	Alblwzp
        INDEX:	P13W2
      OFFSETS:	5-12
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biluwzap_1]
   UNSPLITVOC:	(Albiluwzap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+biluwz+ap
        GLOSS:	the+blouse+[fem.sg.]

 INPUT STRING:	SH
     IS_TRANS:	SH
        INDEX:	P13W3
      OFFSETS:	13-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P14W2
      OFFSETS:	3-5
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(qad~)
          POS:	NOUN
          VOC:	qad~
        GLOSS:	size/physique

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P14W3
      OFFSETS:	6-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W4
      OFFSETS:	9-10
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	الفستان
     IS_TRANS:	AlfstAn
        INDEX:	P14W5
      OFFSETS:	11-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(AlfusotAn)
          POS:	DET+NOUN
          VOC:	Al+fusotAn
        GLOSS:	the+dress/gown/dresses/gowns

 INPUT STRING:	أقيم
     IS_TRANS:	>qym
        INDEX:	P14W6
      OFFSETS:	19-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqy~am_1]
   UNSPLITVOC:	(>aqy~am)
          POS:	ADJ_COMP
          VOC:	>aqy~am
        GLOSS:	more evaluated

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	الخيرة
     IS_TRANS:	Alxyrp
        INDEX:	P15W2
      OFFSETS:	5-11
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyrap_1]
   UNSPLITVOC:	(Alxiyrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xiyr+ap
        GLOSS:	the+choice/pick/elite+[fem.sg.]

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P15W3
      OFFSETS:	12-16
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in+which

 INPUT STRING:	اختياره
     IS_TRANS:	AxtyArh
        INDEX:	P15W4
      OFFSETS:	17-24
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotiyAr_1]
   UNSPLITVOC:	(AixotiyAruh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	AixotiyAr+uh
        GLOSS:	selection/preference/choice+his/its

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W5
      OFFSETS:	25-29
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P16W2
      OFFSETS:	3-5
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	البلوزة
     IS_TRANS:	Alblwzp
        INDEX:	P16W3
      OFFSETS:	6-13
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biluwzap_1]
   UNSPLITVOC:	(Albiluwzap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+biluwz+ap
        GLOSS:	the+blouse+[fem.sg.]

 INPUT STRING:	أغلى
     IS_TRANS:	>glY
        INDEX:	P16W4
      OFFSETS:	14-18
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolaY_1]
   UNSPLITVOC:	(>agolaY)
          POS:	ADJ_COMP
          VOC:	>agolaY
        GLOSS:	costlier/more valuable/more expensive

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P16W5
      OFFSETS:	19-21
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفستانين
     IS_TRANS:	AlfstAnyn
        INDEX:	P16W6
      OFFSETS:	22-31
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fustAn_1]
   UNSPLITVOC:	(AlfustAniyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+fustAn+ayn
        GLOSS:	the+dress+two

 INPUT STRING:	
     IS_TRANS:	&#xe105;
        INDEX:	P16W7
      OFFSETS:	31-32
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe105;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	أحمد
     IS_TRANS:	>Hmd
        INDEX:	P16W8
      OFFSETS:	33-37
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hamad_1]
   UNSPLITVOC:	(>aHomid)
          POS:	IV1S+IV
          VOC:	>a+Homid
        GLOSS:	i+praise/extol

 INPUT STRING:	llh
     IS_TRANS:	llh
        INDEX:	P16W9
      OFFSETS:	38-41
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P16W10
      OFFSETS:	42-46
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P16W11
      OFFSETS:	47-53
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	ليا
     IS_TRANS:	lyA
        INDEX:	P16W12
      OFFSETS:	54-57
       TOKENS:	P16W15-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~A)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+me

 INPUT STRING:	ويخليكي
     IS_TRANS:	wyxlyky
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(wiyixal~iykiy)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:2FS
          VOC:	wi+yi+xal~iy+ik
        GLOSS:	and+he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P17W2
      OFFSETS:	8-10
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~A)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+me

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P17W3
      OFFSETS:	11-13
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
