 INPUT STRING:	محمد
 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P16W9
      OFFSETS:	33-39
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P16W10
      OFFSETS:	40-42
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فضلتي
     IS_TRANS:	fDlty
        INDEX:	P16W11
      OFFSETS:	43-48
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(fiDiltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	fiDil+tiy
        GLOSS:	remain/stay+you

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P16W12
      OFFSETS:	49-52
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P16W13
      OFFSETS:	53-56
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P16W14
      OFFSETS:	57-61
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	أحط
     IS_TRANS:	>HT
        INDEX:	P16W15
      OFFSETS:	62-65
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(AaHuT~)
          POS:	IV1S+IV
          VOC:	Aa+HuT~
        GLOSS:	I+descend/land/set down/lower

 INPUT STRING:	صورتك
     IS_TRANS:	Swrtk
        INDEX:	P16W16
      OFFSETS:	66-71
       TOKENS:	P16W20-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrtik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	Suwr+ap+ik
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]+your

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P16W17
      OFFSETS:	72-73
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ههه
     IS_TRANS:	hhh
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P17W2
      OFFSETS:	4-6
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	كآتي
     IS_TRANS:	k|ty
        INDEX:	P17W3
      OFFSETS:	7-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(k|ty)
          POS:	FOREIGN
          VOC:	k|ty
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P18W2
      OFFSETS:	4-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	عمري
     IS_TRANS:	Emry
        INDEX:	P18W3
      OFFSETS:	8-12
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	كآت
     IS_TRANS:	k|t
        INDEX:	P18W4
      OFFSETS:	13-16
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(k|t)
          POS:	FOREIGN
          VOC:	k|t
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P18W5
      OFFSETS:	17-18
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(<inotiy)
          POS:	PRON_2FS
          VOC:	<inotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	بتقولي
     IS_TRANS:	btqwly
        INDEX:	P19W2
      OFFSETS:	5-11
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+quwl+iy
        GLOSS:	[present-tense]+you+said/say/be said/(for example)+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W3
      OFFSETS:	12-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	لمين
     IS_TRANS:	lmyn
        INDEX:	P19W4
      OFFSETS:	16-20
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(limiyn)
          POS:	PREP+REL_PRON
          VOC:	li+miyn
        GLOSS:	for/to+who

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P19W5
      OFFSETS:	21-23
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P19W6
      OFFSETS:	24-25
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you [masc.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ومستنية
     IS_TRANS:	wmstnyp
        INDEX:	P21W2
      OFFSETS:	4-11
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(wimisotan~iyap)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG
          VOC:	wi+misotan~iy+ap
        GLOSS:	and+waiting/anticipating+[fem.sg.]

 INPUT STRING:	إني
     IS_TRANS:	<ny
        INDEX:	P21W3
      OFFSETS:	12-15
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I/me

 INPUT STRING:	أصدق
     IS_TRANS:	>Sdq
        INDEX:	P21W4
      OFFSETS:	16-20
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(AaSad~aq)
          POS:	IV1S+IV
          VOC:	Aa+Sad~aq
        GLOSS:	I+believe/give credence to/confirm/be believed/ratify/adopt

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W5
      OFFSETS:	20-21
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P21W6
      OFFSETS:	22-23
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P22W2
      OFFSETS:	3-4
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inota_1]
   UNSPLITVOC:	(<inota)
          POS:	PRON_2MS
          VOC:	<inota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W2
      OFFSETS:	4-6
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مصدق
     IS_TRANS:	mSdq
        INDEX:	P23W3
      OFFSETS:	7-11
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSad~aq_1]
   UNSPLITVOC:	(miSad~aq)
          POS:	ADJ
          VOC:	miSad~aq
        GLOSS:	credible/believing/reliable

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W4
      OFFSETS:	12-13
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P23W5
      OFFSETS:	13-14
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P24W2
      OFFSETS:	4-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P24W3
      OFFSETS:	8-10
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W4
      OFFSETS:	11-13
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P24W5
      OFFSETS:	14-17
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P24W6
      OFFSETS:	18-21
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	حيكون
     IS_TRANS:	Hykwn
        INDEX:	P24W7
      OFFSETS:	22-27
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be/was/were

 INPUT STRING:	توت
     IS_TRANS:	twt
        INDEX:	P24W8
      OFFSETS:	28-31
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twt)
          POS:	FOREIGN
          VOC:	twt
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P24W9
      OFFSETS:	32-33
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بريسيوس
     IS_TRANS:	brysyws
        INDEX:	P25W1
      OFFSETS:	0-7
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brysyws)
          POS:	FOREIGN
          VOC:	brysyws
        GLOSS:	nogloss

 INPUT STRING:	الواحدة
     IS_TRANS:	AlwAHdp
        INDEX:	P25W2
      OFFSETS:	8-15
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHidap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+wAHid+ap
        GLOSS:	the+one+[fem.sg.]

 INPUT STRING:	الكوت
     IS_TRANS:	Alkwt
        INDEX:	P25W3
      OFFSETS:	16-21
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alkwt)
          POS:	FOREIGN
          VOC:	Alkwt
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W4
      OFFSETS:	21-22
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P25W5
      OFFSETS:	23-25
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P25W6
      OFFSETS:	26-30
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(<inotiy)
          POS:	PRON_2FS
          VOC:	<inotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P25W7
      OFFSETS:	31-34
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P25W8
      OFFSETS:	35-39
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P25W9
      OFFSETS:	40-43
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	توت
     IS_TRANS:	twt
        INDEX:	P25W10
      OFFSETS:	44-47
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twt)
          POS:	FOREIGN
          VOC:	twt
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P25W11
      OFFSETS:	48-49
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P26W2
      OFFSETS:	3-6
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inota_1]
   UNSPLITVOC:	(<inota)
          POS:	PRON_2MS
          VOC:	<inota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P26W3
      OFFSETS:	7-9
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	توت
     IS_TRANS:	twt
        INDEX:	P26W4
      OFFSETS:	10-13
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twt)
          POS:	FOREIGN
          VOC:	twt
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P26W5
      OFFSETS:	14-15
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P27W2
      OFFSETS:	4-7
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	جداً
     IS_TRANS:	jdAF
        INDEX:	P27W3
      OFFSETS:	8-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W4
      OFFSETS:	13-16
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P27W5
      OFFSETS:	17-21
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W6
      OFFSETS:	21-22
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
