 INPUT STRING:	كلت
      OFFSETS:	11-15
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	مجربتهاش
     IS_TRANS:	mjrbthA$
        INDEX:	P30W4
      OFFSETS:	16-24
       TOKENS:	P30W6-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~ab_1]
   UNSPLITVOC:	(mA_jar~abtahA$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS+NEG_PART
          VOC:	mA+jar~ab+t+hA+$
        GLOSS:	not+test/try/attempt+I+it/them/her+not

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	التشيز
     IS_TRANS:	Alt$yz
        INDEX:	P31W2
      OFFSETS:	4-10
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alt$yz)
          POS:	FOREIGN
          VOC:	Alt$yz
        GLOSS:	nogloss

 INPUT STRING:	كيك
     IS_TRANS:	kyk
        INDEX:	P31W3
      OFFSETS:	11-14
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kyk)
          POS:	FOREIGN
          VOC:	kyk
        GLOSS:	nogloss

 INPUT STRING:	تقيلة
     IS_TRANS:	tqylp
        INDEX:	P31W4
      OFFSETS:	15-20
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(tiqiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tiqiyl+ap
        GLOSS:	heavy/oppressive/difficult/burdensome/cheeky/insupportable/thick/viscous+[fem.sg.]

 INPUT STRING:	وحتقعد
     IS_TRANS:	wHtqEd
        INDEX:	P31W5
      OFFSETS:	21-27
       TOKENS:	P31W5-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiHatiqoEud)
          POS:	CONJ+FUT_PART+IV3FS+IV
          VOC:	wi+Ha+ti+qoEud
        GLOSS:	and+will+it/they/she+sit down/be seated/remain

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W6
      OFFSETS:	28-30
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ارابيزي
     IS_TRANS:	ArAbyzy
        INDEX:	P31W7
      OFFSETS:	31-38
       TOKENS:	P31W9-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ArAbiyz_1]
   UNSPLITVOC:	(ArAbiyziy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ArAbiyz+iy
        GLOSS:	stay+my

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W8
      OFFSETS:	39-41
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التلاجة
     IS_TRANS:	AltlAjp
        INDEX:	P31W9
      OFFSETS:	42-49
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tal~Ajap_1]
   UNSPLITVOC:	(Altal~Ajap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+tal~Aj+ap
        GLOSS:	the+refrigerator+[fem.sg.]

 INPUT STRING:	
     IS_TRANS:	&#xe415;&#xe415;
        INDEX:	P31W10
      OFFSETS:	50-52
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe415;&#xe415;)
          POS:	NO_FUNC
          VOC:	??
        GLOSS:	nogloss

 INPUT STRING:	اجيلك
     IS_TRANS:	Ajylk
        INDEX:	P32W1
      OFFSETS:	0-5
       TOKENS:	P32W1-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(|jiy_lik)
          POS:	IV1S+IV+PREP+PRON_2FS
          VOC:	|+jiy+li+ik
        GLOSS:	I+occur/came/come/reach/arrive+to/for+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P32W2
      OFFSETS:	6-9
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P32W3
      OFFSETS:	10-11
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	مازن
     IS_TRANS:	mAzn
        INDEX:	P32W4
      OFFSETS:	12-16
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAzin_1]
   UNSPLITVOC:	(mAzin)
          POS:	NOUN_PROP
          VOC:	mAzin
        GLOSS:	Mazen/Mazin

 INPUT STRING:	ببقه
     IS_TRANS:	bbqh
        INDEX:	P32W5
      OFFSETS:	17-21
       TOKENS:	P32W7-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buq~_1]
   UNSPLITVOC:	(bibuq~uh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+buq~+uh
        GLOSS:	with/by+mouth+his/its

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P32W6
      OFFSETS:	22-24
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتبات
     IS_TRANS:	htbAt
        INDEX:	P32W7
      OFFSETS:	25-30
       TOKENS:	P32W11-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAt_1]
   UNSPLITVOC:	(hatibAt)
          POS:	FUT_PART+IV3FS+IV
          VOC:	ha+ti+bAt
        GLOSS:	will+it/they/she+become/remain

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P33W2
      OFFSETS:	4-5
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	مازن
     IS_TRANS:	mAzn
        INDEX:	P33W3
      OFFSETS:	6-10
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAzin_1]
   UNSPLITVOC:	(mAzin)
          POS:	NOUN_PROP
          VOC:	mAzin
        GLOSS:	Mazen/Mazin

 INPUT STRING:	بنحبها
     IS_TRANS:	bnHbhA
        INDEX:	P33W4
      OFFSETS:	11-17
       TOKENS:	P33W4-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biniHib~ahA)
          POS:	PROG_PART+IV1P+IV+IVSUFF_DO:3FS
          VOC:	bi+ni+Hib~+hA
        GLOSS:	[present-tense]+we+love/like/want+it/them/her

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P33W5
      OFFSETS:	18-21
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P34W2
      OFFSETS:	4-8
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miHam~ad_1]
   UNSPLITVOC:	(miHam~ad)
          POS:	NOUN_PROP
          VOC:	miHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	مسموم
     IS_TRANS:	msmwm
        INDEX:	P34W3
      OFFSETS:	9-14
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masomuwm_1]
   UNSPLITVOC:	(masomuwm)
          POS:	ADJ
          VOC:	masomuwm
        GLOSS:	poisoned/poisonous/toxic

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P34W4
      OFFSETS:	15-17
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P34W5
      OFFSETS:	18-21
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P35W1
      OFFSETS:	0-2
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	مازن
     IS_TRANS:	mAzn
        INDEX:	P35W2
      OFFSETS:	3-7
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAzin_1]
   UNSPLITVOC:	(mAzin)
          POS:	NOUN_PROP
          VOC:	mAzin
        GLOSS:	Mazen/Mazin

 INPUT STRING:	عرفها
     IS_TRANS:	ErfhA
        INDEX:	P35W3
      OFFSETS:	8-13
       TOKENS:	P35W3-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(EirifhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Eirif+(null)+hA
        GLOSS:	know+he/it+it/them/her

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P35W4
      OFFSETS:	14-17
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P36W1
      OFFSETS:	0-3
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بحبها
     IS_TRANS:	bHbhA
        INDEX:	P36W2
      OFFSETS:	4-9
       TOKENS:	P36W2-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(baHib~ahA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Hib~+hA
        GLOSS:	[present-tense]+I+love/like/want+it/them/her

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P36W3
      OFFSETS:	10-13
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	much+[acc.indef.]

 INPUT STRING:	حا
     IS_TRANS:	HA
        INDEX:	P36W4
      OFFSETS:	14-16
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HA)
          POS:	TYPO
          VOC:	HA
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P36W5
      OFFSETS:	17-19
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مبقدرش
     IS_TRANS:	mbqdr$
        INDEX:	P36W6
      OFFSETS:	20-26
       TOKENS:	P36W8-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(ma_baqodar$)
          POS:	NEG_PART+PROG_PART+IV1S+IV+NEG_PART
          VOC:	mA+bi+Aa+qodar+$
        GLOSS:	not+[present-tense]+I+be able+not

 INPUT STRING:	اكمل
     IS_TRANS:	Akml
        INDEX:	P36W7
      OFFSETS:	27-31
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(Aakam~il)
          POS:	IV1S+IV
          VOC:	Aa+kam~il
        GLOSS:	I+complete/finish

 INPUT STRING:	قطعة
     IS_TRANS:	qTEp
        INDEX:	P36W8
      OFFSETS:	32-36
       TOKENS:	P36W13-P36W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiToEap_1]
   UNSPLITVOC:	(qiToEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiToE+ap
        GLOSS:	piece/portion/segment/currency/pieces/portions/segments/currencies+[fem.sg.]

 INPUT STRING:	حبتها
     IS_TRANS:	HbthA
        INDEX:	P37W1
      OFFSETS:	0-5
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(Hab~ithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	Hab~+it+hA
        GLOSS:	love/like/want+it/they/she+it/them/her

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P37W2
      OFFSETS:	6-9
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P37W3
      OFFSETS:	10-11
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	قلتله
     IS_TRANS:	qltlh
        INDEX:	P37W4
      OFFSETS:	12-17
       TOKENS:	P37W5-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult_luh)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_3MS
          VOC:	qul+t+li+uh
        GLOSS:	said/say/be said/(for example)+I+to/for+him

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P37W5
      OFFSETS:	18-20
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lY)
          POS:	TYPO
          VOC:	lY
        GLOSS:	nogloss

 INPUT STRING:	ضمانتى
     IS_TRANS:	DmAntY
        INDEX:	P37W6
      OFFSETS:	21-27
       TOKENS:	P37W9-P37W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DamAnap_1]
   UNSPLITVOC:	(DamAntiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	DamAn+ap+iy
        GLOSS:	guarantee/security/insurance+[fem.sg.]+my

 INPUT STRING:	جيب
     IS_TRANS:	jyb
        INDEX:	P37W7
      OFFSETS:	28-31
       TOKENS:	P37W11-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jiyb)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	jiyb+(null)
        GLOSS:	explore/traverse+you

 INPUT STRING:	زيي
     IS_TRANS:	zyy
        INDEX:	P37W8
      OFFSETS:	32-35
       TOKENS:	P37W12-P37W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	zay~+iy
        GLOSS:	like+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P38W1
      OFFSETS:	0-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P38W2
      OFFSETS:	4-7
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	بعملها
     IS_TRANS:	bEmlhA
        INDEX:	P38W3
      OFFSETS:	8-14
       TOKENS:	P38W3-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(baEomilhA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Eomil+hA
        GLOSS:	[present-tense]+I+function/make/act/do+it/them/her

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P38W4
      OFFSETS:	15-19
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	اكون
     IS_TRANS:	Akwn
        INDEX:	P38W5
      OFFSETS:	20-24
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Aakuwn)
          POS:	IV1S+IV
          VOC:	Aa+kuwn
        GLOSS:	I+be/was/were

 INPUT STRING:	عازمة
     IS_TRANS:	EAzmp
        INDEX:	P38W6
      OFFSETS:	25-30
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAzim_1]
   UNSPLITVOC:	(EAzomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAzom+ap
        GLOSS:	determined/resolved/inviting+[fem.sg.]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P38W7
      OFFSETS:	31-34
       TOKENS:	P38W9-P38W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P38W8
      OFFSETS:	35-39
       TOKENS:	P38W10-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P38W9
      OFFSETS:	40-45
       TOKENS:	P38W11-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	أصمن
     IS_TRANS:	>Smn
        INDEX:	P38W10
      OFFSETS:	46-50
       TOKENS:	P38W13-P38W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>Smn)
          POS:	TYPO
          VOC:	>Smn
        GLOSS:	nogloss

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P38W11
      OFFSETS:	51-55
       TOKENS:	P38W14-P38W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it/they

 INPUT STRING:	تخلص
     IS_TRANS:	txlS
        INDEX:	P38W12
      OFFSETS:	56-60
       TOKENS:	P38W16-P38W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(tixolaS)
          POS:	IV3FS+IV
          VOC:	ti+xolaS
        GLOSS:	it/they/she+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	
     IS_TRANS:	&#xe056;
        INDEX:	P38W13
      OFFSETS:	61-62
       TOKENS:	P38W17-P38W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe056;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P39W1
      OFFSETS:	0-2
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حلوه
     IS_TRANS:	Hlwh
        INDEX:	P39W2
      OFFSETS:	3-7
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
