 INPUT STRING:	وحشتنا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	نفتح
     IS_TRANS:	nftH
        INDEX:	P11W6
      OFFSETS:	25-29
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(nifotaH)
          POS:	IV1P+IV
          VOC:	ni+fotaH
        GLOSS:	we+open/conquer/be opened/be conquered

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P11W7
      OFFSETS:	30-34
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	nifos+ak
        GLOSS:	appetite+your

 INPUT STRING:	للشغل
     IS_TRANS:	ll$gl
        INDEX:	P11W8
      OFFSETS:	35-40
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(lil$~ugol)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$ugol
        GLOSS:	for/to+the+work/activity/occupation/labor/business

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P12W3
      OFFSETS:	9-12
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بانصحك
     IS_TRANS:	bAnSHk
        INDEX:	P12W4
      OFFSETS:	13-19
       TOKENS:	P12W4-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bAnSHk)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	bi+Aa+nSaH+ak
        GLOSS:	[present tense]+I + advise+you

 INPUT STRING:	بأكل
     IS_TRANS:	b>kl
        INDEX:	P12W5
      OFFSETS:	20-24
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(bi>akol)
          POS:	PREP+NOUN
          VOC:	bi+>akol
        GLOSS:	with/by+eating/consumption/food/meal

 INPUT STRING:	السمك
     IS_TRANS:	Alsmk
        INDEX:	P12W6
      OFFSETS:	25-30
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samakap_1]
   UNSPLITVOC:	(Alsamak)
          POS:	DET+NOUN
          VOC:	Al+samak
        GLOSS:	the+a fish

 INPUT STRING:	زيي
     IS_TRANS:	zyy
        INDEX:	P12W7
      OFFSETS:	31-34
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[zay~_2]
   UNSPLITVOC:	(zay~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	zay~+iy
        GLOSS:	as/like+my

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P12W8
      OFFSETS:	35-39
       TOKENS:	P12W12-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	مفيد
     IS_TRANS:	mfyd
        INDEX:	P12W9
      OFFSETS:	40-44
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufiyd_1]
   UNSPLITVOC:	(mufiyd)
          POS:	ADJ
          VOC:	mufiyd
        GLOSS:	useful/beneficial

 INPUT STRING:	للصحه
     IS_TRANS:	llSHh
        INDEX:	P12W10
      OFFSETS:	45-50
       TOKENS:	P12W15-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(lilS~iH~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+SiH~+ap
        GLOSS:	for/to+the+health/authenticity/truth/correctness+[fem.sg.]

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P12W11
      OFFSETS:	51-55
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W12
      OFFSETS:	56-58
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اكل
     IS_TRANS:	Akl
        INDEX:	P12W13
      OFFSETS:	59-62
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(>akol)
          POS:	NOUN
          VOC:	>akol
        GLOSS:	eating/consumption/food/meal

 INPUT STRING:	اللحمة
     IS_TRANS:	AllHmp
        INDEX:	P12W14
      OFFSETS:	63-69
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHomap_1]
   UNSPLITVOC:	(AllaHomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+laHom+ap
        GLOSS:	the+soldering iron/meat/flesh/corpulent/soldering/solder/weld/welding+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P12W15
      OFFSETS:	70-74
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	عمال
     IS_TRANS:	EmAl
        INDEX:	P12W16
      OFFSETS:	75-79
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Al)
          POS:	ADJ
          VOC:	Eam~Al
        GLOSS:	continue

 INPUT STRING:	تأكل
     IS_TRANS:	t>kl
        INDEX:	P12W17
      OFFSETS:	80-84
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(tAkul)
          POS:	IV2MS+IV
          VOC:	t+Akul
        GLOSS:	you+eat

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P12W18
      OFFSETS:	85-89
       TOKENS:	P12W24-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her/them

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P12W19
      OFFSETS:	90-92
       TOKENS:	P12W26-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	يزود
     IS_TRANS:	yzwd
        INDEX:	P13W2
      OFFSETS:	6-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaw~id_1]
   UNSPLITVOC:	(yizaw~id)
          POS:	IV3MS+IV
          VOC:	yi+zaw~id
        GLOSS:	he/it+add/augment/supply/provide

 INPUT STRING:	حكمتك
     IS_TRANS:	Hkmtk
        INDEX:	P13W3
      OFFSETS:	11-16
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hikomap_1]
   UNSPLITVOC:	(Hikomitak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	Hikom+ap+ak
        GLOSS:	wisdom/maxim+[fem.sg.]+your [masc.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W4
      OFFSETS:	17-19
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P13W5
      OFFSETS:	20-23
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	بركتنا
     IS_TRANS:	brktnA
        INDEX:	P13W6
      OFFSETS:	24-30
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	barak+ap+nA
        GLOSS:	blessing+[fem.sg.]+our

 INPUT STRING:	سمك
     IS_TRANS:	smk
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samakap_1]
   UNSPLITVOC:	(samak)
          POS:	NOUN
          VOC:	samak
        GLOSS:	a fish

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ولحمة
     IS_TRANS:	wlHmp
        INDEX:	P14W3
      OFFSETS:	8-13
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHomap_1]
   UNSPLITVOC:	(wilaHomap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+laHom+ap
        GLOSS:	and+soldering iron/meat/flesh/corpulent/soldering/solder/weld/welding+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P14W4
      OFFSETS:	14-17
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W5
      OFFSETS:	18-19
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	الظاهر
     IS_TRANS:	AlZAhr
        INDEX:	P14W6
      OFFSETS:	20-26
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAhir_1]
   UNSPLITVOC:	(AlZAhir)
          POS:	DET+ADJ
          VOC:	Al+ZAhir
        GLOSS:	the+evident/apparent/manifest/visible

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P14W7
      OFFSETS:	27-30
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+you

 INPUT STRING:	جعان
     IS_TRANS:	jEAn
        INDEX:	P14W8
      OFFSETS:	31-35
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEAn_1]
   UNSPLITVOC:	(jaEAn)
          POS:	ADJ
          VOC:	jaEAn
        GLOSS:	hungry

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W9
      OFFSETS:	36-37
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W10
      OFFSETS:	37-38
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W11
      OFFSETS:	38-39
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W12
      OFFSETS:	39-40
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W13
      OFFSETS:	40-41
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W14
      OFFSETS:	41-42
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W15
      OFFSETS:	42-43
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بقولك
     IS_TRANS:	bqwlk
        INDEX:	P15W2
      OFFSETS:	4-9
       TOKENS:	P15W2-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl_lak)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_2MS
          VOC:	bi+Aa+quwl+li+ak
        GLOSS:	[present-tense]+I+say+for/to+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P15W4
      OFFSETS:	13-17
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	صحتك
     IS_TRANS:	SHtk
        INDEX:	P15W5
      OFFSETS:	18-22
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~itak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	SiH~+ap+ak
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]+your

 INPUT STRING:	وبرضه
     IS_TRANS:	wbrDh
        INDEX:	P15W6
      OFFSETS:	23-28
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(wibaroDuh)
          POS:	CONJ+ADV
          VOC:	wi+baroDuh
        GLOSS:	and+also

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P15W7
      OFFSETS:	29-32
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	صيام
     IS_TRANS:	SyAm
        INDEX:	P15W8
      OFFSETS:	33-37
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(SiyAm)
          POS:	NOUN
          VOC:	SiyAm
        GLOSS:	fasting/abstinence

 INPUT STRING:	الرسل
     IS_TRANS:	Alrsl
        INDEX:	P15W9
      OFFSETS:	38-43
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alrusul)
          POS:	DET+NOUN
          VOC:	Al+rusul
        GLOSS:	the+messenger (Muhammad)/messenger/apostle/messengers/apostles

 INPUT STRING:	جاي
     IS_TRANS:	jAy
        INDEX:	P15W10
      OFFSETS:	44-47
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy_1]
   UNSPLITVOC:	(jAy)
          POS:	ADJ
          VOC:	jAy
        GLOSS:	arriving/coming/proceeding/next/following/future/revenue/profit

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P15W11
      OFFSETS:	48-52
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	close

 INPUT STRING:	وتكسب
     IS_TRANS:	wtksb
        INDEX:	P15W12
      OFFSETS:	53-58
       TOKENS:	P15W19-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(witikosab)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+kosab
        GLOSS:	and+you+gain/win/obtain

 INPUT STRING:	ثواب
     IS_TRANS:	vwAb
        INDEX:	P15W13
      OFFSETS:	59-63
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawAb_1]
   UNSPLITVOC:	(vawAb)
          POS:	NOUN
          VOC:	vawAb
        GLOSS:	recompense/reward

 INPUT STRING:	شكرًا
     IS_TRANS:	$krFA
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you+[indef.acc.]

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P16W3
      OFFSETS:	10-12
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	دولفن
     IS_TRANS:	dwlfn
        INDEX:	P16W4
      OFFSETS:	13-18
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwlfin_1]
   UNSPLITVOC:	(duwlfin)
          POS:	NOUN
          VOC:	duwlfin
        GLOSS:	dolphin

 INPUT STRING:	كلك
     IS_TRANS:	klk
        INDEX:	P16W5
      OFFSETS:	19-22
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ak)
          POS:	NOUN_QUANT+POSS_PRON_2MS
          VOC:	kul~+ak
        GLOSS:	all/entire/every/whole+your

 INPUT STRING:	زوق
     IS_TRANS:	zwq
        INDEX:	P16W6
      OFFSETS:	23-26
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(zwq)
          POS:	TYPO
          VOC:	zwq
        GLOSS:	nogloss

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/entire/every/whole

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	وانتم
     IS_TRANS:	wAntm
        INDEX:	P17W3
      OFFSETS:	8-13
