 INPUT STRING:	مؤمن
          VOC:	mA
        GLOSS:	is not

 INPUT STRING:	فيش
     IS_TRANS:	fy$
        INDEX:	P18W5
      OFFSETS:	15-18
       TOKENS:	P18W5-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy$)
          POS:	PREP+PRON_3MS+NEG_PART
          VOC:	fiy+uh+$
        GLOSS:	in+him/it+not

