 INPUT STRING:	معلش
        GLOSS:	be/was/were+he/it

 INPUT STRING:	بيتكلم
     IS_TRANS:	bytklm
        INDEX:	P6W22
      OFFSETS:	78-84
       TOKENS:	P6W24-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~im)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tokal~im
        GLOSS:	[present-tense]+he/it+speak/talk/discuss

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P6W23
      OFFSETS:	85-90
       TOKENS:	P6W26-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	وكنت
     IS_TRANS:	wknt
        INDEX:	P6W24
      OFFSETS:	91-95
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikunt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+kun+t
        GLOSS:	and+be/was/were+I

 INPUT STRING:	بألمح
     IS_TRANS:	b>lmH
        INDEX:	P6W25
      OFFSETS:	96-101
       TOKENS:	P6W30-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam~aH_1]
   UNSPLITVOC:	(bi>alam~aH)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+lam~aH
        GLOSS:	[present-tense]+I+allude/refer

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P6W26
      OFFSETS:	102-104
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+it/him

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P6W27
      OFFSETS:	105-107
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	بابا
     IS_TRANS:	bAbA
        INDEX:	P6W28
      OFFSETS:	108-112
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(bAbA)
          POS:	NOUN
          VOC:	bAbA
        GLOSS:	dad

 INPUT STRING:	مزرجن
     IS_TRANS:	mzrjn
        INDEX:	P6W29
      OFFSETS:	113-118
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mizarojin_1]
   UNSPLITVOC:	(mizarojin)
          POS:	ADJ
          VOC:	mizarojin
        GLOSS:	stuck

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W30
      OFFSETS:	119-121
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>n)
          POS:	FOREIGN
          VOC:	>n
        GLOSS:	nogloss

 INPUT STRING:	جنرال
     IS_TRANS:	jnrAl
        INDEX:	P6W31
      OFFSETS:	122-127
       TOKENS:	P6W38-P6W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jnrAl)
          POS:	FOREIGN
          VOC:	jnrAl
        GLOSS:	nogloss

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+it/him

 INPUT STRING:	هأقوم
     IS_TRANS:	h>qwm
        INDEX:	P7W3
      OFFSETS:	7-12
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(ha>aquwm)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+>a+quwm
        GLOSS:	will+I+stand

 INPUT STRING:	أسيبك
     IS_TRANS:	>sybk
        INDEX:	P7W4
      OFFSETS:	13-18
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(Aasiybak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+siyb+ak
        GLOSS:	I+flow/neglect+you

 INPUT STRING:	تركز
     IS_TRANS:	trkz
        INDEX:	P7W5
      OFFSETS:	19-23
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rak~iz_1]
   UNSPLITVOC:	(tirak~iz)
          POS:	IV2MS+IV
          VOC:	ti+rak~iz
        GLOSS:	you+focus/emphasize/concentrate

 INPUT STRING:	الشركة
     IS_TRANS:	Al$rkp
        INDEX:	P7W6
      OFFSETS:	24-30
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irokap_1]
   UNSPLITVOC:	(Al$irokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$irok+ap
        GLOSS:	the+association/society/associations/societies/club/government-owned fod store/union/consumer shops+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P7W7
      OFFSETS:	31-33
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P7W8
      OFFSETS:	34-39
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P7W9
      OFFSETS:	40-43
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P7W10
      OFFSETS:	44-46
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me/I

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P7W11
      OFFSETS:	47-49
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P7W12
      OFFSETS:	50-52
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P7W13
      OFFSETS:	53-57
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	normal

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W14
      OFFSETS:	58-61
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P7W15
      OFFSETS:	62-66
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P7W16
      OFFSETS:	67-71
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	ADJ
          VOC:	dAxil
        GLOSS:	entering

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P7W17
      OFFSETS:	72-75
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P7W18
      OFFSETS:	76-80
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ساكت
     IS_TRANS:	sAkt
        INDEX:	P7W19
      OFFSETS:	81-85
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkit_1]
   UNSPLITVOC:	(sAkit)
          POS:	ADJ
          VOC:	sAkit
        GLOSS:	silent/calm

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(l<n)
          POS:	FOREIGN
          VOC:	l<n
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W3
      OFFSETS:	8-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W4
      OFFSETS:	11-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	اجازة
     IS_TRANS:	AjAzp
        INDEX:	P8W5
      OFFSETS:	15-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(>ajAzap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>ajAz+ap
        GLOSS:	furlough/permit/holiday/leave/certificate/degree/forgiveness/pardon+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W6
      OFFSETS:	21-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W7
      OFFSETS:	22-23
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W8
      OFFSETS:	23-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P8W9
      OFFSETS:	25-28
       TOKENS:	P8W9-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+uh
        GLOSS:	and+in+it/him

 INPUT STRING:	انترفيو
     IS_TRANS:	Antrfyw
        INDEX:	P8W10
      OFFSETS:	29-36
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Antrfyw)
          POS:	FOREIGN
          VOC:	Antrfyw
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W11
      OFFSETS:	37-38
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W12
      OFFSETS:	38-39
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W13
      OFFSETS:	39-40
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P8W14
      OFFSETS:	41-44
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P8W15
      OFFSETS:	45-51
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	نزلنا
     IS_TRANS:	nzlnA
        INDEX:	P8W16
      OFFSETS:	52-57
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizilnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	nizil+nA
        GLOSS:	descend/come/desend/stay+we

 INPUT STRING:	مخصوص
     IS_TRANS:	mxSwS
        INDEX:	P8W17
      OFFSETS:	58-63
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoSuwS_1]
   UNSPLITVOC:	(maxoSuwS)
          POS:	ADJ
          VOC:	maxoSuwS
        GLOSS:	special/secret

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hy)
          POS:	FOREIGN
          VOC:	hy
        GLOSS:	nogloss

 INPUT STRING:	ديدنعت
     IS_TRANS:	dydnEt
        INDEX:	P9W2
      OFFSETS:	3-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dydnEt)
          POS:	FOREIGN
          VOC:	dydnEt
        GLOSS:	nogloss

 INPUT STRING:	كوم
     IS_TRANS:	kwm
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwm)
          POS:	FOREIGN
          VOC:	kwm
        GLOSS:	nogloss

 INPUT STRING:	الثة
     IS_TRANS:	Alvp
        INDEX:	P9W4
      OFFSETS:	14-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alvp)
          POS:	FOREIGN
          VOC:	Alvp
        GLOSS:	nogloss

 INPUT STRING:	الكمباني
     IS_TRANS:	AlkmbAny
        INDEX:	P9W5
      OFFSETS:	19-27
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlkmbAny)
          POS:	FOREIGN
          VOC:	AlkmbAny
        GLOSS:	nogloss

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P9W6
      OFFSETS:	28-33
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	وكانت
     IS_TRANS:	wkAnt
        INDEX:	P9W7
      OFFSETS:	34-39
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAnit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+kAn+it
        GLOSS:	and+be/was/were+it/they/she

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P9W8
      OFFSETS:	40-45
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P9W9
      OFFSETS:	46-49
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W10
      OFFSETS:	50-51
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W11
      OFFSETS:	51-52
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W12
      OFFSETS:	52-53
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W13
      OFFSETS:	53-54
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	بأسأله
     IS_TRANS:	b>s>lh
        INDEX:	P10W3
      OFFSETS:	9-15
       TOKENS:	P10W3-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(bAaso>aluh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+Aa+so>al+uh
        GLOSS:	[present-tense]+I+ask/inquire/request/be asked+it/him

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P10W4
      OFFSETS:	16-18
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	وواحد
     IS_TRANS:	wwAHd
        INDEX:	P10W5
      OFFSETS:	19-24
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wiwAHid)
          POS:	CONJ+NOUN_NUM
          VOC:	wi+wAHid
        GLOSS:	and+one

 INPUT STRING:	زميلنا
     IS_TRANS:	zmylnA
        INDEX:	P10W6
      OFFSETS:	25-31
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zimiyl_1]
   UNSPLITVOC:	(zimiylnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	zimiyl+nA
        GLOSS:	associate/companions/colleagues/colleague/associates/companion+our

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
