 INPUT STRING:	الووو
        LEMMA:	[Eazim_1]
   UNSPLITVOC:	(EazmAk)
          POS:	ADJ+PRON_2MS
          VOC:	EazmA+ak
        GLOSS:	inviting+you

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P32W5
      OFFSETS:	23-26
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	وماما
     IS_TRANS:	wmAmA
        INDEX:	P32W6
      OFFSETS:	27-32
       TOKENS:	P32W9-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(wimAmA)
          POS:	CONJ+NOUN
          VOC:	wi+mAmA
        GLOSS:	and+mama

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P32W7
      OFFSETS:	33-36
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفطار
     IS_TRANS:	AlfTAr
        INDEX:	P32W8
      OFFSETS:	37-43
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiTAr_1]
   UNSPLITVOC:	(AlfiTAr)
          POS:	DET+NOUN
          VOC:	Al+fiTAr
        GLOSS:	the+breaking the fast/breaking of the ramadan fast/meal eaten at sunset/breakfast

 INPUT STRING:	وروحو
     IS_TRANS:	wrwHw
        INDEX:	P33W1
      OFFSETS:	0-5
       TOKENS:	P33W1-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiruwHuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+ruwH+uwA
        GLOSS:	and+begin/go+you

 INPUT STRING:	تكا
     IS_TRANS:	tkA
        INDEX:	P33W2
      OFFSETS:	6-9
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tik~A_1]
   UNSPLITVOC:	(tik~A)
          POS:	NOUN_PROP
          VOC:	tik~A
        GLOSS:	tikka

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyon_1]
   UNSPLITVOC:	(fiyon)
          POS:	REL_ADV
          VOC:	fiyon
        GLOSS:	where

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	تحسسوه
     IS_TRANS:	tHsswh
        INDEX:	P35W2
      OFFSETS:	5-11
       TOKENS:	P35W3-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Has~is_1]
   UNSPLITVOC:	(toHas~isuwAh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	to+Has~is+uwA+h
        GLOSS:	you+make feel+you[pl.]+him/it

 INPUT STRING:	بجو
     IS_TRANS:	bjw
        INDEX:	P35W3
      OFFSETS:	12-15
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(bijaw~)
          POS:	PREP+NOUN
          VOC:	bi+jaw~
        GLOSS:	with/by+climate/atmosphere/by air/by plane/air

 INPUT STRING:	اسري
     IS_TRANS:	Asry
        INDEX:	P35W4
      OFFSETS:	16-20
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usariy_1]
   UNSPLITVOC:	(>usariy)
          POS:	ADJ
          VOC:	>usariy
        GLOSS:	family/domestic

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P36W1
      OFFSETS:	0-2
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P36W2
      OFFSETS:	3-7
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	متصلش
     IS_TRANS:	mtSl$
        INDEX:	P36W3
      OFFSETS:	8-13
       TOKENS:	P36W3-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(mAAit~aSal$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+Ait~aSal+(null)+$
        GLOSS:	not+contact/get in touch (with)+he/it+not

 INPUT STRING:	بيا
     IS_TRANS:	byA
        INDEX:	P36W4
      OFFSETS:	14-17
       TOKENS:	P36W6-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biy~A)
          POS:	PREP+PRON_1S
          VOC:	biy~+A
        GLOSS:	with/by+me

 INPUT STRING:	وقالي
     IS_TRANS:	wqAly
        INDEX:	P36W5
      OFFSETS:	18-23
       TOKENS:	P36W8-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl~iy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	wi+qAl+(null)+li+iy
        GLOSS:	and+said/say/be said/(for example)+he/it+to/for+me/it

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P36W6
      OFFSETS:	24-26
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P36W7
      OFFSETS:	27-30
       TOKENS:	P36W13-P36W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P36W8
      OFFSETS:	31-36
       TOKENS:	P36W14-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P36W9
      OFFSETS:	37-40
       TOKENS:	P36W16-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P37W2
      OFFSETS:	5-9
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sah~il_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P38W1
      OFFSETS:	0-2
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	مكتئب
     IS_TRANS:	mkt}b
        INDEX:	P38W2
      OFFSETS:	3-8
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukota}ib_1]
   UNSPLITVOC:	(mukota}ib)
          POS:	ADJ
          VOC:	mukota}ib
        GLOSS:	depressed/dejected

 INPUT STRING:	وحزين
     IS_TRANS:	wHzyn
        INDEX:	P38W3
      OFFSETS:	9-14
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haziyn_1]
   UNSPLITVOC:	(wiHaziyn)
          POS:	CONJ+ADJ
          VOC:	wi+Haziyn
        GLOSS:	and+sad/mourning

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P39W1
      OFFSETS:	0-2
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P39W2
      OFFSETS:	3-6
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P40W2
      OFFSETS:	3-8
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	ستو
     IS_TRANS:	stw
        INDEX:	P40W3
      OFFSETS:	9-12
       TOKENS:	P40W3-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~h)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	sit~+uh
        GLOSS:	lady/miss/ladies/misses+his/its

 INPUT STRING:	سافرت
     IS_TRANS:	sAfrt
        INDEX:	P40W4
      OFFSETS:	13-18
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(sAforit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	sAfor+it
        GLOSS:	travel+it/they/she

 INPUT STRING:	العين
     IS_TRANS:	AlEyn
        INDEX:	P40W5
      OFFSETS:	19-24
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(AlEiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+Eayn
        GLOSS:	the+Ain/Ein

 INPUT STRING:	السخنه
     IS_TRANS:	Alsxnh
        INDEX:	P40W6
      OFFSETS:	25-31
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suxonap_1]
   UNSPLITVOC:	(Alsuxonap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+suxon+ap
        GLOSS:	the+Sokhna+[fem.sg.]

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	PART+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	so/and+it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	بيفطر
     IS_TRANS:	byfTr
        INDEX:	P41W2
      OFFSETS:	4-9
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiTir_1]
   UNSPLITVOC:	(biyifoTar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+foTar
        GLOSS:	[present-tense]+he/it+be given breakfast/constitute fast breaking/give breakfast to/breakfast/eat breakfast

 INPUT STRING:	لوحدي
     IS_TRANS:	lwHdy
        INDEX:	P41W3
      OFFSETS:	10-15
       TOKENS:	P41W5-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+waHod+iy
        GLOSS:	for/to+alone/only+my

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P42W1
      OFFSETS:	0-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بتشم
     IS_TRANS:	bt$m
        INDEX:	P42W2
      OFFSETS:	3-7
       TOKENS:	P42W2-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$am_1]
   UNSPLITVOC:	(biti$im)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+$im
        GLOSS:	[present-tense]+it/they/she+smell

 INPUT STRING:	الهوا
     IS_TRANS:	AlhwA
        INDEX:	P42W3
      OFFSETS:	8-13
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(AlhawA)
          POS:	DET+NOUN
          VOC:	Al+hawA
        GLOSS:	the+air

 INPUT STRING:	برضة
     IS_TRANS:	brDp
        INDEX:	P42W4
      OFFSETS:	14-18
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	نصحة
     IS_TRANS:	nSHp
        INDEX:	P42W5
      OFFSETS:	19-23
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nASiH_1]
   UNSPLITVOC:	(naSoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	naSoH+ap
        GLOSS:	smart+[fem.sg.]

 INPUT STRING:	بتعرف
     IS_TRANS:	btErf
        INDEX:	P42W6
      OFFSETS:	24-29
       TOKENS:	P42W7-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(bitiEoraf)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Eoraf
        GLOSS:	[present-tense]+it/they/she+know

 INPUT STRING:	تتفسح
     IS_TRANS:	ttfsH
        INDEX:	P42W7
      OFFSETS:	30-35
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofas~aH_1]
   UNSPLITVOC:	(titofas~aH)
          POS:	IV3FS+IV
          VOC:	ti+tofas~aH
        GLOSS:	it/they/she+stroll around

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P43W1
      OFFSETS:	0-2
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P43W2
      OFFSETS:	3-7
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	بقاله
     IS_TRANS:	bqAlh
        INDEX:	P44W1
      OFFSETS:	0-5
       TOKENS:	P44W1-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqay_1]
   UNSPLITVOC:	(boqA_luh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	boqA+(null)+li+uh
        GLOSS:	be/became/become/remain+he/it+to/for+him

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P44W2
      OFFSETS:	6-11
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwmiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	today/day/some day/ever/days+two

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P45W1
      OFFSETS:	0-2
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	ومجاش
     IS_TRANS:	wmjA$
        INDEX:	P46W1
      OFFSETS:	0-5
       TOKENS:	P46W1-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(wimA_jA$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	wi+mA+jA+(null)+$
        GLOSS:	and+not+occur/came/come/reach/arrive+he/it+not

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P46W2
      OFFSETS:	6-9
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P47W1
      OFFSETS:	0-5
       TOKENS:	P47W1-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyuquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	قرفان
     IS_TRANS:	qrfAn
        INDEX:	P47W2
      OFFSETS:	6-11
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarofAn_1]
   UNSPLITVOC:	(qarofAn)
          POS:	ADJ
          VOC:	qarofAn
        GLOSS:	disgusted

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P48W1
      OFFSETS:	0-4
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	مقلتلوش
     IS_TRANS:	mqltlw$
        INDEX:	P48W2
      OFFSETS:	5-12
       TOKENS:	P48W2-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(mAqalitluw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+PREP+PRON_3MS+NEG_PART
          VOC:	mA+qal+it+li+uh+$
        GLOSS:	not+said/say/be said/(for example)+it/she/they+to/for+him+not

 INPUT STRING:	تعاله
     IS_TRANS:	tEAlh
        INDEX:	P48W3
      OFFSETS:	13-18
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tEAlh)
          POS:	TYPO
          VOC:	tEAlh
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P48W4
      OFFSETS:	19-22
       TOKENS:	P48W8-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P49W1
      OFFSETS:	0-2
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P50W1
      OFFSETS:	0-3
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	هكامة
     IS_TRANS:	hkAmp
        INDEX:	P50W2
      OFFSETS:	4-9
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hkAmp)
          POS:	TYPO
          VOC:	hkAmp
        GLOSS:	nogloss

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P50W3
      OFFSETS:	10-14
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P51W1
      OFFSETS:	0-5
       TOKENS:	P51W1-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(wiEa$An)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$An
        GLOSS:	and+on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P51W2
      OFFSETS:	6-10
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	بتتخانق
     IS_TRANS:	bttxAnq
        INDEX:	P51W3
