 INPUT STRING:	انهرده
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I/me

 INPUT STRING:	مخنوقة
     IS_TRANS:	mxnwqp
        INDEX:	P2W31
      OFFSETS:	112-118
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maxonuwq_1]
   UNSPLITVOC:	(maxonuwqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maxonuwq+ap
        GLOSS:	strangled/choked/throttled/suppressed+[fem.sg.]

 INPUT STRING:	وحياتي
     IS_TRANS:	wHyAty
        INDEX:	P2W32
      OFFSETS:	119-125
       TOKENS:	P2W39-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(wiHayAtiy)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	wi+HayA+ap+iy
        GLOSS:	and+life/lives+[fem.sg.]+my

 INPUT STRING:	ظلمة
     IS_TRANS:	Zlmp
        INDEX:	P2W33
      OFFSETS:	126-130
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zalomap_1]
   UNSPLITVOC:	(Zalomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Zalom+ap
        GLOSS:	darkness+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W34
      OFFSETS:	130-131
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W35
      OFFSETS:	131-132
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W36
      OFFSETS:	132-133
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W37
      OFFSETS:	133-137
       TOKENS:	P2W46-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W38
      OFFSETS:	138-140
       TOKENS:	P2W48-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يفرقنا
     IS_TRANS:	yfrqnA
        INDEX:	P2W39
      OFFSETS:	141-147
       TOKENS:	P2W49-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(yifar~aqnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+far~aq+nA
        GLOSS:	he/it+separate/differentiate+us

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P2W40
      OFFSETS:	148-152
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abad_1]
   UNSPLITVOC:	(>abadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>abad+AF
        GLOSS:	eternity/forever/never/definitely not/not at all+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W41
      OFFSETS:	152-153
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W42
      OFFSETS:	153-154
       TOKENS:	P2W53-P2W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W43
      OFFSETS:	154-155
       TOKENS:	P2W54-P2W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W44
      OFFSETS:	156-160
       TOKENS:	P2W55-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يبارك
     IS_TRANS:	ybArk
        INDEX:	P2W45
      OFFSETS:	161-166
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArik_1]
   UNSPLITVOC:	(yibArik)
          POS:	IV3MS+IV
          VOC:	yi+bArik
        GLOSS:	he/it+congratulate/bless/approve

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W46
      OFFSETS:	167-169
       TOKENS:	P2W58-P2W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W47
      OFFSETS:	170-172
       TOKENS:	P2W60-P2W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شريف
     IS_TRANS:	$ryf
        INDEX:	P2W48
      OFFSETS:	173-177
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyf_1]
   UNSPLITVOC:	($iriyf)
          POS:	NOUN_PROP
          VOC:	$iriyf
        GLOSS:	Sheriff

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W49
      OFFSETS:	177-178
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W50
      OFFSETS:	178-179
       TOKENS:	P2W63-P2W63
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P2W51
      OFFSETS:	179-181
       TOKENS:	P2W64-P2W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	الفل
     IS_TRANS:	Alfl
        INDEX:	P2W52
      OFFSETS:	182-186
       TOKENS:	P2W65-P2W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ful~_1]
   UNSPLITVOC:	(Alful~)
          POS:	DET+NOUN
          VOC:	Al+ful~
        GLOSS:	the+jasmine

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P2W53
      OFFSETS:	187-192
       TOKENS:	P2W66-P2W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W54
      OFFSETS:	193-195
       TOKENS:	P2W68-P2W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P2W55
      OFFSETS:	196-199
       TOKENS:	P2W69-P2W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W56
      OFFSETS:	200-204
       TOKENS:	P2W70-P2W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P2W57
      OFFSETS:	205-209
       TOKENS:	P2W71-P2W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P2W58
      OFFSETS:	210-213
       TOKENS:	P2W72-P2W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W59
      OFFSETS:	214-215
       TOKENS:	P2W73-P2W73
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

