 INPUT STRING:	ياسمين
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	كلمتيني
     IS_TRANS:	klmtyny
        INDEX:	P9W23
      OFFSETS:	105-112
       TOKENS:	P9W33-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	kal~im+tiy+niy
        GLOSS:	talk/speak/talk to+you+me

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P9W24
      OFFSETS:	113-117
       TOKENS:	P9W35-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P9W25
      OFFSETS:	118-121
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	لابسة
     IS_TRANS:	lAbsp
        INDEX:	P9W26
      OFFSETS:	122-127
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbosap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	lAbos+ap
        GLOSS:	wearing+[fem.sg.]

 INPUT STRING:	ومستنياكي
     IS_TRANS:	wmstnyAky
        INDEX:	P9W27
      OFFSETS:	128-137
       TOKENS:	P9W39-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(wimisotan~iyAkiy)
          POS:	CONJ+ADJ+NSUFF_FEM_SG+PRON_2FS
          VOC:	wi+misotan~iy+ap+ik
        GLOSS:	and+waiting/anticipating+[fem.sg.]+you

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P9W28
      OFFSETS:	138-142
       TOKENS:	P9W42-P9W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	أنزل
     IS_TRANS:	>nzl
        INDEX:	P9W29
      OFFSETS:	143-147
       TOKENS:	P9W44-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Aanozil)
          POS:	IV1S+IV
          VOC:	Aa+nozil
        GLOSS:	I+descend/come/desend/stay

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as/when

 INPUT STRING:	بعت
     IS_TRANS:	bEt
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(baEat~)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baEat+~
        GLOSS:	send+I

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P10W3
      OFFSETS:	9-11
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2MS
          VOC:	li+k
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W4
      OFFSETS:	12-14
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فبراير
     IS_TRANS:	fbrAyr
        INDEX:	P10W5
      OFFSETS:	15-21
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiborAyir_1]
   UNSPLITVOC:	(fiborAyir)
          POS:	NOUN_PROP
          VOC:	fiborAyir
        GLOSS:	February

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W6
      OFFSETS:	22-25
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	ساعتها
     IS_TRANS:	sAEthA
        INDEX:	P10W7
      OFFSETS:	26-32
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	sAE+ap+hA
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]+its/their/her

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P10W8
      OFFSETS:	33-37
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W9
      OFFSETS:	38-40
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	معكيش
     IS_TRANS:	mEky$
        INDEX:	P10W10
      OFFSETS:	41-46
       TOKENS:	P10W13-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEakiy$)
          POS:	NOUN+POSS_PRON_2FS+NEG_PART
          VOC:	maEa+ik+$
        GLOSS:	with+your+not

 INPUT STRING:	موبايل
     IS_TRANS:	mwbAyl
        INDEX:	P10W11
      OFFSETS:	47-53
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(muwbAyil)
          POS:	NOUN
          VOC:	muwbAyil
        GLOSS:	mobile phone/Mobile/cell phones/mobiles

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W12
      OFFSETS:	53-54
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عامة
     IS_TRANS:	EAmp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm~ap_1]
   UNSPLITVOC:	(EAm~apF)
          POS:	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	EAm~+ap+F
        GLOSS:	general public/populace/general+[fem.sg.]+[indef.acc.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P11W2
      OFFSETS:	5-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P11W3
      OFFSETS:	9-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W4
      OFFSETS:	13-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W5
      OFFSETS:	16-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P11W6
      OFFSETS:	19-23
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W7
      OFFSETS:	24-28
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بعت
     IS_TRANS:	bEt
        INDEX:	P11W8
      OFFSETS:	29-32
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(baEat~)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baEat+~
        GLOSS:	send+I

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P11W9
      OFFSETS:	33-35
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2MS
          VOC:	li+k
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P11W10
      OFFSETS:	36-40
       TOKENS:	P11W12-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	أسأل
     IS_TRANS:	>s>l
        INDEX:	P11W11
      OFFSETS:	41-45
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>al)
          POS:	IV1S+IV
          VOC:	Aa+so>al
        GLOSS:	I+ask/inquire/request/be asked

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P11W12
      OFFSETS:	46-51
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W13
      OFFSETS:	51-52
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هأخليني
     IS_TRANS:	h>xlyny
        INDEX:	P11W14
      OFFSETS:	53-60
       TOKENS:	P11W18-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xalaY_1]
   UNSPLITVOC:	(HaAa>xaliyniy)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:1S
          VOC:	Ha+Aa+>xaliy+niy
        GLOSS:	will+I+remain/become+me

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P11W15
      OFFSETS:	61-65
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P11W16
      OFFSETS:	66-69
       TOKENS:	P11W22-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~ik)
          POS:	PREP+PRON_2FS
          VOC:	min~+ik
        GLOSS:	from+you

 INPUT STRING:	يومها
     IS_TRANS:	ywmhA
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	yuwm+hA
        GLOSS:	today/day/some day/ever/days+its/their/her

 INPUT STRING:	اتخانقت
     IS_TRANS:	AtxAnqt
        INDEX:	P12W2
      OFFSETS:	6-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoxAniq_1]
   UNSPLITVOC:	(AitoxAniqt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AitoxAniq+t
        GLOSS:	quarrel/quarril+I

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P12W3
      OFFSETS:	14-16
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P12W4
      OFFSETS:	17-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	وسحبت
     IS_TRANS:	wsHbt
        INDEX:	P12W5
      OFFSETS:	22-27
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHab_1]
   UNSPLITVOC:	(wisaHabt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+saHab+t
        GLOSS:	and+withdraw/pull out/be pulled out/be withdrawn+I

 INPUT STRING:	الموبايل
     IS_TRANS:	AlmwbAyl
        INDEX:	P12W6
      OFFSETS:	28-36
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(AlmuwbAyil)
          POS:	DET+NOUN
          VOC:	Al+muwbAyil
        GLOSS:	the+mobile phone/Mobile/cell phones/mobiles

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W7
      OFFSETS:	37-40
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	فاكرة
     IS_TRANS:	fAkrp
        INDEX:	P12W8
      OFFSETS:	41-46
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkorap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAkor+ap
        GLOSS:	remembering+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W9
      OFFSETS:	47-49
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W10
      OFFSETS:	50-52
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P12W11
      OFFSETS:	52-53
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P12W12
      OFFSETS:	54-59
       TOKENS:	P12W14-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after/if/unless/whether/as long as/as soon as/which+its/their/her

 INPUT STRING:	اسألي
     IS_TRANS:	As>ly
        INDEX:	P12W13
      OFFSETS:	60-65
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aiso>aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiso>al+iy
        GLOSS:	ask/inquire/request/be asked+you

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P12W14
      OFFSETS:	66-70
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	واسألي
     IS_TRANS:	wAs>ly
        INDEX:	P12W15
      OFFSETS:	71-77
       TOKENS:	P12W18-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(wiAiso>aliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Aiso>al+iy
        GLOSS:	and+ask/inquire/request/be asked+you

 INPUT STRING:	مريم
     IS_TRANS:	mrym
        INDEX:	P12W16
      OFFSETS:	78-82
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroyam_1]
   UNSPLITVOC:	(maroyam)
          POS:	NOUN_PROP
          VOC:	maroyam
        GLOSS:	Mariam/Miriam/Mary

 INPUT STRING:	صاحبتي
     IS_TRANS:	SAHbty
        INDEX:	P12W17
      OFFSETS:	83-89
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHobap_1]
   UNSPLITVOC:	(SAHobitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	SAHob+ap+iy
        GLOSS:	friend+[fem.sg.]+my

 INPUT STRING:	قعدت
     IS_TRANS:	qEdt
        INDEX:	P12W18
      OFFSETS:	90-94
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qaEadt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qaEad+t
        GLOSS:	sit down/be seated/remain+I

 INPUT STRING:	أقول
     IS_TRANS:	>qwl
        INDEX:	P12W19
      OFFSETS:	95-99
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/(for example)

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P12W20
      OFFSETS:	100-103
       TOKENS:	P12W25-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+them

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P12W21
      OFFSETS:	104-109
       TOKENS:	P12W27-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	وحشتيني
     IS_TRANS:	wH$tyny
        INDEX:	P12W22
      OFFSETS:	110-117
       TOKENS:	P12W29-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(waHa$tiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	waHa$+tiy+niy
        GLOSS:	miss+you+me

 INPUT STRING:	وعايزة
     IS_TRANS:	wEAyzp
        INDEX:	P12W23
      OFFSETS:	118-124
       TOKENS:	P12W31-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(wiEAyozap)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG
          VOC:	wi+EAyoz+ap
        GLOSS:	and+needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أصالحك
     IS_TRANS:	>SAlHk
        INDEX:	P12W24
      OFFSETS:	125-131
       TOKENS:	P12W33-P12W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(AaSAloHik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+SAloH+ik
        GLOSS:	I+forgive/reconciliate+you

 INPUT STRING:	ومكسوفة
     IS_TRANS:	wmkswfp
        INDEX:	P12W25
      OFFSETS:	132-139
       TOKENS:	P12W35-P12W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makosuwf_1]
   UNSPLITVOC:	(wimakosuwfap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+makosuwf+ap
        GLOSS:	and+embaressed+[fem.sg.]

 INPUT STRING:	أقسم
     IS_TRANS:	>qsm
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqosam_1]
   UNSPLITVOC:	(>uqosim)
          POS:	IV1S+IV
          VOC:	>u+qosim
        GLOSS:	I+swear

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P13W2
      OFFSETS:	5-10
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	مكسوفة
     IS_TRANS:	mkswfp
        INDEX:	P13W3
      OFFSETS:	11-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makosuwf_1]
   UNSPLITVOC:	(makosuwfap)
          POS:	ADJ+NSUFF_FEM_SG
