 INPUT STRING:	مالك
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P15W2
      OFFSETS:	6-9
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	جت
     IS_TRANS:	jt
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ja+t
        GLOSS:	came/come+it/they/she

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W4
      OFFSETS:	13-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P15W5
      OFFSETS:	17-19
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(qad~)
          POS:	NOUN
          VOC:	qad~
        GLOSS:	size/physique

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P15W6
      OFFSETS:	20-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	المذاكرة
     IS_TRANS:	Alm*Akrp
        INDEX:	P16W2
      OFFSETS:	3-11
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*Akorap_1]
   UNSPLITVOC:	(Almu*Akorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu*Akor+ap
        GLOSS:	the+studying+[fem.sg.]

 INPUT STRING:	صفر
     IS_TRANS:	Sfr
        INDEX:	P16W3
      OFFSETS:	12-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifor_1]
   UNSPLITVOC:	(Sifor)
          POS:	NOUN
          VOC:	Sifor
        GLOSS:	zero/zeros

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P16W4
      OFFSETS:	16-21
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P16W5
      OFFSETS:	22-25
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P16W6
      OFFSETS:	26-30
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P16W7
      OFFSETS:	31-35
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thankfulness/thanks/thank you+[acc.indef.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P17W2
      OFFSETS:	5-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P17W3
      OFFSETS:	8-13
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W4
      OFFSETS:	14-15
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W5
      OFFSETS:	15-16
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

