 INPUT STRING:	سعر
        GLOSS:	you+reflect/ponder/believe/think+you

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P9W11
      OFFSETS:	45-47
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyiy)
          POS:	PREP+PRON_1S
          VOC:	fiy+iy
        GLOSS:	in+me

 INPUT STRING:	أمل
     IS_TRANS:	>ml
        INDEX:	P9W12
      OFFSETS:	48-51
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(>amal)
          POS:	NOUN
          VOC:	>amal
        GLOSS:	hope/wish/hopes/wishes

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P9W13
      OFFSETS:	52-54
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P9W14
      OFFSETS:	55-60
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P9W15
      OFFSETS:	61-63
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	تغير
     IS_TRANS:	tgyr
        INDEX:	P9W16
      OFFSETS:	64-68
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(tigay~ar)
          POS:	IV2P+IV
          VOC:	ti+gay~ar
        GLOSS:	you+change/modify

 INPUT STRING:	دماغها
     IS_TRANS:	dmAghA
        INDEX:	P9W17
      OFFSETS:	69-75
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAghA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dimAg+hA
        GLOSS:	brain/brains+its/their/her

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P10W2
      OFFSETS:	4-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ywm
     IS_TRANS:	ywm
        INDEX:	P10W3
      OFFSETS:	7-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	بتنزل
     IS_TRANS:	btnzl
        INDEX:	P10W4
      OFFSETS:	11-16
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(bitinozil)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+nozil
        GLOSS:	[present-tense]+it/they/she+descend/come/desend/stay

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P10W5
      OFFSETS:	17-23
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets/legislator

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P10W6
      OFFSETS:	24-29
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	وبابالليل
     IS_TRANS:	wbAbAllyl
        INDEX:	P10W7
      OFFSETS:	30-39
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wbAbAllyl)
          POS:	TYPO
          VOC:	wbAbAllyl
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W8
      OFFSETS:	40-41
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	bjd
     IS_TRANS:	bjd
        INDEX:	P10W9
      OFFSETS:	41-44
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(bijid~)
          POS:	PREP+NOUN
          VOC:	bi+jid~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P10W10
      OFFSETS:	45-50
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+laying down/putting/placing/situation/status/condition/conditions

 INPUT STRING:	عمال
     IS_TRANS:	EmAl
        INDEX:	P10W11
      OFFSETS:	51-55
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Al)
          POS:	ADJ
          VOC:	Eam~Al
        GLOSS:	continue

 INPUT STRING:	يسوء
     IS_TRANS:	ysw'
        INDEX:	P10W12
      OFFSETS:	56-60
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sA'_1]
   UNSPLITVOC:	(yisuw')
          POS:	IV3MS+IV
          VOC:	yi+suw'
        GLOSS:	he/it+become worse

 INPUT STRING:	وكا
     IS_TRANS:	wkA
        INDEX:	P10W13
      OFFSETS:	61-64
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wkA)
          POS:	TYPO
          VOC:	wkA
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W14
      OFFSETS:	65-67
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	اركب
     IS_TRANS:	Arkb
        INDEX:	P10W15
      OFFSETS:	68-72
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rikib_1]
   UNSPLITVOC:	(Aarokab)
          POS:	IV1S+IV
          VOC:	Aa+rokab
        GLOSS:	I+take/ride

 INPUT STRING:	تاكسي
     IS_TRANS:	tAksy
        INDEX:	P10W16
      OFFSETS:	73-78
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAkosiy_1]
   UNSPLITVOC:	(tAkosiy)
          POS:	NOUN
          VOC:	tAkosiy
        GLOSS:	taxi

 INPUT STRING:	الاقية
     IS_TRANS:	AlAqyp
        INDEX:	P10W17
      OFFSETS:	79-85
       TOKENS:	P10W19-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiyh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+lAqiy+uh
        GLOSS:	I+meet/encounter/be met/be encountered+it/him

 INPUT STRING:	يسب
     IS_TRANS:	ysb
        INDEX:	P10W18
      OFFSETS:	86-89
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(yisib~)
          POS:	IV3MS+IV
          VOC:	yi+sib~
        GLOSS:	he/it+curse/swear

 INPUT STRING:	ويلعن
     IS_TRANS:	wylEn
        INDEX:	P10W19
      OFFSETS:	90-95
       TOKENS:	P10W22-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laEan_1]
   UNSPLITVOC:	(wiyiloEan)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+loEan
        GLOSS:	and+he/it+curse/damn

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W20
      OFFSETS:	96-97
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P10W21
      OFFSETS:	97-102
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W22
      OFFSETS:	103-106
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	آخرها
     IS_TRANS:	|xrhA
        INDEX:	P10W23
      OFFSETS:	107-112
       TOKENS:	P10W27-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axir_1]
   UNSPLITVOC:	(>axirhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>axir+hA
        GLOSS:	last+its/their/her

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P11W3
      OFFSETS:	8-11
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	جبت
     IS_TRANS:	jbt
        INDEX:	P11W4
      OFFSETS:	12-15
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	jib+t
        GLOSS:	explore/traverse+I

 INPUT STRING:	موبايل
     IS_TRANS:	mwbAyl
        INDEX:	P11W5
      OFFSETS:	16-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyol_1]
   UNSPLITVOC:	(muwbAyol)
          POS:	NOUN
          VOC:	muwbAyol
        GLOSS:	cell phone

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P11W6
      OFFSETS:	23-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN
          VOC:	maboruwk
        GLOSS:	blessed

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	حية
     IS_TRANS:	Hyp
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Hyp)
          POS:	TYPO
          VOC:	Hyp
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	نكية
     IS_TRANS:	nkyp
        INDEX:	P16W2
      OFFSETS:	3-7
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(nkyp)
          POS:	TYPO
          VOC:	nkyp
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W3
      OFFSETS:	7-8
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(?)
          POS:	TYPO
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	سوري
     IS_TRANS:	swry
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(swry)
          POS:	FOREIGN
          VOC:	swry
        GLOSS:	nogloss

 INPUT STRING:	هأروح
     IS_TRANS:	h>rwH
        INDEX:	P17W2
      OFFSETS:	5-10
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raH_1]
   UNSPLITVOC:	(ha>aruwH)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+>a+ruwH
        GLOSS:	will+i+go

 INPUT STRING:	أصلي
     IS_TRANS:	>Sly
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(AaSal~iy)
          POS:	IV1S+IV
          VOC:	Aa+Sal~iy
        GLOSS:	I+pray/worship/be worshiped/be prayed

 INPUT STRING:	وآجي
     IS_TRANS:	w|jy
        INDEX:	P17W4
      OFFSETS:	16-20
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(wi|jiy)
          POS:	CONJ+IV1S+IV
          VOC:	wi+|+jiy
        GLOSS:	and+I+occur/came/come/reach/arrive

 INPUT STRING:	العشا
     IS_TRANS:	AlE$A
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$A_1]
   UNSPLITVOC:	(AlEa$A)
          POS:	DET+NOUN
          VOC:	Al+Ea$A
        GLOSS:	the+dinner/supper/dinners/suppers/darkness/blindness

 INPUT STRING:	روحي
     IS_TRANS:	rwHy
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruwHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	ruwH+iy
        GLOSS:	begin/go+you

 INPUT STRING:	روحي
     IS_TRANS:	rwHy
        INDEX:	P19W2
      OFFSETS:	5-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruwHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	ruwH+iy
        GLOSS:	begin/go+you

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name/names+his/its

 INPUT STRING:	سوني
     IS_TRANS:	swny
        INDEX:	P20W2
      OFFSETS:	5-9
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwniy_1]
   UNSPLITVOC:	(suwniy)
          POS:	NOUN_PROP
          VOC:	suwniy
        GLOSS:	Sony

 INPUT STRING:	إكسبريا
     IS_TRANS:	<ksbryA
        INDEX:	P20W3
      OFFSETS:	10-17
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ikosbryA_1]
   UNSPLITVOC:	(<ikosbryA)
          POS:	NOUN_PROP
          VOC:	<ikosbryA
        GLOSS:	exbria

 INPUT STRING:	الموبايل
     IS_TRANS:	AlmwbAyl
        INDEX:	P21W1
      OFFSETS:	0-8
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(AlmuwbAyil)
          POS:	DET+NOUN
          VOC:	Al+muwbAyil
        GLOSS:	the+mobile phone/Mobile/cell phones/mobiles

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P21W2
      OFFSETS:	9-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P21W3
      OFFSETS:	12-16
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P22W2
      OFFSETS:	4-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	بأفكر
     IS_TRANS:	b>fkr
        INDEX:	P22W3
      OFFSETS:	8-13
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(bAafak~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+fak~ar
        GLOSS:	[present-tense]+I+think/consider/ponder

 INPUT STRING:	أجيبه
     IS_TRANS:	>jybh
        INDEX:	P22W4
      OFFSETS:	14-19
       TOKENS:	P22W5-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Aajiybuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+jiyb+uh
        GLOSS:	I+explore/traverse+it/him

 INPUT STRING:	لجوزي
     IS_TRANS:	ljwzy
        INDEX:	P22W5
      OFFSETS:	20-25
       TOKENS:	P22W7-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawz_1]
   UNSPLITVOC:	(lijuwziy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+juwz+iy
        GLOSS:	for/to+heart/center/middle/midst/walnut+my

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN
          VOC:	maboruwk
        GLOSS:	blessed

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousands/thousand/thounsand/one thousand

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P23W3
      OFFSETS:	10-15
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN
          VOC:	maboruwk
        GLOSS:	blessed

 INPUT STRING:	توكة
     IS_TRANS:	twkp
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
