 INPUT STRING:	الو
   UNSPLITVOC:	(jiy)
          POS:	NOUN_PROP
          VOC:	jiy
        GLOSS:	Gi

 INPUT STRING:	جب
     IS_TRANS:	jb
        INDEX:	P10W6
      OFFSETS:	22-24
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(jb)
          POS:	TYPO
          VOC:	jb
        GLOSS:	nogloss

 INPUT STRING:	جي
     IS_TRANS:	jy
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiy_1]
   UNSPLITVOC:	(jiy)
          POS:	NOUN_PROP
          VOC:	jiy
        GLOSS:	Gi

 INPUT STRING:	جي
     IS_TRANS:	jy
        INDEX:	P11W2
      OFFSETS:	3-5
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiy_1]
   UNSPLITVOC:	(jiy)
          POS:	NOUN_PROP
          VOC:	jiy
        GLOSS:	Gi

