 INPUT STRING:	شفتك
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	توم
     IS_TRANS:	twm
        INDEX:	P24W3
      OFFSETS:	12-15
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twm)
          POS:	FOREIGN
          VOC:	twm
        GLOSS:	nogloss

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P24W4
      OFFSETS:	16-18
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P24W5
      OFFSETS:	19-22
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P24W6
      OFFSETS:	23-27
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	مي
     IS_TRANS:	my
        INDEX:	P24W7
      OFFSETS:	28-30
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(my)
          POS:	FOREIGN
          VOC:	my
        GLOSS:	nogloss

 INPUT STRING:	لوفيه
     IS_TRANS:	lwfyh
        INDEX:	P24W8
      OFFSETS:	31-36
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwfyh)
          POS:	FOREIGN
          VOC:	lwfyh
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P24W9
      OFFSETS:	37-38
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	موه
     IS_TRANS:	mwh
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muw~ah_1]
   UNSPLITVOC:	(muw~ah)
          POS:	INTERJ
          VOC:	muw~ah
        GLOSS:	kissing

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P26W2
      OFFSETS:	5-7
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	وقحة
     IS_TRANS:	wqHp
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqiH_1]
   UNSPLITVOC:	(waqiHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	waqiH+ap
        GLOSS:	insolent/impertinent+[fem.sg.]

 INPUT STRING:	رايحة
     IS_TRANS:	rAyHp
        INDEX:	P26W4
      OFFSETS:	13-18
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rAyoH+ap
        GLOSS:	going+[fem.sg.]

 INPUT STRING:	النادي
     IS_TRANS:	AlnAdy
        INDEX:	P26W5
      OFFSETS:	19-25
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(AlnAdiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association/clubs/associations

 INPUT STRING:	وفاكسة
     IS_TRANS:	wfAksp
        INDEX:	P26W6
      OFFSETS:	26-32
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAkis_1]
   UNSPLITVOC:	(wifAkosap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+fAkos+ap
        GLOSS:	and+ignoring+[fem.sg.]

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P26W7
      OFFSETS:	33-35
       TOKENS:	P26W8-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	فاكسة
     IS_TRANS:	fAksp
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAkis_1]
   UNSPLITVOC:	(fAkosap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAkos+ap
        GLOSS:	ignoring+[fem.sg.]

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P27W2
      OFFSETS:	6-8
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P27W3
      OFFSETS:	10-13
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P27W4
      OFFSETS:	14-16
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P28W2
      OFFSETS:	3-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P28W3
      OFFSETS:	8-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W4
      OFFSETS:	12-14
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حأشوفك
     IS_TRANS:	H>$wfk
        INDEX:	P28W5
      OFFSETS:	15-21
       TOKENS:	P28W5-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwfik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+$uwf+ik
        GLOSS:	will+I+look+you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P29W2
      OFFSETS:	3-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	فالشغل
     IS_TRANS:	fAl$gl
        INDEX:	P29W3
      OFFSETS:	8-14
       TOKENS:	P29W3-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(fiAl$ugol)
          POS:	PREP+DET+NOUN
          VOC:	fiy+Al+$ugol
        GLOSS:	in+the+work/activity/occupation/labor/business

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P30W1
      OFFSETS:	0-2
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P30W2
      OFFSETS:	3-7
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	كلاب
     IS_TRANS:	klAb
        INDEX:	P30W3
      OFFSETS:	8-12
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalob_1]
   UNSPLITVOC:	(kilAb)
          POS:	NOUN
          VOC:	kilAb
        GLOSS:	dog/dogs

 INPUT STRING:	كلاب
     IS_TRANS:	klAb
        INDEX:	P30W4
      OFFSETS:	13-17
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalob_1]
   UNSPLITVOC:	(kilAb)
          POS:	NOUN
          VOC:	kilAb
        GLOSS:	dog/dogs

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	يخرب
     IS_TRANS:	yxrb
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(yixorib)
          POS:	IV3MS+IV
          VOC:	yi+xorib
        GLOSS:	he/it+destroy/demolish

 INPUT STRING:	بيت
     IS_TRANS:	byt
        INDEX:	P32W2
      OFFSETS:	5-8
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(biyt)
          POS:	NOUN
          VOC:	biyt
        GLOSS:	house/houses/verse/verses

 INPUT STRING:	صوتك
     IS_TRANS:	Swtk
        INDEX:	P32W3
      OFFSETS:	9-13
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Suwt_1]
   UNSPLITVOC:	(Suwtik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Suwt+ik
        GLOSS:	vote/votes/voice/sound/voices/sounds+your

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P32W4
      OFFSETS:	14-19
       TOKENS:	P32W5-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	while+you [fem.sg.]/you/feminine

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P32W5
      OFFSETS:	20-23
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P34W1
      OFFSETS:	0-4
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+I

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P35W2
      OFFSETS:	5-8
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P35W3
      OFFSETS:	9-11
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P35W4
      OFFSETS:	12-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P37W1
      OFFSETS:	0-5
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P37W2
      OFFSETS:	6-11
       TOKENS:	P37W3-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	while+we

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P37W3
      OFFSETS:	12-15
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

