 INPUT STRING:	الستودينت
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P31W7
      OFFSETS:	29-30
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	اتشعلق
     IS_TRANS:	At$Elq
        INDEX:	P31W8
      OFFSETS:	31-37
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aito$aEolaq_1]
   UNSPLITVOC:	(Aito$aEolaqi)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aito$aEolaq+i
        GLOSS:	be connected with/pertain to/clutch/adhere to/cling/hang on/be hung up/be strung up+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P31W9
      OFFSETS:	38-41
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W10
      OFFSETS:	42-44
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	باب
     IS_TRANS:	bAb
        INDEX:	P31W11
      OFFSETS:	45-48
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb_1]
   UNSPLITVOC:	(bAb)
          POS:	NOUN
          VOC:	bAb
        GLOSS:	door/gate/doors/gates/category/rubric/categories/rubrics

 INPUT STRING:	الطيارة
     IS_TRANS:	AlTyArp
        INDEX:	P31W12
      OFFSETS:	49-56
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~Arap_1]
   UNSPLITVOC:	(AlTay~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Tay~Ar+ap
        GLOSS:	the+airoplane+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P31W13
      OFFSETS:	57-59
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	استخبى
     IS_TRANS:	AstxbY
        INDEX:	P31W14
      OFFSETS:	60-66
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaxabaY_1]
   UNSPLITVOC:	(Aisotaxabiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aisotaxab+iy
        GLOSS:	hide+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W15
      OFFSETS:	67-69
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P31W16
      OFFSETS:	70-72
       TOKENS:	P31W16-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aay~_2]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شنطة
     IS_TRANS:	$nTp
        INDEX:	P31W17
      OFFSETS:	73-77
       TOKENS:	P31W17-P31W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$anoTap_1]
   UNSPLITVOC:	($anoTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$anoT+ap
        GLOSS:	suitcase/suitcases+[fem.sg.]

 INPUT STRING:	وتعالى
     IS_TRANS:	wtEAlY
        INDEX:	P31W18
      OFFSETS:	78-84
       TOKENS:	P31W18-P31W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEAlaY_1]
   UNSPLITVOC:	(witaEAliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+taEAl+iy
        GLOSS:	and+come+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P31W19
      OFFSETS:	85-87
       TOKENS:	P31W20-P31W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	حأقعد
     IS_TRANS:	H>qEd
        INDEX:	P32W1
      OFFSETS:	0-5
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(HaAaqoEud)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+qoEud
        GLOSS:	will+I+sit down/be seated/remain

 INPUT STRING:	عالجناح
     IS_TRANS:	EAljnAH
        INDEX:	P32W2
      OFFSETS:	6-13
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinAH_1]
   UNSPLITVOC:	(EaAljinAH)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+jinAH
        GLOSS:	on/above+the+wing/flank/wings/flanks/pinion/suit/arm/suite

 INPUT STRING:	ههه
     IS_TRANS:	hhh
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hahah)
          POS:	INTERJ
          VOC:	hahah
        GLOSS:	laughing

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P33W2
      OFFSETS:	4-5
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P33W3
      OFFSETS:	6-8
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P33W4
      OFFSETS:	9-11
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P33W5
      OFFSETS:	12-16
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ.VN
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تبرد
     IS_TRANS:	tbrd
        INDEX:	P33W6
      OFFSETS:	17-21
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[birid_1]
   UNSPLITVOC:	(tiborad)
          POS:	IV3FS+IV
          VOC:	ti+borad
        GLOSS:	it/they/she+refrigerate/make cold/be refrigerated/be cooled

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W7
      OFFSETS:	21-22
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P34W1
      OFFSETS:	0-2
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	قشدة
     IS_TRANS:	q$dp
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$odap_1]
   UNSPLITVOC:	(qi$odap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$od+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	ابويا
     IS_TRANS:	AbwyA
        INDEX:	P35W2
      OFFSETS:	5-10
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(AbuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Abuw+iy
        GLOSS:	father/fathers/ancestors+my

 INPUT STRING:	حبسني
     IS_TRANS:	Hbsny
        INDEX:	P35W3
      OFFSETS:	11-16
       TOKENS:	P35W4-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habas_1]
   UNSPLITVOC:	(Habasniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	Habas+(null)+niy
        GLOSS:	obstruct/confine+he/it+me

 INPUT STRING:	فالأوضة
     IS_TRANS:	fAl>wDp
        INDEX:	P35W4
      OFFSETS:	17-24
       TOKENS:	P35W6-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwDap_1]
   UNSPLITVOC:	(fiAl>uwDap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	fiy+Al+>uwD+ap
        GLOSS:	in+the+room+[fem.sg.]

 INPUT STRING:	وحلف
     IS_TRANS:	wHlf
        INDEX:	P35W5
      OFFSETS:	25-29
       TOKENS:	P35W8-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hilif_1]
   UNSPLITVOC:	(wiHilif)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Hilif+(null)
        GLOSS:	and+swear+he/it

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P35W6
      OFFSETS:	30-32
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يوديني
     IS_TRANS:	ywdyny
        INDEX:	P35W7
      OFFSETS:	33-39
       TOKENS:	P35W11-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wad~aY_1]
   UNSPLITVOC:	(yiwad~iyniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+wad~iy+niy
        GLOSS:	he/it+Gloss:TBA+me

 INPUT STRING:	الشغل
     IS_TRANS:	Al$gl
        INDEX:	P35W8
      OFFSETS:	40-45
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(Al$ugol)
          POS:	DET+NOUN
          VOC:	Al+$ugol
        GLOSS:	the+work/activity/occupation/labor/business

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P35W9
      OFFSETS:	46-50
       TOKENS:	P35W14-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	واخذ
     IS_TRANS:	wAx*
        INDEX:	P35W10
      OFFSETS:	51-55
       TOKENS:	P35W15-P35W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(wi>axa*)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>axa*+(null)
        GLOSS:	and+take/begin/be taken+he/it

 INPUT STRING:	الجيتار
     IS_TRANS:	AljytAr
        INDEX:	P35W11
      OFFSETS:	56-63
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiytAr_1]
   UNSPLITVOC:	(AljiytAr)
          POS:	DET+NOUN
          VOC:	Al+jiytAr
        GLOSS:	the+guitar

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P35W12
      OFFSETS:	64-65
       TOKENS:	P35W18-P35W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P36W1
      OFFSETS:	0-1
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	محبوسة
     IS_TRANS:	mHbwsp
        INDEX:	P36W2
      OFFSETS:	2-8
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHobuws_1]
   UNSPLITVOC:	(maHobuwsap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maHobuws+ap
        GLOSS:	imprisoned/detained+[fem.sg.]

 INPUT STRING:	فالأوضة
     IS_TRANS:	fAl>wDp
        INDEX:	P36W3
      OFFSETS:	9-16
       TOKENS:	P36W3-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwDap_1]
   UNSPLITVOC:	(fiAl>uwDap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	fiy+Al+>uwD+ap
        GLOSS:	in+the+room+[fem.sg.]

 INPUT STRING:	قفل
     IS_TRANS:	qfl
        INDEX:	P36W4
      OFFSETS:	17-20
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(qafal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qafal+(null)
        GLOSS:	return/lock+he/it

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P36W5
      OFFSETS:	21-25
       TOKENS:	P36W6-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~A_1)
          POS:	PREP+PRON_1S
          VOC:	EalaY+yA
        GLOSS:	on+me

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P36W6
      OFFSETS:	26-29
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	محبوسة
     IS_TRANS:	mHbwsp
        INDEX:	P36W7
      OFFSETS:	30-36
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHobuws_1]
   UNSPLITVOC:	(maHobuwsap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maHobuws+ap
        GLOSS:	imprisoned/detained+[fem.sg.]

 INPUT STRING:	فالأوضة
     IS_TRANS:	fAl>wDp
        INDEX:	P36W8
      OFFSETS:	37-44
       TOKENS:	P36W10-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwDap_1]
   UNSPLITVOC:	(fiAl>uwDap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	fiy+Al+>uwD+ap
        GLOSS:	in+the+room+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P37W1
      OFFSETS:	0-3
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P37W2
      OFFSETS:	4-7
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P38W1
      OFFSETS:	0-4
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P38W2
      OFFSETS:	5-8
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P38W3
      OFFSETS:	9-11
       TOKENS:	P38W4-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him/it

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P38W4
      OFFSETS:	12-14
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قادرة
     IS_TRANS:	qAdrp
        INDEX:	P38W5
      OFFSETS:	15-20
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdorap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	qAdor+ap
        GLOSS:	capable/able+[fem.sg.]

 INPUT STRING:	انزل
     IS_TRANS:	Anzl
        INDEX:	P38W6
      OFFSETS:	21-25
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Aanozil)
          POS:	IV1S+IV
          VOC:	Aa+nozil
        GLOSS:	I+descend/come/desend/stay

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P38W7
      OFFSETS:	26-30
       TOKENS:	P38W9-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P38W8
      OFFSETS:	31-34
       TOKENS:	P38W11-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	راجعة
     IS_TRANS:	rAjEp
        INDEX:	P38W9
      OFFSETS:	35-40
       TOKENS:	P38W12-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjiE_1]
   UNSPLITVOC:	(rAjoEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rAjoE+ap
        GLOSS:	returning/reverting/attributed+[fem.sg.]

 INPUT STRING:	مالجيم
     IS_TRANS:	mAljym
        INDEX:	P38W10
      OFFSETS:	41-47
       TOKENS:	P38W13-P38W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mAljym)
          POS:	TYPO
          VOC:	mAljym
        GLOSS:	nogloss

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P38W11
      OFFSETS:	48-52
       TOKENS:	P38W14-P38W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	مالصبح
     IS_TRANS:	mAlSbH
        INDEX:	P38W12
      OFFSETS:	53-59
       TOKENS:	P38W16-P38W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(miAlSuboH)
          POS:	PREP+DET+NOUN
          VOC:	mi+Al+SuboH
        GLOSS:	from+the+morning/daybreak/mornings

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P38W13
      OFFSETS:	60-63
       TOKENS:	P38W18-P38W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	ADV
          VOC:	bar~ah
        GLOSS:	outside/outer part/overseas/exterior/out of play/leaving/departing/exiting

 INPUT STRING:	وحلف
     IS_TRANS:	wHlf
        INDEX:	P38W14
      OFFSETS:	64-68
       TOKENS:	P38W19-P38W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hilif_1]
   UNSPLITVOC:	(wiHilif)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Hilif+(null)
        GLOSS:	and+swear+he/it

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P38W15
      OFFSETS:	69-72
       TOKENS:	P38W21-P38W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+i

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P38W16
      OFFSETS:	73-75
       TOKENS:	P38W23-P38W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	حأشوف
     IS_TRANS:	H>$wf
        INDEX:	P38W17
      OFFSETS:	76-81
       TOKENS:	P38W24-P38W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$uwf
        GLOSS:	will+I+look

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P38W18
      OFFSETS:	82-88
       TOKENS:	P38W26-P38W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets/legislator

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P38W19
      OFFSETS:	89-93
       TOKENS:	P38W27-P38W27
