 INPUT STRING:	نوايا
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P4W16
      OFFSETS:	67-68
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P5W1
      OFFSETS:	0-1
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W2
      OFFSETS:	1-2
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W3
      OFFSETS:	3-5
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تبلغ
     IS_TRANS:	tblg
        INDEX:	P5W4
      OFFSETS:	6-10
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balag-u_1]
   UNSPLITVOC:	(taboluga)
          POS:	IV2MS+IV+IVSUFF_MOOD:S
          VOC:	ta+bolug+a
        GLOSS:	you [masc.sg.]+reach/attain+[sub.]

 INPUT STRING:	الدرجات
     IS_TRANS:	AldrjAt
        INDEX:	P5W5
      OFFSETS:	11-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(AldarajAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+daraj+At
        GLOSS:	the+degree/class/rank/grade/level/degrees/classes/ranks+[fem.pl.]

 INPUT STRING:	العُلا
     IS_TRANS:	AlEulA
        INDEX:	P5W6
      OFFSETS:	19-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EulA_1]
   UNSPLITVOC:	(AlEulA)
          POS:	DET+NOUN
          VOC:	Al+EulA
        GLOSS:	the+hiegh

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P5W7
      OFFSETS:	26-27
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P5W8
      OFFSETS:	27-32
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2MP
          VOC:	EalaY+kum
        GLOSS:	on/above+you [masc.pl.]

 INPUT STRING:	بالصوم
     IS_TRANS:	bAlSwm
        INDEX:	P5W9
      OFFSETS:	33-39
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawm_1]
   UNSPLITVOC:	(biAlSawm)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Sawm
        GLOSS:	with/by+the+fasting/abstinence

 INPUT STRING:	فإنه
     IS_TRANS:	f<nh
        INDEX:	P5W10
      OFFSETS:	40-44
       TOKENS:	P5W12-P5W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(fa<in~ahu)
          POS:	CONJ+PSEUDO_VERB+PRON_3MS
          VOC:	fa+<in~a+hu
        GLOSS:	so/and+indeed+it/he

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W11
      OFFSETS:	45-47
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_3]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P5W12
      OFFSETS:	48-51
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P5W13
      OFFSETS:	52-54
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P5W14
      OFFSETS:	54-55
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W2
      OFFSETS:	1-2
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W3
      OFFSETS:	3-5
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تحقق
     IS_TRANS:	tHqq
        INDEX:	P6W4
      OFFSETS:	6-10
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~aq_1]
   UNSPLITVOC:	(tuHaq~iqa)
          POS:	IV2MS+IV+IVSUFF_MOOD:S
          VOC:	tu+Haq~iq+a
        GLOSS:	you [masc.sg.]+achieve/realize/reach+[sub.]

 INPUT STRING:	الإخلاص
     IS_TRANS:	Al<xlAS
        INDEX:	P6W5
      OFFSETS:	11-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixolAS_1]
   UNSPLITVOC:	(AlAixolAS)
          POS:	DET+NOUN
          VOC:	Al+AixolAS
        GLOSS:	the+fidelity/sincerity/faithfulness

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P6W6
      OFFSETS:	19-22
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	وحده
     IS_TRANS:	wHdh
        INDEX:	P6W7
      OFFSETS:	23-27
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(waHodahu)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_3MS
          VOC:	waHod+a+hu
        GLOSS:	alone/only+[def.acc.]+its/his

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P6W8
      OFFSETS:	28-29
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W9
      OFFSETS:	29-31
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحديث
     IS_TRANS:	AlHdyv
        INDEX:	P6W10
      OFFSETS:	32-38
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(AlHadiyv)
          POS:	DET+NOUN
          VOC:	Al+Hadiyv
        GLOSS:	the+discussion/talk/interview/discussions/talks/Hadith (Islamic tradition)/Hadiths (Islamic traditions)

 INPUT STRING:	القدسي
     IS_TRANS:	Alqdsy
        INDEX:	P6W11
      OFFSETS:	39-45
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qudosiy~_3]
   UNSPLITVOC:	(Alqudosiy~)
          POS:	DET+ADJ
          VOC:	Al+qudosiy~
        GLOSS:	the+holy/saintly

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W12
      OFFSETS:	46-47
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	الصوم
     IS_TRANS:	AlSwm
        INDEX:	P6W13
      OFFSETS:	48-53
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawm_1]
   UNSPLITVOC:	(AlSawm)
          POS:	DET+NOUN
          VOC:	Al+Sawm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P6W14
      OFFSETS:	54-56
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+y
        GLOSS:	to/for+me

 INPUT STRING:	وأنا
     IS_TRANS:	w>nA
        INDEX:	P6W15
      OFFSETS:	57-61
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	أجزي
     IS_TRANS:	>jzy
        INDEX:	P6W16
      OFFSETS:	62-66
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jazaY-i_1]
   UNSPLITVOC:	(>ajoziy)
          POS:	IV1S+IV+IVSUFF_MOOD:I
          VOC:	>a+joziy+(null)
        GLOSS:	I+reward/repay/requite+[ind.]

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P6W17
      OFFSETS:	67-69
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihi)
          POS:	PREP+PRON_3MS
          VOC:	bi+hi
        GLOSS:	with/by+it/him

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P6W18
      OFFSETS:	69-70
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W2
      OFFSETS:	1-2
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P7W3
      OFFSETS:	3-5
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تحصل
     IS_TRANS:	tHSl
        INDEX:	P7W4
      OFFSETS:	6-10
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaSal-u_1]
   UNSPLITVOC:	(taHoSula)
          POS:	IV2MS+IV+IVSUFF_MOOD:S
          VOC:	ta+HoSul+a
        GLOSS:	you [masc.sg.]+obtain/acquire/get+[sub.]

 INPUT STRING:	أعظم
     IS_TRANS:	>EZm
        INDEX:	P7W5
      OFFSETS:	11-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEoZam_1]
   UNSPLITVOC:	(>aEoZam)
          POS:	ADJ_COMP
          VOC:	>aEoZam
        GLOSS:	greater/greatest/major

 INPUT STRING:	الأجر
     IS_TRANS:	Al>jr
        INDEX:	P7W6
      OFFSETS:	16-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajor_1]
   UNSPLITVOC:	(Al>ajor)
          POS:	DET+NOUN
          VOC:	Al+>ajor
        GLOSS:	the+remuneration/recompense/wage/fee/wages/fees

 INPUT STRING:	بالصبر
     IS_TRANS:	bAlSbr
        INDEX:	P7W7
      OFFSETS:	22-28
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabor_1]
   UNSPLITVOC:	(biAlSabor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Sabor
        GLOSS:	with/by+the+patience/endurance

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W8
      OFFSETS:	29-32
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الصوم
     IS_TRANS:	AlSwm
        INDEX:	P7W9
      OFFSETS:	33-38
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawm_1]
   UNSPLITVOC:	(AlSawm)
          POS:	DET+NOUN
          VOC:	Al+Sawm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P7W10
      OFFSETS:	39-40
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	إنما
     IS_TRANS:	<nmA
        INDEX:	P7W11
      OFFSETS:	40-44
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	يوفى
     IS_TRANS:	ywfY
        INDEX:	P7W12
      OFFSETS:	45-49
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waf~aY_1]
   UNSPLITVOC:	(yuwaf~aY)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:I
          VOC:	yu+waf~aY+(null)
        GLOSS:	he/it+be satisfied/be fulfilled+[ind.]

 INPUT STRING:	الصابرون
     IS_TRANS:	AlSAbrwn
        INDEX:	P7W13
      OFFSETS:	50-58
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAbir_2]
   UNSPLITVOC:	(AlSAbiruwna)
          POS:	DET+ADJ+NSUFF_MASC_PL_NOM
          VOC:	Al+SAbir+uwna
        GLOSS:	the+patient/steadfast/enduring+[masc.pl.]

 INPUT STRING:	أجرهم
     IS_TRANS:	>jrhm
        INDEX:	P7W14
      OFFSETS:	59-64
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajor_1]
   UNSPLITVOC:	(>ajoruhum)
          POS:	NOUN+CASE_DEF_NOM+POSS_PRON_3MP
          VOC:	>ajor+u+hum
        GLOSS:	remuneration/recompense+[def.nom]+their

 INPUT STRING:	بغير
     IS_TRANS:	bgyr
        INDEX:	P7W15
      OFFSETS:	65-69
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(bigayor)
          POS:	PREP+NOUN
          VOC:	bi+gayor
        GLOSS:	with/by+not/other

 INPUT STRING:	حساب
     IS_TRANS:	HsAb
        INDEX:	P7W16
      OFFSETS:	70-74
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAb)
          POS:	NOUN
          VOC:	HisAb
        GLOSS:	calculation/appraisal/invoice/expense/account

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P7W17
      OFFSETS:	74-75
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W2
      OFFSETS:	1-2
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W3
      OFFSETS:	3-5
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P8W4
      OFFSETS:	6-10
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P8W5
      OFFSETS:	11-14
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W6
      OFFSETS:	15-17
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دخول
     IS_TRANS:	dxwl
        INDEX:	P8W7
      OFFSETS:	18-22
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(duxuwl)
          POS:	NOUN
          VOC:	duxuwl
        GLOSS:	entrance/penetration

 INPUT STRING:	الجنة
     IS_TRANS:	Aljnp
        INDEX:	P8W8
      OFFSETS:	23-28
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jan~ap_1]
   UNSPLITVOC:	(Aljan~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jan~+ap
        GLOSS:	the+paradise/garden/gardens+[fem.sg.]

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P8W9
      OFFSETS:	29-30
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W10
      OFFSETS:	30-32
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ختم
     IS_TRANS:	xtm
        INDEX:	P8W11
      OFFSETS:	33-36
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xatam_1]
   UNSPLITVOC:	(xutima)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	xutim+(null)
        GLOSS:	be completed/be finished+he/it

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P8W12
      OFFSETS:	37-39
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	بصيام
     IS_TRANS:	bSyAm
        INDEX:	P8W13
      OFFSETS:	40-45
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(biSiyAm)
          POS:	PREP+NOUN
          VOC:	bi+SiyAm
        GLOSS:	with/by+fasting/abstinence

 INPUT STRING:	ليلة
     IS_TRANS:	lylp
        INDEX:	P8W14
      OFFSETS:	46-50
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylap_1]
   UNSPLITVOC:	(laylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	layl+ap
        GLOSS:	night/evening/soire/nights/evenings/soires+[fem.sg.]

 INPUT STRING:	دخل
     IS_TRANS:	dxl
        INDEX:	P8W15
      OFFSETS:	51-54
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daxal+(null)
        GLOSS:	enter/be entered+he/it

 INPUT STRING:	الجنة
     IS_TRANS:	Aljnp
        INDEX:	P8W16
      OFFSETS:	55-60
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
