 INPUT STRING:	يعني
 INPUT STRING:	منمون
     IS_TRANS:	mnmwn
        INDEX:	P17W5
      OFFSETS:	17-22
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manmuwn_1]
   UNSPLITVOC:	(manmuwn)
          POS:	NOUN_PROP
          VOC:	manmuwn
        GLOSS:	mamun

