 INPUT STRING:	مهاااااا
 INPUT STRING:	الاسبوع
     IS_TRANS:	AlAsbwE
        INDEX:	P20W9
      OFFSETS:	32-39
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usobuwE_1]
   UNSPLITVOC:	(Al>usobuwE)
          POS:	DET+NOUN
          VOC:	Al+>usobuwE
        GLOSS:	the+week/weeks

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P20W10
      OFFSETS:	40-42
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	قشطة
     IS_TRANS:	q$Tp
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qi$oTap_1]
   UNSPLITVOC:	(qi$oTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$oT+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	تخيلى
     IS_TRANS:	txylY
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxay~il_1]
   UNSPLITVOC:	(taxay~aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	taxay~al+iy
        GLOSS:	let go/imagine+you

 INPUT STRING:	امته
     IS_TRANS:	Amth
        INDEX:	P22W2
      OFFSETS:	6-10
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imtaY_2]
   UNSPLITVOC:	(<imtah)
          POS:	REL_ADV
          VOC:	<imtaY
        GLOSS:	when

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P22W3
      OFFSETS:	11-14
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	جه
     IS_TRANS:	jh
        INDEX:	P22W4
      OFFSETS:	15-17
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jih)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jih+(null)
        GLOSS:	came/come+he/it

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W2
      OFFSETS:	4-5
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W3
      OFFSETS:	5-6
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انهارده
     IS_TRANS:	AnhArdh
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P25W2
      OFFSETS:	3-7
       TOKENS:	P25W2-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(ma_Had~i$)
          POS:	VERB+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	is not+stop/halt/end/extent/limit/level/border/frontier/someone+not

 INPUT STRING:	يعرف
     IS_TRANS:	yErf
        INDEX:	P25W3
      OFFSETS:	8-12
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(yiEoraf)
          POS:	IV3MS+IV
          VOC:	yi+Eoraf
        GLOSS:	he/it+know

 INPUT STRING:	عاااا
     IS_TRANS:	EAAAA
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EA_1]
   UNSPLITVOC:	(EAAAA)
          POS:	INTERJ
          VOC:	EA
        GLOSS:	crying

 INPUT STRING:	مفاجاه
     IS_TRANS:	mfAjAh
        INDEX:	P27W1
      OFFSETS:	0-6
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise/surprises/by surprise+[fem.sg.]

 INPUT STRING:	بتهزري
     IS_TRANS:	bthzry
        INDEX:	P28W1
      OFFSETS:	0-6
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haz~ar_1]
   UNSPLITVOC:	(bitihaz~ariy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+haz~ar+iy
        GLOSS:	[present-tense]+you+joke/make fun+you

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P29W2
      OFFSETS:	3-8
       TOKENS:	P29W2-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P29W3
      OFFSETS:	9-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P30W1
      OFFSETS:	0-2
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	مفاجأه
     IS_TRANS:	mfAj>h
        INDEX:	P30W2
      OFFSETS:	3-9
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise/surprises/by surprise+[fem.sg.]

 INPUT STRING:	رائعة
     IS_TRANS:	rA}Ep
        INDEX:	P30W3
      OFFSETS:	10-15
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rA}iE+ap
        GLOSS:	splendid/marvelous/magnificent/crystal clear/brilliant+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	اد
     IS_TRANS:	Ad
        INDEX:	P31W2
      OFFSETS:	4-6
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(>ad~)
          POS:	NOUN
          VOC:	qad~
        GLOSS:	size/physique

 INPUT STRING:	مفرحت
     IS_TRANS:	mfrHt
        INDEX:	P31W3
      OFFSETS:	7-12
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[firiH_1]
   UNSPLITVOC:	(mAfiriHt)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	mA+firiH+t
        GLOSS:	that+gladden/make merry/rejoice/be glad+I

 INPUT STRING:	اد
     IS_TRANS:	Ad
        INDEX:	P31W4
      OFFSETS:	13-15
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(>ad~)
          POS:	NOUN
          VOC:	qad~
        GLOSS:	size/physique

 INPUT STRING:	متصدمت
     IS_TRANS:	mtSdmt
        INDEX:	P31W5
      OFFSETS:	16-22
       TOKENS:	P31W6-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitSadam_1]
   UNSPLITVOC:	(mAtSadamt)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	mA+tSadam+t
        GLOSS:	that+shock+I

 INPUT STRING:	وقاعدة
     IS_TRANS:	wqAEdp
        INDEX:	P32W1
      OFFSETS:	0-6
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(wiqAEodap)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG
          VOC:	wi+qAEod+ap
        GLOSS:	and+sitting/seated/lazy/inactive/evaders (draft dodgers)+[fem.sg.]

 INPUT STRING:	بتتكلمي
     IS_TRANS:	bttklmy
        INDEX:	P32W2
      OFFSETS:	7-14
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~imiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+tokal~im+iy
        GLOSS:	[present-tense]+you+speak/talk/discuss+you

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P32W3
      OFFSETS:	15-20
       TOKENS:	P32W5-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	بقيت
     IS_TRANS:	bqyt
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baqaY+t
        GLOSS:	become/begin/start/be/begin a new day+I

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P33W2
      OFFSETS:	5-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(Aalif~)
          POS:	IV1S+IV
          VOC:	Aa+lif~
        GLOSS:	I+wrap/turn

 INPUT STRING:	حولين
     IS_TRANS:	Hwlyn
        INDEX:	P33W3
      OFFSETS:	9-14
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawaliyn_1]
   UNSPLITVOC:	(Hawaliyn)
          POS:	NOUN
          VOC:	Hawaliyn
        GLOSS:	concerning/around/about

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P33W4
      OFFSETS:	15-19
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	قومي
     IS_TRANS:	qwmy
        INDEX:	P34W1
      OFFSETS:	0-4
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(quwmiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwm+iy
        GLOSS:	stand+you

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P34W2
      OFFSETS:	5-9
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	حالك
     IS_TRANS:	HAlk
        INDEX:	P34W3
      OFFSETS:	10-14
       TOKENS:	P34W3-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	HAl+ik
        GLOSS:	situation/condition/case/situations/conditions/cases+your

 INPUT STRING:	
     IS_TRANS:	&#xe415;
        INDEX:	P34W4
      OFFSETS:	15-16
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe415;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P34W5
      OFFSETS:	17-21
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	حاسه
     IS_TRANS:	HAsh
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P35W2
      OFFSETS:	5-8
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	فغيبوبهه
     IS_TRANS:	fgybwbhh
        INDEX:	P35W3
      OFFSETS:	9-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fgybwbhh)
          POS:	TYPO
          VOC:	fgybwbhh
        GLOSS:	nogloss

 INPUT STRING:	هقوم
     IS_TRANS:	hqwm
        INDEX:	P35W4
      OFFSETS:	18-22
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(haquwm)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+Aa+quwm
        GLOSS:	will+I+undertake/carry out/rise/stand/get up/do/be based (on)

 INPUT STRING:	اجهز
     IS_TRANS:	Ajhz
        INDEX:	P35W5
      OFFSETS:	23-27
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihiz_1]
   UNSPLITVOC:	(Aajohaz)
          POS:	IV1S+IV
          VOC:	Aa+johaz
        GLOSS:	I+be put in god shape/prepare oneself/get ready/stand by

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P35W6
      OFFSETS:	28-32
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	هنتخرك
     IS_TRANS:	hntxrk
        INDEX:	P37W1
      OFFSETS:	0-6
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hntxrk)
          POS:	TYPO
          VOC:	hntxrk
        GLOSS:	nogloss

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P37W2
      OFFSETS:	7-11
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	ساعه
     IS_TRANS:	sAEh
        INDEX:	P37W3
      OFFSETS:	12-16
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	انشاءالله
     IS_TRANS:	An$A'Allh
        INDEX:	P37W4
      OFFSETS:	17-26
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$A'Allh)
          POS:	NO_FUNC
          VOC:	An$A'Allh
        GLOSS:	nogloss

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P38W1
      OFFSETS:	0-4
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P38W2
      OFFSETS:	5-10
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P38W3
      OFFSETS:	11-15
       TOKENS:	P38W5-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(ma_Had~i$)
          POS:	VERB+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	is not+stop/halt/end/extent/limit/level/border/frontier/someone+not

 INPUT STRING:	يعرف
     IS_TRANS:	yErf
        INDEX:	P39W2
      OFFSETS:	5-9
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(yiEoraf)
          POS:	IV3MS+IV
          VOC:	yi+Eoraf
        GLOSS:	he/it+know

 INPUT STRING:	فمصر
     IS_TRANS:	fmSr
        INDEX:	P39W3
      OFFSETS:	10-14
       TOKENS:	P39W5-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(fimaSor)
          POS:	PREP+NOUN_PROP
          VOC:	fi+maSor
        GLOSS:	in+Egypt

 INPUT STRING:	نهائء
     IS_TRANS:	nhA}'
        INDEX:	P39W4
      OFFSETS:	15-20
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(nhA}')
          POS:	TYPO
          VOC:	nhA}'
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P39W5
      OFFSETS:	21-25
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عملنها
     IS_TRANS:	EmlnhA
        INDEX:	P39W6
      OFFSETS:	26-32
       TOKENS:	P39W9-P39W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EmlnhA)
          POS:	TYPO
          VOC:	EmlnhA
        GLOSS:	nogloss

 INPUT STRING:	مفاجاه
     IS_TRANS:	mfAjAh
        INDEX:	P39W7
      OFFSETS:	33-39
       TOKENS:	P39W10-P39W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise/surprises/by surprise+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بييييير
     IS_TRANS:	byyyyyr
        INDEX:	P40W2
      OFFSETS:	3-10
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyr_1]
   UNSPLITVOC:	(biyr)
          POS:	NOUN
          VOC:	biyr
        GLOSS:	well

 INPUT STRING:	انتى
     IS_TRANS:	AntY
