 INPUT STRING:	اميرة
      OFFSETS:	11-17
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(wiraw~aHnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+raw~aH+nA
        GLOSS:	and+went+we

 INPUT STRING:	الو
     IS_TRANS:	Alw
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aluw_1]
   UNSPLITVOC:	(>aluw)
          POS:	INTERJ
          VOC:	>aluw
        GLOSS:	hello

