 INPUT STRING:	يوسف
 INPUT STRING:	باسيكاللي
     IS_TRANS:	bAsykAlly
        INDEX:	P18W4
      OFFSETS:	14-23
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAsykAlly)
          POS:	FOREIGN
          VOC:	bAsykAlly
        GLOSS:	nogloss

 INPUT STRING:	بيدي
     IS_TRANS:	bydy
        INDEX:	P18W5
      OFFSETS:	24-28
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<id~ay_1]
   UNSPLITVOC:	(biyid~iy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+d~iy
        GLOSS:	[present-tense]+he/it+give

 INPUT STRING:	مات
     IS_TRANS:	mAt
        INDEX:	P18W6
      OFFSETS:	29-32
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mAt)
          POS:	FOREIGN
          VOC:	mAt
        GLOSS:	nogloss

 INPUT STRING:	والبيسيك
     IS_TRANS:	wAlbysyk
        INDEX:	P19W1
      OFFSETS:	0-8
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAlbysyk)
          POS:	FOREIGN
          VOC:	wAlbysyk
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W2
      OFFSETS:	8-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bl)
          POS:	FOREIGN
          VOC:	bl
        GLOSS:	nogloss

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	جايبة
     IS_TRANS:	jAybp
        INDEX:	P21W2
      OFFSETS:	5-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyib_1]
   UNSPLITVOC:	(jAyobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAyob+ap
        GLOSS:	bringing+[fem.sg.]

 INPUT STRING:	نمرتك
     IS_TRANS:	nmrtk
        INDEX:	P21W3
      OFFSETS:	11-16
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nimorap_1]
   UNSPLITVOC:	(nimoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	nimor+ap+ak
        GLOSS:	number+[fem.sg.]+your

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W4
      OFFSETS:	17-19
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصطفى
     IS_TRANS:	mSTfY
        INDEX:	P21W5
      OFFSETS:	20-25
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSoTafaY_1]
   UNSPLITVOC:	(muSoTafaY)
          POS:	NOUN_PROP
          VOC:	muSoTafaY
        GLOSS:	Mustafa/MOSTAFA/Moustapha/Moustafa

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P21W6
      OFFSETS:	26-31
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyuquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P21W7
      OFFSETS:	32-34
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	إنك
     IS_TRANS:	<nk
        INDEX:	P21W8
      OFFSETS:	35-38
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+gloss

 INPUT STRING:	حتعمل
     IS_TRANS:	HtEml
        INDEX:	P21W9
      OFFSETS:	39-44
       TOKENS:	P21W14-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HatiEomil)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+Eomil
        GLOSS:	will+you+function/make/act/do

 INPUT STRING:	البيسيك
     IS_TRANS:	Albysyk
        INDEX:	P21W10
      OFFSETS:	45-52
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albysyk)
          POS:	FOREIGN
          VOC:	Albysyk
        GLOSS:	nogloss

 INPUT STRING:	بروجكت
     IS_TRANS:	brwjkt
        INDEX:	P21W11
      OFFSETS:	53-59
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwjkt)
          POS:	FOREIGN
          VOC:	brwjkt
        GLOSS:	nogloss

 INPUT STRING:	لوحدك
     IS_TRANS:	lwHdk
        INDEX:	P21W12
      OFFSETS:	60-65
       TOKENS:	P21W18-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	li+waHod+ak
        GLOSS:	for/to+alone/only+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W13
      OFFSETS:	65-66
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P22W2
      OFFSETS:	3-6
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	حأعمله
     IS_TRANS:	H>Emlh
        INDEX:	P22W3
      OFFSETS:	7-13
       TOKENS:	P22W3-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaAaEomiluh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+Eomil+uh
        GLOSS:	will+I+function/make/act/do+it/him

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P22W4
      OFFSETS:	14-17
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P22W5
      OFFSETS:	18-20
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(st)
          POS:	FOREIGN
          VOC:	st
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	دخلت
     IS_TRANS:	dxlt
        INDEX:	P23W2
      OFFSETS:	4-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	daxal+t
        GLOSS:	enter/be entered+I

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P23W3
      OFFSETS:	9-12
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فيسبوك
     IS_TRANS:	fysbwk
        INDEX:	P23W4
      OFFSETS:	13-19
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiysbuwk_1]
   UNSPLITVOC:	(fiysbuwk)
          POS:	NOUN
          VOC:	fiysbuwk
        GLOSS:	Facebook

 INPUT STRING:	وشفت
     IS_TRANS:	w$ft
        INDEX:	P23W5
      OFFSETS:	20-24
       TOKENS:	P23W5-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wi$uft)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+$uf+t
        GLOSS:	and+look+I

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W6
      OFFSETS:	25-27
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W2
      OFFSETS:	5-7
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P24W3
      OFFSETS:	8-13
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P24W4
      OFFSETS:	14-18
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P24W5
      OFFSETS:	19-22
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+VERB
          VOC:	wi+mA
        GLOSS:	and+not

 INPUT STRING:	حدش
     IS_TRANS:	Hd$
        INDEX:	P24W6
      OFFSETS:	23-26
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Hd$)
          POS:	NO_FUNC
          VOC:	Hd$
        GLOSS:	nogloss

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P24W7
      OFFSETS:	27-30
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P24W8
      OFFSETS:	31-33
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P24W9
      OFFSETS:	34-38
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P25W2
      OFFSETS:	3-5
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	VERB
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	ليش
     IS_TRANS:	ly$
        INDEX:	P25W3
      OFFSETS:	6-9
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ly$)
          POS:	NO_FUNC
          VOC:	ly$
        GLOSS:	nogloss

 INPUT STRING:	دعوة
     IS_TRANS:	dEwp
        INDEX:	P25W4
      OFFSETS:	10-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	call/invitation/supplication/calls/invitations/supplications/(Islamic) missionary work/propaganda+[fem.sg.]

 INPUT STRING:	بده
     IS_TRANS:	bdh
        INDEX:	P25W5
      OFFSETS:	15-18
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(badah)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+dah
        GLOSS:	for/to+this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P25W6
      OFFSETS:	19-21
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P25W7
      OFFSETS:	22-26
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P25W8
      OFFSETS:	27-32
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	VERB
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	لكيش
     IS_TRANS:	lky$
        INDEX:	P26W2
      OFFSETS:	3-7
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lky$)
          POS:	NO_FUNC
          VOC:	lky$
        GLOSS:	nogloss

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P26W3
      OFFSETS:	7-8
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	معاك
     IS_TRANS:	mEAk
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	with+your

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W2
      OFFSETS:	5-7
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	min
        GLOSS:	who/whom

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P27W3
      OFFSETS:	7-8
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W2
      OFFSETS:	4-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P28W3
      OFFSETS:	7-12
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P28W4
      OFFSETS:	13-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P28W5
      OFFSETS:	18-22
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	pure/clear/sincere/very/absolutely

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P28W6
      OFFSETS:	23-25
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laughing

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P29W2
      OFFSETS:	5-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انهي
     IS_TRANS:	Anhy
        INDEX:	P29W3
      OFFSETS:	8-12
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anohiy_1]
   UNSPLITVOC:	(>anohiy)
          POS:	INTERROG_PRON
          VOC:	>anohiy
        GLOSS:	which

 INPUT STRING:	بروجكت
     IS_TRANS:	brwjkt
        INDEX:	P29W4
      OFFSETS:	13-19
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwjkt)
          POS:	FOREIGN
          VOC:	brwjkt
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P30W1
      OFFSETS:	0-2
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	emphasis

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P30W2
      OFFSETS:	3-6
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P30W3
      OFFSETS:	7-12
       TOKENS:	P30W3-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P30W4
      OFFSETS:	13-15
       TOKENS:	P30W5-P30W6
