 INPUT STRING:	طيب
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by/him/them/her+she/it

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P28W3
      OFFSETS:	10-15
       TOKENS:	P28W4-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P28W4
      OFFSETS:	16-18
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ملكة
     IS_TRANS:	mlkp
        INDEX:	P28W5
      OFFSETS:	19-23
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malikap_1]
   UNSPLITVOC:	(malikap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	malik+ap
        GLOSS:	queen+[fem.sg.]

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P28W6
      OFFSETS:	24-28
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN
          VOC:	jamAl
        GLOSS:	beauty

 INPUT STRING:	الكون
     IS_TRANS:	Alkwn
        INDEX:	P28W7
      OFFSETS:	29-34
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwn_1]
   UNSPLITVOC:	(Alkuwn)
          POS:	DET+NOUN
          VOC:	Al+kuwn
        GLOSS:	the+being/events/universe/existence

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W8
      OFFSETS:	34-35
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W9
      OFFSETS:	35-36
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W10
      OFFSETS:	36-37
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P28W11
      OFFSETS:	37-40
       TOKENS:	P28W13-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	تسوى
     IS_TRANS:	tswY
        INDEX:	P28W12
      OFFSETS:	41-45
       TOKENS:	P28W15-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawaY_1]
   UNSPLITVOC:	(tisawaY)
          POS:	IV3FS+IV
          VOC:	ti+sawaY
        GLOSS:	it/they/she+equalize/settle/be equalized/be settled

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P28W13
      OFFSETS:	46-48
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عيني
     IS_TRANS:	Eyny
        INDEX:	P28W14
      OFFSETS:	49-53
       TOKENS:	P28W17-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eiyniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eiyn+iy
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/ain (Arabic letter)+my

 INPUT STRING:	بصلة
     IS_TRANS:	bSlp
        INDEX:	P28W15
      OFFSETS:	54-58
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baSalap_1]
   UNSPLITVOC:	(baSalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baSal+ap
        GLOSS:	an onion+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W16
      OFFSETS:	59-60
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W17
      OFFSETS:	60-61
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W18
      OFFSETS:	61-62
       TOKENS:	P28W22-P28W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P28W19
      OFFSETS:	62-67
       TOKENS:	P28W23-P28W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+metabolism/also/else

 INPUT STRING:	ياما
     IS_TRANS:	yAmA
        INDEX:	P28W20
      OFFSETS:	68-72
       TOKENS:	P28W25-P28W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAmA_1]
   UNSPLITVOC:	(yAmA)
          POS:	ADV
          VOC:	yAmA
        GLOSS:	extremely

 INPUT STRING:	قلتي
     IS_TRANS:	qlty
        INDEX:	P28W21
      OFFSETS:	73-77
       TOKENS:	P28W26-P28W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qultiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	qul+tiy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P28W22
      OFFSETS:	78-80
       TOKENS:	P28W27-P28W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	الجمال
     IS_TRANS:	AljmAl
        INDEX:	P28W23
      OFFSETS:	81-87
       TOKENS:	P28W28-P28W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(AljamAl)
          POS:	DET+NOUN
          VOC:	Al+jamAl
        GLOSS:	the+beauty

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W24
      OFFSETS:	88-90
       TOKENS:	P28W29-P28W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P28W25
      OFFSETS:	91-93
       TOKENS:	P28W30-P28W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P28W26
      OFFSETS:	94-98
       TOKENS:	P28W31-P28W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P28W27
      OFFSETS:	99-103
       TOKENS:	P28W32-P28W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P28W28
      OFFSETS:	104-107
       TOKENS:	P28W33-P28W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainoti_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you

 INPUT STRING:	رضيت
     IS_TRANS:	rDyt
        INDEX:	P28W29
      OFFSETS:	108-112
       TOKENS:	P28W34-P28W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(riDiyti)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	raDiy+t
        GLOSS:	agree/be satisfied/be pleased/comfort/satisfy/please+you

 INPUT STRING:	بيا
     IS_TRANS:	byA
        INDEX:	P28W30
      OFFSETS:	113-116
       TOKENS:	P28W35-P28W35
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(byA)
          POS:	NO_FUNC
          VOC:	byA
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P28W31
      OFFSETS:	117-120
       TOKENS:	P28W36-P28W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P28W32
      OFFSETS:	120-121
       TOKENS:	P28W37-P28W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بركة
     IS_TRANS:	brkp
        INDEX:	P29W2
      OFFSETS:	3-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	barak+ap
        GLOSS:	blessing/blessings+[fem.sg.]

 INPUT STRING:	دعاء
     IS_TRANS:	dEA'
        INDEX:	P29W3
      OFFSETS:	8-12
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duEA'_1]
   UNSPLITVOC:	(duEA')
          POS:	NOUN
          VOC:	duEA'
        GLOSS:	call/request/invocation

 INPUT STRING:	والديك
     IS_TRANS:	wAldyk
        INDEX:	P29W4
      OFFSETS:	13-19
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(wAlodayk)
          POS:	NOUN+NSUFF_MASC_DU+POSS_PRON_2MS
          VOC:	wAlod+ayn+ak
        GLOSS:	father/parents/father and mother/mother+two+your

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P29W5
      OFFSETS:	20-21
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	NOUN
          VOC:	galaT
        GLOSS:	error/blunder/mistakes/blunders

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P30W2
      OFFSETS:	4-5
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P30W3
      OFFSETS:	6-9
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	لابساها
     IS_TRANS:	lAbsAhA
        INDEX:	P30W4
      OFFSETS:	10-17
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbosAhA)
          POS:	ADJ+NSUFF_FEM_SG+PRON_3FS
          VOC:	lAbos+ap+hA
        GLOSS:	wearing+[fem.sg.]+it/them/her

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P30W5
      OFFSETS:	18-24
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	فالنادي
     IS_TRANS:	fAlnAdy
        INDEX:	P30W6
      OFFSETS:	25-32
       TOKENS:	P30W7-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(fiAlnAdiy)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+nAdiy
        GLOSS:	in+the+club/association/clubs/associations

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W7
      OFFSETS:	32-33
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W8
      OFFSETS:	33-34
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P30W9
      OFFSETS:	34-37
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P30W10
      OFFSETS:	38-42
       TOKENS:	P30W12-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	التكييف
     IS_TRANS:	Altkyyf
        INDEX:	P30W11
      OFFSETS:	43-50
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takoyiyf_1]
   UNSPLITVOC:	(Altakoyiyf)
          POS:	DET+NOUN
          VOC:	Al+takoyiyf
        GLOSS:	the+conditioning

 INPUT STRING:	لابسة
     IS_TRANS:	lAbsp
        INDEX:	P30W12
      OFFSETS:	51-56
       TOKENS:	P30W15-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbosap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	lAbos+ap
        GLOSS:	wearing+[fem.sg.]

 INPUT STRING:	جاكيت
     IS_TRANS:	jAkyt
        INDEX:	P30W13
      OFFSETS:	57-62
       TOKENS:	P30W16-P30W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAkit_1]
   UNSPLITVOC:	(jAkiyt)
          POS:	NOUN
          VOC:	jAkiyt
        GLOSS:	jacket

 INPUT STRING:	زيت
     IS_TRANS:	zyt
        INDEX:	P30W14
      OFFSETS:	63-66
       TOKENS:	P30W17-P30W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(zyt)
          POS:	TYPO
          VOC:	zyt
        GLOSS:	nogloss

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P30W15
      OFFSETS:	67-71
       TOKENS:	P30W18-P30W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	مي
     IS_TRANS:	my
        INDEX:	P30W16
      OFFSETS:	72-74
       TOKENS:	P30W19-P30W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~_1]
   UNSPLITVOC:	(may~)
          POS:	NOUN_PROP
          VOC:	may~
        GLOSS:	Mayy

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W17
      OFFSETS:	74-75
       TOKENS:	P30W20-P30W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W18
      OFFSETS:	75-76
       TOKENS:	P30W21-P30W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P30W19
      OFFSETS:	76-79
       TOKENS:	P30W22-P30W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P30W20
      OFFSETS:	80-82
       TOKENS:	P30W23-P30W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	emphasis

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P30W21
      OFFSETS:	83-86
       TOKENS:	P30W24-P30W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P30W22
      OFFSETS:	87-91
       TOKENS:	P30W25-P30W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice+[fem.sg.]

 INPUT STRING:	أهو
     IS_TRANS:	>hw
        INDEX:	P30W23
      OFFSETS:	92-95
       TOKENS:	P30W26-P30W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[huw~a-1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	وعارف
     IS_TRANS:	wEArf
        INDEX:	P30W24
      OFFSETS:	96-101
       TOKENS:	P30W28-P30W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(wiEArif)
          POS:	CONJ+ADJ
          VOC:	wi+EArif
        GLOSS:	and+knowing/having knowledge of

 INPUT STRING:	لبسي
     IS_TRANS:	lbsy
        INDEX:	P30W25
      OFFSETS:	102-106
       TOKENS:	P30W30-P30W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libos_1]
   UNSPLITVOC:	(libosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	libos+iy
        GLOSS:	clothes/attire+my

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P30W26
      OFFSETS:	107-108
       TOKENS:	P30W32-P30W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P30W27
      OFFSETS:	108-109
       TOKENS:	P30W33-P30W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P31W1
      OFFSETS:	0-5
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P31W2
      OFFSETS:	5-6
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P31W3
      OFFSETS:	6-7
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P31W4
      OFFSETS:	7-8
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P31W5
      OFFSETS:	8-11
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
