 INPUT STRING:	نزل
      OFFSETS:	1-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hahahahahahahahaha)
          POS:	INTERJ
          VOC:	hahahahahahahahaha
        GLOSS:	laughing

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P21W3
      OFFSETS:	11-15
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P21W4
      OFFSETS:	16-20
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	تشليق
     IS_TRANS:	t$lyq
        INDEX:	P21W5
      OFFSETS:	21-26
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$oliyq_1]
   UNSPLITVOC:	(ta$oliyq)
          POS:	NOUN
          VOC:	ta$oliyq
        GLOSS:	insult/invective/insults/invectives/abuse/vilification

