 INPUT STRING:	اميرة
   UNSPLITVOC:	(Alfaybar)
          POS:	DET+NOUN_PROP
          VOC:	Al+faybar
        GLOSS:	the+Viber

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P135W1
      OFFSETS:	0-2
       TOKENS:	P135W1-P135W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P135W2
      OFFSETS:	3-8
       TOKENS:	P135W2-P135W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	اتاكد
     IS_TRANS:	AtAkd
        INDEX:	P135W3
      OFFSETS:	9-14
       TOKENS:	P135W3-P135W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito>ak~id_1]
   UNSPLITVOC:	(Aato>ak~id)
          POS:	IV1S+IV
          VOC:	Aa+to>ak~id
        GLOSS:	I+be verified/be certain

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P135W4
      OFFSETS:	15-17
       TOKENS:	P135W4-P135W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الفيبر
     IS_TRANS:	Alfybr
        INDEX:	P135W5
      OFFSETS:	18-24
       TOKENS:	P135W5-P135W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faybar_1]
   UNSPLITVOC:	(Alfaybar)
          POS:	DET+NOUN_PROP
          VOC:	Al+faybar
        GLOSS:	the+Viber

 INPUT STRING:	بيبعت
     IS_TRANS:	bybEt
        INDEX:	P135W6
      OFFSETS:	25-30
       TOKENS:	P135W6-P135W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(biyiboEat)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+boEat
        GLOSS:	[present-tense]+he/it+send

 INPUT STRING:	افتحي
     IS_TRANS:	AftHy
        INDEX:	P136W1
      OFFSETS:	0-5
       TOKENS:	P136W1-P136W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(AifotaHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AifotaH+iy
        GLOSS:	open/conquer/be opened/be conquered+you

 INPUT STRING:	السيتنج
     IS_TRANS:	Alsytnj
        INDEX:	P136W2
      OFFSETS:	6-13
       TOKENS:	P136W2-P136W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alsytnj)
          POS:	FOREIGN
          VOC:	Alsytnj
        GLOSS:	nogloss

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P137W1
      OFFSETS:	0-4
       TOKENS:	P137W1-P137W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	الفيبر
     IS_TRANS:	Alfybr
        INDEX:	P137W2
      OFFSETS:	5-11
       TOKENS:	P137W2-P137W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faybar_1]
   UNSPLITVOC:	(Alfaybar)
          POS:	DET+NOUN_PROP
          VOC:	Al+faybar
        GLOSS:	the+Viber

 INPUT STRING:	استني
     IS_TRANS:	Astny
        INDEX:	P138W1
      OFFSETS:	0-5
       TOKENS:	P138W1-P138W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotan~ay_1]
   UNSPLITVOC:	(Aisotan~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aisotan~+iy
        GLOSS:	wait+you

 INPUT STRING:	ثواني
     IS_TRANS:	vwAny
        INDEX:	P138W2
      OFFSETS:	6-11
       TOKENS:	P138W2-P138W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vawAniy)
          POS:	NOUN
          VOC:	vawAniy
        GLOSS:	seconds  (time span)

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P139W1
      OFFSETS:	0-5
       TOKENS:	P139W1-P139W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P139W2
      OFFSETS:	6-8
       TOKENS:	P139W3-P139W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اماتي
     IS_TRANS:	AmAty
        INDEX:	P139W3
      OFFSETS:	9-14
       TOKENS:	P139W4-P139W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AmAty)
          POS:	TYPO
          VOC:	AmAty
        GLOSS:	nogloss

 INPUT STRING:	افتحي
     IS_TRANS:	AftHy
        INDEX:	P140W1
      OFFSETS:	0-5
       TOKENS:	P140W1-P140W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(AifotaHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AifotaH+iy
        GLOSS:	open/conquer/be opened/be conquered+you

 INPUT STRING:	السيتنج
     IS_TRANS:	Alsytnj
        INDEX:	P140W2
      OFFSETS:	6-13
       TOKENS:	P140W2-P140W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alsytnj)
          POS:	FOREIGN
          VOC:	Alsytnj
        GLOSS:	nogloss

 INPUT STRING:	ودوري
     IS_TRANS:	wdwry
        INDEX:	P141W1
      OFFSETS:	0-5
       TOKENS:	P141W1-P141W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daw~ar_1]
   UNSPLITVOC:	(widaw~ariy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+daw~ar+iy
        GLOSS:	and+search+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P141W2
      OFFSETS:	6-9
       TOKENS:	P141W3-P141W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	emil
     IS_TRANS:	emil
        INDEX:	P141W3
      OFFSETS:	10-14
       TOKENS:	P141W4-P141W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(emil)
          POS:	FOREIGN
          VOC:	emil
        GLOSS:	emil

 INPUT STRING:	history
     IS_TRANS:	history
        INDEX:	P141W4
      OFFSETS:	15-22
       TOKENS:	P141W5-P141W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(history)
          POS:	FOREIGN
          VOC:	history
        GLOSS:	history

 INPUT STRING:	اوك
     IS_TRANS:	Awk
        INDEX:	P142W1
      OFFSETS:	0-3
       TOKENS:	P142W1-P142W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Awk)
          POS:	FOREIGN
          VOC:	Awk
        GLOSS:	nogloss

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P142W2
      OFFSETS:	4-10
       TOKENS:	P142W2-P142W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P143W1
      OFFSETS:	0-6
       TOKENS:	P143W1-P143W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	لاقتيها
     IS_TRANS:	lAqtyhA
        INDEX:	P144W1
      OFFSETS:	0-7
       TOKENS:	P144W1-P144W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lAqtyhA)
          POS:	TYPO
          VOC:	lAqtyhA
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P145W1
      OFFSETS:	0-3
       TOKENS:	P145W1-P145W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تحبي
     IS_TRANS:	tHby
        INDEX:	P145W2
      OFFSETS:	4-8
       TOKENS:	P145W2-P145W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(tiHib~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Hib~+iy
        GLOSS:	you+love/like/want+you

 INPUT STRING:	تحملي
     IS_TRANS:	tHmly
        INDEX:	P145W3
      OFFSETS:	9-14
       TOKENS:	P145W3-P145W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ham~il_1]
   UNSPLITVOC:	(tiHam~iliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Ham~il+iy
        GLOSS:	you+download/load+you

 INPUT STRING:	هتبعتيها
     IS_TRANS:	htbEtyhA
        INDEX:	P145W4
      OFFSETS:	15-23
       TOKENS:	P145W4-P145W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(HatiboEatiyhA)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3FS
          VOC:	Ha+ti+boEat+iy+hA
        GLOSS:	will+you+send+you+it/them/her

 INPUT STRING:	لنفسك
     IS_TRANS:	lnfsk
        INDEX:	P145W5
      OFFSETS:	24-29
       TOKENS:	P145W7-P145W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafas_1]
   UNSPLITVOC:	(linafasik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	li+nafas+ik
        GLOSS:	for/to+breath/puff/breaths/puffs+your

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P146W1
      OFFSETS:	0-3
       TOKENS:	P146W1-P146W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P146W2
      OFFSETS:	4-6
       TOKENS:	P146W2-P146W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	ميل
     IS_TRANS:	myl
        INDEX:	P146W3
      OFFSETS:	7-10
       TOKENS:	P146W3-P146W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyl_1]
   UNSPLITVOC:	(miyl)
          POS:	NOUN
          VOC:	miyl
        GLOSS:	mail

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P147W1
      OFFSETS:	0-6
       TOKENS:	P147W1-P147W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	تنزليها
     IS_TRANS:	tnzlyhA
        INDEX:	P147W2
      OFFSETS:	7-14
       TOKENS:	P147W3-P147W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naz~il_1]
   UNSPLITVOC:	(tinaz~iliyhA)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3FS
          VOC:	ti+naz~il+iy+hA
        GLOSS:	you+release/make descend/descend/bring down/lower/put on the market+you+it/them/her

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P147W3
      OFFSETS:	15-18
       TOKENS:	P147W5-P147W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الديسك
     IS_TRANS:	Aldysk
        INDEX:	P147W4
      OFFSETS:	19-25
       TOKENS:	P147W6-P147W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diysok_1]
   UNSPLITVOC:	(Aldiysok)
          POS:	DET+NOUN
          VOC:	Al+diysok
        GLOSS:	the+disk (computer)/disks (computer)

 INPUT STRING:	توب
     IS_TRANS:	twb
        INDEX:	P147W5
      OFFSETS:	26-29
       TOKENS:	P147W7-P147W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twb)
          POS:	FOREIGN
          VOC:	twb
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P148W1
      OFFSETS:	0-2
       TOKENS:	P148W1-P148W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقيها
     IS_TRANS:	lAqyhA
        INDEX:	P148W2
      OFFSETS:	3-9
       TOKENS:	P148W2-P148W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(lAqiyhA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3FS
          VOC:	lAq+iy+hA
        GLOSS:	meet/encounter/be met/be encountered+you+it/them/her

 INPUT STRING:	وصلتي
     IS_TRANS:	wSlty
        INDEX:	P149W1
      OFFSETS:	0-5
       TOKENS:	P149W1-P149W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(waSaltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	waSal+tiy
        GLOSS:	arrive at/reach/connect/be arrived at/be reached/be connected+you

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P150W1
      OFFSETS:	0-2
       TOKENS:	P150W1-P150W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	عربي
     IS_TRANS:	Erby
        INDEX:	P150W2
      OFFSETS:	3-7
       TOKENS:	P150W2-P150W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earabiy)
          POS:	ADJ
          VOC:	Earabiy
        GLOSS:	Arab/Arabic/bedouins/arabs/arabi

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P150W3
      OFFSETS:	8-11
       TOKENS:	P150W3-P150W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	انجليزي
     IS_TRANS:	Anjlyzy
        INDEX:	P150W4
      OFFSETS:	12-19
       TOKENS:	P150W4-P150W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainojiliyziy_1]
   UNSPLITVOC:	(Ainojiliyziy)
          POS:	ADJ
          VOC:	Ainojiliyziy
        GLOSS:	English

 INPUT STRING:	انخهليزي
     IS_TRANS:	Anxhlyzy
        INDEX:	P151W1
      OFFSETS:	0-8
       TOKENS:	P151W1-P151W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Anxhlyzy)
          POS:	TYPO
          VOC:	Anxhlyzy
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P152W1
      OFFSETS:	0-3
       TOKENS:	P152W1-P152W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	افتحي
     IS_TRANS:	AftHy
        INDEX:	P152W2
      OFFSETS:	4-9
       TOKENS:	P152W2-P152W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(AifotaHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AifotaH+iy
        GLOSS:	open/conquer/be opened/be conquered+you

 INPUT STRING:	سيتنج
     IS_TRANS:	sytnj
        INDEX:	P152W3
      OFFSETS:	10-15
       TOKENS:	P152W3-P152W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sytnj)
          POS:	FOREIGN
          VOC:	sytnj
        GLOSS:	nogloss

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P153W1
      OFFSETS:	0-3
       TOKENS:	P153W1-P153W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فيبر
     IS_TRANS:	fybr
        INDEX:	P153W2
      OFFSETS:	4-8
       TOKENS:	P153W2-P153W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faybar_1]
   UNSPLITVOC:	(faybar)
          POS:	NOUN_PROP
          VOC:	fybr
        GLOSS:	Viber

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P153W3
      OFFSETS:	9-13
       TOKENS:	P153W3-P153W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P154W1
      OFFSETS:	0-3
       TOKENS:	P154W1-P154W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	موبيلي
     IS_TRANS:	mwbyly
        INDEX:	P154W2
      OFFSETS:	4-10
       TOKENS:	P154W2-P154W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwbiyl_1]
   UNSPLITVOC:	(muwbiyliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	muwbiyl+iy
        GLOSS:	phone+my

 INPUT STRING:	غيرك
     IS_TRANS:	gyrk
        INDEX:	P154W3
      OFFSETS:	11-15
       TOKENS:	P154W4-P154W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	gayor+ik
        GLOSS:	not/other+your

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P155W1
      OFFSETS:	0-4
       TOKENS:	P155W1-P155W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice+[fem.sg.]

 INPUT STRING:	اةي
     IS_TRANS:	Apy
        INDEX:	P155W2
      OFFSETS:	5-8
       TOKENS:	P155W2-P155W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Apy)
          POS:	TYPO
          VOC:	Apy
        GLOSS:	nogloss

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P155W3
      OFFSETS:	9-15
       TOKENS:	P155W3-P155W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P155W4
      OFFSETS:	16-20
       TOKENS:	P155W4-P155W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	حتطيها
     IS_TRANS:	HtTyhA
        INDEX:	P155W5
      OFFSETS:	21-27
       TOKENS:	P155W5-P155W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HtTyhA)
          POS:	TYPO
          VOC:	HtTyhA
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P156W1
      OFFSETS:	0-3
       TOKENS:	P156W1-P156W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مبعتش
     IS_TRANS:	mbEt$
        INDEX:	P156W2
      OFFSETS:	4-9
       TOKENS:	P156W2-P156W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(mA_baEat~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+baEat+t+$
        GLOSS:	not+send+I+not

 INPUT STRING:	الصور
     IS_TRANS:	AlSwr
        INDEX:	P156W3
      OFFSETS:	10-15
       TOKENS:	P156W5-P156W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwar)
          POS:	DET+NOUN
          VOC:	Al+Suwar
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P156W4
      OFFSETS:	16-18
       TOKENS:	P156W6-P156W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
