 INPUT STRING:	مصطفي
        GLOSS:	what

 INPUT STRING:	فهمت
     IS_TRANS:	fhmt
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(fihimt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	fihim+t
        GLOSS:	understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive+you

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P18W2
      OFFSETS:	5-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P18W3
      OFFSETS:	7-8
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P18W4
      OFFSETS:	9-10
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	لهوي
     IS_TRANS:	lhwy
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lahowiy_1]
   UNSPLITVOC:	(lahowiy)
          POS:	INTERJ
          VOC:	lahowiy
        GLOSS:	to express sorrow

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W3
      OFFSETS:	8-11
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	غبيه
     IS_TRANS:	gbyh
        INDEX:	P19W4
      OFFSETS:	12-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gabiy_1]
   UNSPLITVOC:	(gabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gabiy~+ap
        GLOSS:	ignorant/stupid+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P19W5
      OFFSETS:	17-20
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P19W6
      OFFSETS:	21-27
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hA_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	to express happiness

 INPUT STRING:	hhahahhaa
     IS_TRANS:	hhahahhaa
        INDEX:	P20W1
      OFFSETS:	0-9
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hhahahhaa)
          POS:	TRANSLIT_ERR
          VOC:	hhahahhaa
        GLOSS:	hhahahhaa

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P20W2
      OFFSETS:	10-14
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P20W3
      OFFSETS:	15-18
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P20W4
      OFFSETS:	19-22
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so then

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P20W5
      OFFSETS:	23-24
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P20W6
      OFFSETS:	25-27
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(yad)
          POS:	NOUN
          VOC:	yad
        GLOSS:	hand/hands

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	جايب
     IS_TRANS:	jAyb
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyib_1]
   UNSPLITVOC:	(jAyib)
          POS:	ADJ
          VOC:	jAyib
        GLOSS:	bringing

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P21W3
      OFFSETS:	9-12
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	INTERROG_PRON
          VOC:	kAm
        GLOSS:	how many

 INPUT STRING:	فل
     IS_TRANS:	fl
        INDEX:	P21W4
      OFFSETS:	13-15
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fl)
          POS:	TYPO
          VOC:	fl
        GLOSS:	nogloss

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P21W5
      OFFSETS:	16-18
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(st)
          POS:	TYPO
          VOC:	st
        GLOSS:	nogloss

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P21W6
      OFFSETS:	19-20
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P21W7
      OFFSETS:	21-22
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P21W8
      OFFSETS:	23-24
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	620
     IS_TRANS:	620
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[620_1]
   UNSPLITVOC:	(620)
          POS:	NOUN_NUM
          VOC:	620
        GLOSS:	620

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P22W2
      OFFSETS:	4-5
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	reading
     IS_TRANS:	reading
        INDEX:	P22W3
      OFFSETS:	6-13
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(reading)
          POS:	TRANSLIT_ERR
          VOC:	reading
        GLOSS:	reading

 INPUT STRING:	340
     IS_TRANS:	340
        INDEX:	P22W4
      OFFSETS:	14-17
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[340_1]
   UNSPLITVOC:	(340)
          POS:	NOUN_NUM
          VOC:	340
        GLOSS:	340

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P22W5
      OFFSETS:	18-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	ش
     IS_TRANS:	$
        INDEX:	P22W6
      OFFSETS:	20-21
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$_1]
   UNSPLITVOC:	($)
          POS:	NEG_PART
          VOC:	$
        GLOSS:	not

 INPUT STRING:	ورتينج
     IS_TRANS:	wrtynj
        INDEX:	P22W7
      OFFSETS:	22-28
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrtynj)
          POS:	FOREIGN
          VOC:	wrtynj
        GLOSS:	nogloss

 INPUT STRING:	450
     IS_TRANS:	450
        INDEX:	P22W8
      OFFSETS:	29-32
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[450_1]
   UNSPLITVOC:	(450)
          POS:	NOUN_NUM
          VOC:	450
        GLOSS:	450

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W9
      OFFSETS:	33-34
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	reading
     IS_TRANS:	reading
        INDEX:	P23W1
      OFFSETS:	0-7
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(reading)
          POS:	TRANSLIT_ERR
          VOC:	reading
        GLOSS:	reading

 INPUT STRING:	وحشه
     IS_TRANS:	wH$h
        INDEX:	P23W2
      OFFSETS:	8-12
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wiHo$+ap
        GLOSS:	wicked/evil/bad guy (film)/bad+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P23W3
      OFFSETS:	13-16
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P23W4
      OFFSETS:	17-19
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	to express happiness

 INPUT STRING:	هتروح
     IS_TRANS:	htrwH
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rAH_2]
   UNSPLITVOC:	(HaturuwH)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+tu+ruwH
        GLOSS:	will+you+begin/go

 INPUT STRING:	revision
     IS_TRANS:	revision
        INDEX:	P24W2
      OFFSETS:	6-14
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(revision)
          POS:	TRANSLIT_ERR
          VOC:	revision
        GLOSS:	revision

 INPUT STRING:	تودي
     IS_TRANS:	twdy
        INDEX:	P24W3
      OFFSETS:	15-19
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wad~aY_1]
   UNSPLITVOC:	(tiwad~iy)
          POS:	IV2MS+IV
          VOC:	ti+wad~iy
        GLOSS:	you+deliever

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P24W4
      OFFSETS:	20-21
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P25W2
      OFFSETS:	4-8
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P25W3
      OFFSETS:	9-13
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	ADJ
          VOC:	dAxil
        GLOSS:	entering

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P25W4
      OFFSETS:	14-18
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorah_1]
   UNSPLITVOC:	(bukorah)
          POS:	NOUN
          VOC:	bukorah
        GLOSS:	tomorrow/sometime in the future/meal/luncheon/breakfast/lunch

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P26W2
      OFFSETS:	3-6
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P26W3
      OFFSETS:	7-9
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~)
          POS:	NOUN
          VOC:	sit~
        GLOSS:	lady/miss/ladies/misses

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W4
      OFFSETS:	10-11
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P26W5
      OFFSETS:	12-13
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2_1]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	اسه
     IS_TRANS:	Ash
        INDEX:	P26W6
      OFFSETS:	14-17
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ash)
          POS:	TYPO
          VOC:	Ash
        GLOSS:	nogloss

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P26W7
      OFFSETS:	18-22
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorah_1]
   UNSPLITVOC:	(bukorah)
          POS:	NOUN
          VOC:	bukorah
        GLOSS:	tomorrow/sometime in the future/meal/luncheon/breakfast/lunch

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	reading
     IS_TRANS:	reading
        INDEX:	P27W2
      OFFSETS:	3-10
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(reading)
          POS:	TRANSLIT_ERR
          VOC:	reading
        GLOSS:	reading

 INPUT STRING:	زهقت
     IS_TRANS:	zhqt
        INDEX:	P27W3
      OFFSETS:	11-15
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(zihiqt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	zihiq+t
        GLOSS:	become bored with/become impatient with/consider tedious/silly/spoil/ruin/make tedious/boring+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P27W4
      OFFSETS:	16-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بعلي
     IS_TRANS:	bEly
        INDEX:	P27W5
      OFFSETS:	19-23
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eal~aY_1]
   UNSPLITVOC:	(bAEal~iy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Eal~iy
        GLOSS:	[present tense]+I+raise

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P27W6
      OFFSETS:	24-27
       TOKENS:	P27W7-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyuh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P28W2
      OFFSETS:	4-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	opposite
     IS_TRANS:	opposite
        INDEX:	P28W3
      OFFSETS:	7-15
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(opposite)
          POS:	TRANSLIT_ERR
          VOC:	opposite
        GLOSS:	opposite

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P28W4
      OFFSETS:	16-19
       TOKENS:	P28W4-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P28W5
      OFFSETS:	20-22
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	to express happiness

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	ADJ
          VOC:	dAxil
        GLOSS:	entering

 INPUT STRING:	وهات
     IS_TRANS:	whAt
        INDEX:	P29W2
      OFFSETS:	5-9
       TOKENS:	P29W2-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAt_1]
   UNSPLITVOC:	(wihAt)
          POS:	SUB_CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+hAt+(null)
        GLOSS:	while+give+you

 INPUT STRING:	سبج
     IS_TRANS:	sbj
        INDEX:	P29W3
      OFFSETS:	10-13
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(sbj)
          POS:	TYPO
          VOC:	sbj
        GLOSS:	nogloss

 INPUT STRING:	e
     IS_TRANS:	e
        INDEX:	P29W4
      OFFSETS:	13-14
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(e)
          POS:	TRANSLIT_ERR
          VOC:	e
        GLOSS:	e

 INPUT STRING:	شتس
     IS_TRANS:	$ts
        INDEX:	P29W5
      OFFSETS:	14-17
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($ts)
          POS:	TYPO
          VOC:	$ts
        GLOSS:	nogloss

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P29W6
      OFFSETS:	18-22
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorah_1]
