 INPUT STRING:	نقول
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	ماسكة
     IS_TRANS:	mAskp
        INDEX:	P165W12
      OFFSETS:	43-48
       TOKENS:	P165W15-P165W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAsik_1]
   UNSPLITVOC:	(mAsokap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mAsok+ap
        GLOSS:	grabbing+[fem.sg.]

 INPUT STRING:	شعري
     IS_TRANS:	$Ery
        INDEX:	P165W13
      OFFSETS:	49-53
       TOKENS:	P165W16-P165W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	$aEor+iy
        GLOSS:	hair/hairs/hair-piece+my

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P165W14
      OFFSETS:	54-55
       TOKENS:	P165W18-P165W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P166W1
      OFFSETS:	0-3
       TOKENS:	P166W1-P166W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P166W2
      OFFSETS:	4-8
       TOKENS:	P166W2-P166W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P166W3
      OFFSETS:	9-13
       TOKENS:	P166W4-P166W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P166W4
      OFFSETS:	14-18
       TOKENS:	P166W5-P166W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	شعر
     IS_TRANS:	$Er
        INDEX:	P166W5
      OFFSETS:	19-22
       TOKENS:	P166W7-P166W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEor)
          POS:	NOUN
          VOC:	$aEor
        GLOSS:	hair/hairs/hair-piece

 INPUT STRING:	طويل
     IS_TRANS:	Twyl
        INDEX:	P166W6
      OFFSETS:	23-27
       TOKENS:	P166W8-P166W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiyl)
          POS:	ADJ
          VOC:	Tawiyl
        GLOSS:	tall/long/for a long time/at length/extensively

 INPUT STRING:	ألعب
     IS_TRANS:	>lEb
        INDEX:	P166W7
      OFFSETS:	28-32
       TOKENS:	P166W9-P166W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(AaloEab)
          POS:	IV1S+IV
          VOC:	Aa+loEab
        GLOSS:	I+play

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P166W8
      OFFSETS:	33-36
       TOKENS:	P166W10-P166W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P166W9
      OFFSETS:	37-41
       TOKENS:	P166W12-P166W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P166W10
      OFFSETS:	42-43
       TOKENS:	P166W13-P166W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P167W1
      OFFSETS:	0-4
       TOKENS:	P167W1-P167W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	**#
     IS_TRANS:	**#
        INDEX:	P167W2
      OFFSETS:	4-7
       TOKENS:	P167W2-P167W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(**#)
          POS:	PUNC
          VOC:	**#
        GLOSS:	**#

 INPUT STRING:	ههه
     IS_TRANS:	hhh
        INDEX:	P168W1
      OFFSETS:	0-3
       TOKENS:	P168W1-P168W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	اتريق
     IS_TRANS:	Atryq
        INDEX:	P168W2
      OFFSETS:	4-9
       TOKENS:	P168W2-P168W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aroyaq_1]
   UNSPLITVOC:	(Ait~aroyaq)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ait~aroyaq+(null)
        GLOSS:	ridicule/scoff at/exploit/subjugate/make fun/mock/laugh/behave scornfully+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P168W3
      OFFSETS:	10-12
       TOKENS:	P168W3-P168W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حيوان
     IS_TRANS:	HywAn
        INDEX:	P168W4
      OFFSETS:	13-18
       TOKENS:	P168W4-P168W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayawAn_1]
   UNSPLITVOC:	(HayawAn)
          POS:	NOUN
          VOC:	HayawAn
        GLOSS:	animal/creature

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P168W5
      OFFSETS:	19-20
       TOKENS:	P168W5-P168W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هأهأ
     IS_TRANS:	h>h>
        INDEX:	P169W1
      OFFSETS:	0-4
       TOKENS:	P169W1-P169W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P169W2
      OFFSETS:	5-6
       TOKENS:	P169W2-P169W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وإيه
     IS_TRANS:	w<yh
        INDEX:	P170W1
      OFFSETS:	0-4
       TOKENS:	P170W1-P170W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(wi<iyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+<iyh
        GLOSS:	and+what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P171W1
      OFFSETS:	0-2
       TOKENS:	P171W1-P171W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P171W2
      OFFSETS:	3-8
       TOKENS:	P171W2-P171W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	اتكلم
     IS_TRANS:	Atklm
        INDEX:	P171W3
      OFFSETS:	9-14
       TOKENS:	P171W3-P171W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takal~am_1]
   UNSPLITVOC:	(<itokal~im)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	<itokal~im+(null)
        GLOSS:	speak/talk/discuss+you

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P171W4
      OFFSETS:	15-18
       TOKENS:	P171W4-P171W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P171W5
      OFFSETS:	19-23
       TOKENS:	P171W5-P171W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P171W6
      OFFSETS:	24-25
       TOKENS:	P171W6-P171W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P172W1
      OFFSETS:	0-4
       TOKENS:	P172W1-P172W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P172W2
      OFFSETS:	5-8
       TOKENS:	P172W2-P172W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P172W3
      OFFSETS:	9-15
       TOKENS:	P172W3-P172W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imobAriH_1]
   UNSPLITVOC:	(<imobAriH)
          POS:	NOUN
          VOC:	<imobAriH
        GLOSS:	yesterday

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P172W4
      OFFSETS:	15-16
       TOKENS:	P172W4-P172W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P173W1
      OFFSETS:	0-2
       TOKENS:	P173W1-P173W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um_1]
   UNSPLITVOC:	(>um)
          POS:	INTERJ
          VOC:	>um
        GLOSS:	um (filled pause)

 INPUT STRING:	نمت
     IS_TRANS:	nmt
        INDEX:	P173W2
      OFFSETS:	3-6
       TOKENS:	P173W2-P173W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nim+t
        GLOSS:	sleep/lie down+I

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P173W3
      OFFSETS:	7-8
       TOKENS:	P173W3-P173W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	[
     IS_TRANS:	[
        INDEX:	P173W4
      OFFSETS:	8-9
       TOKENS:	P173W4-P173W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	([)
          POS:	PUNC
          VOC:	[
        GLOSS:	nogloss

 INPUT STRING:	]
     IS_TRANS:	]
        INDEX:	P173W5
      OFFSETS:	9-10
       TOKENS:	P173W5-P173W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(])
          POS:	PUNC
          VOC:	]
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P173W6
      OFFSETS:	10-11
       TOKENS:	P173W6-P173W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P173W7
      OFFSETS:	11-12
       TOKENS:	P173W7-P173W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P173W8
      OFFSETS:	12-13
       TOKENS:	P173W8-P173W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P173W9
      OFFSETS:	13-14
       TOKENS:	P173W9-P173W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	نمت
     IS_TRANS:	nmt
        INDEX:	P173W10
      OFFSETS:	14-17
       TOKENS:	P173W10-P173W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nim+t
        GLOSS:	sleep/lie down+I

 INPUT STRING:	وأكلت
     IS_TRANS:	w>klt
        INDEX:	P173W11
      OFFSETS:	18-23
       TOKENS:	P173W11-P173W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~il_1]
   UNSPLITVOC:	(wiAk~ilt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+Ak~il+t
        GLOSS:	and+feed/eat/give food+I

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P173W12
      OFFSETS:	24-25
       TOKENS:	P173W13-P173W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P174W1
      OFFSETS:	0-4
       TOKENS:	P174W1-P174W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wiAinota)
          POS:	CONJ+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	and+you [masc.sg.]/you/masculine

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P175W1
      OFFSETS:	0-2
       TOKENS:	P175W1-P175W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum_1]
   UNSPLITVOC:	(hum)
          POS:	INTERJ
          VOC:	hum
        GLOSS:	hmm

 INPUT STRING:	قعدت
     IS_TRANS:	qEdt
        INDEX:	P175W2
      OFFSETS:	3-7
       TOKENS:	P175W2-P175W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qaEadt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qaEad+t
        GLOSS:	sit down/be seated/remain+I

 INPUT STRING:	عالبيتين
     IS_TRANS:	EAlbytyn
        INDEX:	P175W3
      OFFSETS:	8-16
       TOKENS:	P175W3-P175W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EAlbytyn)
          POS:	TYPO
          VOC:	EAlbytyn
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P175W4
      OFFSETS:	16-17
       TOKENS:	P175W4-P175W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	أكلت
     IS_TRANS:	>klt
        INDEX:	P175W5
      OFFSETS:	18-22
       TOKENS:	P175W5-P175W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~il_1]
   UNSPLITVOC:	(Ak~ilt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Ak~il+t
        GLOSS:	feed/eat/give food+I

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P175W6
      OFFSETS:	22-23
       TOKENS:	P175W6-P175W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	روحت
     IS_TRANS:	rwHt
        INDEX:	P175W7
      OFFSETS:	24-28
       TOKENS:	P175W7-P175W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(raw~aHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	raw~aH+t
        GLOSS:	go home+I

 INPUT STRING:	لعبت
     IS_TRANS:	lEbt
        INDEX:	P175W8
      OFFSETS:	29-33
       TOKENS:	P175W8-P175W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(liEibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	liEib+t
        GLOSS:	play+I

 INPUT STRING:	بلايستيشن
     IS_TRANS:	blAysty$n
        INDEX:	P175W9
      OFFSETS:	34-43
       TOKENS:	P175W9-P175W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(blAysty$n)
          POS:	FOREIGN
          VOC:	blAysty$n
        GLOSS:	nogloss

 INPUT STRING:	##
     IS_TRANS:	##
        INDEX:	P175W10
      OFFSETS:	44-46
       TOKENS:	P175W10-P175W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(##)
          POS:	PUNC
          VOC:	##
        GLOSS:	##

 INPUT STRING:	ورجعت
     IS_TRANS:	wrjEt
        INDEX:	P175W11
      OFFSETS:	47-52
       TOKENS:	P175W11-P175W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(wirijiEt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+rijiE+t
        GLOSS:	and+come back/go back/return back/return+I

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P175W12
      OFFSETS:	52-53
       TOKENS:	P175W13-P175W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	أكلت
     IS_TRANS:	>klt
        INDEX:	P175W13
      OFFSETS:	54-58
       TOKENS:	P175W14-P175W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~il_1]
   UNSPLITVOC:	(Ak~ilt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Ak~il+t
        GLOSS:	feed/eat/give food+I

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P175W14
      OFFSETS:	58-59
       TOKENS:	P175W15-P175W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	نمت
     IS_TRANS:	nmt
        INDEX:	P175W15
      OFFSETS:	60-63
       TOKENS:	P175W16-P175W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nim+t
        GLOSS:	sleep/lie down+I

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P175W16
      OFFSETS:	64-66
       TOKENS:	P175W17-P175W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P175W17
      OFFSETS:	67-70
       TOKENS:	P175W18-P175W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P175W18
      OFFSETS:	71-74
       TOKENS:	P175W19-P175W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	بوسيتيف
     IS_TRANS:	bwsytyf
        INDEX:	P175W19
      OFFSETS:	75-82
       TOKENS:	P175W20-P175W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bwsytyf)
          POS:	FOREIGN
          VOC:	bwsytyf
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P176W1
      OFFSETS:	0-3
       TOKENS:	P176W1-P176W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P176W2
      OFFSETS:	4-7
       TOKENS:	P176W2-P176W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
