 INPUT STRING:	شفتي
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	bi+rAH+ap+uh
        GLOSS:	with/by+rest/repose/leisure/palm of the hand+[fem.sg.]+his/its

 INPUT STRING:	آمين
     IS_TRANS:	|myn
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!/respond/answer

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P18W2
      OFFSETS:	5-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	rb
     IS_TRANS:	rb
        INDEX:	P18W3
      OFFSETS:	8-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab
        GLOSS:	lord/master

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يكرمهم
     IS_TRANS:	ykrmhm
        INDEX:	P19W2
      OFFSETS:	5-11
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akoram_1]
   UNSPLITVOC:	(yikorimhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+korim+hum
        GLOSS:	he/it+honor/bestow honor upon/confer/be honored/be conferred+them

 INPUT STRING:	طمنيني
     IS_TRANS:	Tmnyny
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tam~in_1]
   UNSPLITVOC:	(Tam~iniyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	Tam~in+iy+niy
        GLOSS:	assuage/calm down/pacify/reassure+you+me

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P20W2
      OFFSETS:	7-12
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W3
      OFFSETS:	13-15
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	أمنية
     IS_TRANS:	>mnyp
        INDEX:	P20W4
      OFFSETS:	16-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>umoniyap_1]
   UNSPLITVOC:	(>umoniyap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	>umoniy+ap
        GLOSS:	Omina+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P20W5
      OFFSETS:	22-25
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تقدري
     IS_TRANS:	tqdry
        INDEX:	P20W6
      OFFSETS:	26-31
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodariy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+qodar+iy
        GLOSS:	you+be able/be able to/be capable of/no capacity+you

