 INPUT STRING:	أزيك
        GLOSS:	be/was/were+we

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P16W4
      OFFSETS:	15-18
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P16W5
      OFFSETS:	19-22
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P16W6
      OFFSETS:	23-25
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(Har~)
          POS:	ADJ
          VOC:	Har~
        GLOSS:	warmth/heat

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W7
      OFFSETS:	26-28
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P16W8
      OFFSETS:	29-34
       TOKENS:	P16W9-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+h+$
        GLOSS:	not+in+it/he+not

 INPUT STRING:	رطوبة
     IS_TRANS:	rTwbp
        INDEX:	P16W9
      OFFSETS:	35-40
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruTuwbap_1]
   UNSPLITVOC:	(ruTuwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ruTuwb+ap
        GLOSS:	moistness/humidity+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	معنديش
     IS_TRANS:	mEndy$
        INDEX:	P17W2
      OFFSETS:	4-10
       TOKENS:	P17W2-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(maEanodyi$)
          POS:	NEG_PART+NOUN+POSS_PRON_1S+NEG_PART
          VOC:	ma+Eanod+iy+$
        GLOSS:	not+at/have/possession/with+my+not

 INPUT STRING:	مشاكل
     IS_TRANS:	m$Akl
        INDEX:	P17W3
      OFFSETS:	11-16
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(ma$Akil)
          POS:	NOUN
          VOC:	ma$Akil
        GLOSS:	problem/issue/problems/issues/inconveniences

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P17W4
      OFFSETS:	17-19
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الحر
     IS_TRANS:	AlHr
        INDEX:	P17W5
      OFFSETS:	20-24
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(AlHar~)
          POS:	DET+NOUN
          VOC:	Al+Har~
        GLOSS:	the+warmth/heat

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P17W6
      OFFSETS:	25-28
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P17W7
      OFFSETS:	29-32
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W8
      OFFSETS:	33-35
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P17W9
      OFFSETS:	36-39
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	رطوبة
     IS_TRANS:	rTwbp
        INDEX:	P17W10
      OFFSETS:	40-45
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruTuwbap_1]
   UNSPLITVOC:	(ruTuwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ruTuwb+ap
        GLOSS:	moistness/humidity+[fem.sg.]

 INPUT STRING:	الرطوبة
     IS_TRANS:	AlrTwbp
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruTuwbap_1]
   UNSPLITVOC:	(AlruTuwbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ruTuwb+ap
        GLOSS:	the+moistness/humidity+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P18W2
      OFFSETS:	8-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P18W3
      OFFSETS:	11-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بتخنقنى
     IS_TRANS:	btxnqnY
        INDEX:	P18W4
      OFFSETS:	15-22
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xanaq_1]
   UNSPLITVOC:	(bituxnuqniy)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1S
          VOC:	bi+tu+xnuq+niy
        GLOSS:	[present-tense]+it/they/she+suffocate/choak+me

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	حفلة
     IS_TRANS:	Hflp
        INDEX:	P19W3
      OFFSETS:	9-13
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hafolap_1]
   UNSPLITVOC:	(Hafolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hafol+ap
        GLOSS:	celebration/party/ceremony/celebrations/parties/ceremonies+[fem.sg.]

 INPUT STRING:	التخرج
     IS_TRANS:	Altxrj
        INDEX:	P19W4
      OFFSETS:	14-20
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxar~uj_1]
   UNSPLITVOC:	(Altaxar~uj)
          POS:	DET+NOUN
          VOC:	Al+taxar~uj
        GLOSS:	the+graduation

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P19W5
      OFFSETS:	21-25
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P19W6
      OFFSETS:	26-29
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P19W7
      OFFSETS:	30-35
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwmiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	today/day/some day/ever/days+two

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W8
      OFFSETS:	35-36
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P19W9
      OFFSETS:	37-40
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	السبت
     IS_TRANS:	Alsbt
        INDEX:	P19W10
      OFFSETS:	41-46
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabot_1]
   UNSPLITVOC:	(Alsabot)
          POS:	DET+NOUN
          VOC:	Al+sabot
        GLOSS:	the+Saturday/Saturdays/Sabbaths

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P19W11
      OFFSETS:	47-51
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P19W12
      OFFSETS:	52-58
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	تلاته
     IS_TRANS:	tlAth
        INDEX:	P19W13
      OFFSETS:	59-64
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[valAvap]
   UNSPLITVOC:	(talAtap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	talAt+ap
        GLOSS:	three+[fem.sg.]

 INPUT STRING:	الضهر
     IS_TRANS:	AlDhr
        INDEX:	P19W14
      OFFSETS:	65-70
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Duhor_1]
   UNSPLITVOC:	(AlDuhor)
          POS:	DET+NOUN
          VOC:	Al+Duhor
        GLOSS:	the+noon/afternoon/in the afternoon/at noon/afternoons/midday/nonday/afternon

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W15
      OFFSETS:	71-73
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عز
     IS_TRANS:	Ez
        INDEX:	P19W16
      OFFSETS:	74-76
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~_1]
   UNSPLITVOC:	(Eiz~)
          POS:	NOUN
          VOC:	Eiz~
        GLOSS:	power/rank/renown/prime/peak

 INPUT STRING:	الحر
     IS_TRANS:	AlHr
        INDEX:	P19W17
      OFFSETS:	77-81
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(AlHar~)
          POS:	DET+NOUN
          VOC:	Al+Har~
        GLOSS:	the+warmth/heat

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W18
      OFFSETS:	81-82
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P19W19
      OFFSETS:	83-88
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Alyuwm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/day/some day/ever/days

 INPUT STRING:	التاني
     IS_TRANS:	AltAny
        INDEX:	P19W20
      OFFSETS:	89-95
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AltAniy)
          POS:	DET+ADJ
          VOC:	Al+tAniy
        GLOSS:	the+second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P19W21
      OFFSETS:	96-99
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	أمبارح
     IS_TRANS:	>mbArH
        INDEX:	P19W22
      OFFSETS:	100-106
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imobAriH_1]
   UNSPLITVOC:	(<imobAriH)
          POS:	NOUN
          VOC:	<imobAriH
        GLOSS:	yesterday

 INPUT STRING:	وكانت
     IS_TRANS:	wkAnt
        INDEX:	P19W23
      OFFSETS:	107-112
       TOKENS:	P19W23-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAnit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+kAn+it
        GLOSS:	and+be/was/were+it/they/she

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P19W24
      OFFSETS:	113-119
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	عشره
     IS_TRANS:	E$rh
        INDEX:	P19W25
      OFFSETS:	120-124
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$arap_1]
   UNSPLITVOC:	(Ea$arap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	Ea$ar+ap
        GLOSS:	Gloss:TBA+[fem.sg.]

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P19W26
      OFFSETS:	125-130
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	لغاية
     IS_TRANS:	lgAyp
        INDEX:	P19W27
      OFFSETS:	131-136
       TOKENS:	P19W28-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(ligAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+gAy+ap
        GLOSS:	for/to+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	حوالي
     IS_TRANS:	HwAly
        INDEX:	P19W28
      OFFSETS:	137-142
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HawAliy_1]
   UNSPLITVOC:	(HawAliy)
          POS:	NOUN_QUANT
          VOC:	HawAliy
        GLOSS:	about, approximately, around, roughly, nearly, almost

 INPUT STRING:	الساعه
     IS_TRANS:	AlsAEh
        INDEX:	P19W29
      OFFSETS:	143-149
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	أتناشر
     IS_TRANS:	>tnA$r
        INDEX:	P19W30
      OFFSETS:	150-156
       TOKENS:	P19W32-P19W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AivonA$ar_1]
   UNSPLITVOC:	(AitonA$ar)
          POS:	NOUN_NUM
          VOC:	AivonA$ar
        GLOSS:	twelve

 INPUT STRING:	ونص
     IS_TRANS:	wnS
        INDEX:	P19W31
      OFFSETS:	157-160
       TOKENS:	P19W33-P19W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(winuS~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+nuS~
        GLOSS:	and+halves/half/centre half/splitting/crack/gap/cracks/gaps

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P19W32
      OFFSETS:	161-163
       TOKENS:	P19W35-P19W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P19W33
      OFFSETS:	164-168
       TOKENS:	P19W36-P19W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P19W34
      OFFSETS:	169-172
       TOKENS:	P19W37-P19W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	ارحم
     IS_TRANS:	ArHm
        INDEX:	P19W35
      OFFSETS:	173-177
       TOKENS:	P19W38-P19W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaroHam_1]
   UNSPLITVOC:	(AaroHam)
          POS:	ADJ
          VOC:	AaroHam
        GLOSS:	most merciful/more merciful

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W36
      OFFSETS:	178-180
       TOKENS:	P19W39-P19W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P19W37
      OFFSETS:	181-184
       TOKENS:	P19W40-P19W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	السبت
     IS_TRANS:	Alsbt
        INDEX:	P19W38
      OFFSETS:	185-190
       TOKENS:	P19W41-P19W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabot_1]
   UNSPLITVOC:	(Alsabot)
          POS:	DET+NOUN
          VOC:	Al+sabot
        GLOSS:	the+Saturday/Saturdays/Sabbaths

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P20W2
      OFFSETS:	5-7
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right/against/towards/rights/law

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W3
      OFFSETS:	8-10
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اسد
     IS_TRANS:	Asd
        INDEX:	P20W4
      OFFSETS:	11-14
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(>asad)
          POS:	NOUN
          VOC:	>asad
        GLOSS:	lion/lions/lioness

 INPUT STRING:	الرطوبه
     IS_TRANS:	AlrTwbh
        INDEX:	P20W5
      OFFSETS:	15-22
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruTuwbap_1]
   UNSPLITVOC:	(AlruTuwbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ruTuwb+ap
        GLOSS:	the+moistness/humidity+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P20W6
      OFFSETS:	23-25
       TOKENS:	P20W7-P20W7
