 INPUT STRING:	هوباااا
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P14W6
      OFFSETS:	21-25
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P14W7
      OFFSETS:	26-29
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	بوسي
     IS_TRANS:	bwsy
        INDEX:	P15W2
      OFFSETS:	4-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwsiy_1]
   UNSPLITVOC:	(buwsiy)
          POS:	NOUN_PROP
          VOC:	buwsy
        GLOSS:	Bosy

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W3
      OFFSETS:	8-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W4
      OFFSETS:	9-10
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بوسى
     IS_TRANS:	bwsY
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwsiy_1]
   UNSPLITVOC:	(buwsiy)
          POS:	NOUN_PROP
          VOC:	buwsiy
        GLOSS:	Bosy

 INPUT STRING:	قلنلها
     IS_TRANS:	qlnlhA
        INDEX:	P16W2
      OFFSETS:	5-11
       TOKENS:	P16W2-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qulnalhA)
          POS:	PV+PVSUFF_SUBJ:1P+PREP+PRON_3FS
          VOC:	qul+na+li+hA
        GLOSS:	say+we+to/for+it/them/her

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W3
      OFFSETS:	12-14
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W4
      OFFSETS:	15-17
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاضيه
     IS_TRANS:	fADyh
        INDEX:	P16W5
      OFFSETS:	18-23
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(fADoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fADoy+ap
        GLOSS:	empty/unoccupied/free+[fem.sg.]

 INPUT STRING:	انهارده
     IS_TRANS:	AnhArdh
        INDEX:	P16W6
      OFFSETS:	24-31
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	انشاءالله
     IS_TRANS:	An$A'Allh
        INDEX:	P16W7
      OFFSETS:	32-41
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$A'Allh)
          POS:	NO_FUNC
          VOC:	An$A'Allh
        GLOSS:	nogloss

 INPUT STRING:	تشوفو
     IS_TRANS:	t$wfw
        INDEX:	P16W8
      OFFSETS:	42-47
       TOKENS:	P16W10-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ti$uwfuh)
          POS:	IV3FS+IV+IVSUFF_DO:3MS
          VOC:	ti+$uwf+uh
        GLOSS:	it/they/she+look+it/him

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P16W9
      OFFSETS:	48-52
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	عاوزاها
     IS_TRANS:	EAwzAhA
        INDEX:	P17W2
      OFFSETS:	4-11
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozAhA)
          POS:	ADJ.VN+NSUFF_FEM_SG+PRON_3FS
          VOC:	EAwoz+ap+hA
        GLOSS:	wanting/needing+[fem.sg.]+it/them/her

 INPUT STRING:	تبقه
     IS_TRANS:	tbqh
        INDEX:	P17W3
      OFFSETS:	12-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tbqh)
          POS:	TYPO
          VOC:	tbqh
        GLOSS:	nogloss

 INPUT STRING:	مفاجاه
     IS_TRANS:	mfAjAh
        INDEX:	P17W4
      OFFSETS:	17-23
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mifAjo>ap_1]
   UNSPLITVOC:	(mifAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mifAjo>+ap
        GLOSS:	surprise/surprises/by surprise+[fem.sg.]

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P17W5
      OFFSETS:	24-28
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+she/it

 INPUT STRING:	اناىو
     IS_TRANS:	AnAYw
        INDEX:	P17W6
      OFFSETS:	29-34
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AnAYw)
          POS:	TYPO
          VOC:	AnAYw
        GLOSS:	nogloss

 INPUT STRING:	مازن
     IS_TRANS:	mAzn
        INDEX:	P17W7
      OFFSETS:	35-39
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAzin_1]
   UNSPLITVOC:	(mAzin)
          POS:	NOUN_PROP
          VOC:	mAzin
        GLOSS:	Mazen/Mazin

 INPUT STRING:	برضو
     IS_TRANS:	brDw
        INDEX:	P17W8
      OFFSETS:	40-44
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuw)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P17W9
      OFFSETS:	45-47
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	طنط
     IS_TRANS:	TnT
        INDEX:	P17W10
      OFFSETS:	48-51
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TanoT_1]
   UNSPLITVOC:	(TanoT)
          POS:	NOUN
          VOC:	TanoT
        GLOSS:	paternal aunt/auntie/aunt

 INPUT STRING:	قالتلها
     IS_TRANS:	qAltlhA
        INDEX:	P17W11
      OFFSETS:	52-59
       TOKENS:	P17W13-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit_lahA)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_3FS
          VOC:	qAl+it+li+hA
        GLOSS:	said/say/be said/(for example)+it/they/she+to/for+it/them/her

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P17W12
      OFFSETS:	60-63
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bqh)
          POS:	TYPO
          VOC:	bqh
        GLOSS:	nogloss

 INPUT STRING:	حمد
     IS_TRANS:	Hmd
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(Hamod)
          POS:	NOUN
          VOC:	Hamod
        GLOSS:	commendation/praise

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P18W2
      OFFSETS:	4-8
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P18W3
      OFFSETS:	9-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سلامتكم
     IS_TRANS:	slAmtkm
        INDEX:	P18W4
      OFFSETS:	13-20
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(salAmitkum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2P
          VOC:	salAm+ap+kum
        GLOSS:	security/safety/integrity+[fem.sg.]+your

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P18W5
      OFFSETS:	21-25
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	مبسوطة
     IS_TRANS:	mbswTp
        INDEX:	P19W1
      OFFSETS:	0-6
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabosuwT_1]
   UNSPLITVOC:	(mabosuwTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mabosuwT+ap
        GLOSS:	cheerful+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P19W2
      OFFSETS:	7-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P19W3
      OFFSETS:	11-14
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	سافرتي
     IS_TRANS:	sAfrty
        INDEX:	P19W4
      OFFSETS:	15-21
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(sAfirtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	sAfir+tiy
        GLOSS:	travel+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P19W5
      OFFSETS:	22-27
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	ومبسوطة
     IS_TRANS:	wmbswTp
        INDEX:	P20W1
      OFFSETS:	0-7
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabosuwT_1]
   UNSPLITVOC:	(wimabosuwTap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+mabosuwT+ap
        GLOSS:	and+cheerful+[fem.sg.]

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P20W2
      OFFSETS:	8-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P20W3
      OFFSETS:	13-18
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	خالتي
     IS_TRANS:	xAlty
        INDEX:	P20W4
      OFFSETS:	19-24
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlap_1]
   UNSPLITVOC:	(xAltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	xAl+ap+iy
        GLOSS:	maternal aunt/maternal aunts+[fem.sg.]+my

 INPUT STRING:	الصراحة
     IS_TRANS:	AlSrAHp
        INDEX:	P20W5
      OFFSETS:	25-32
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(AlSarAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SarAH+ap
        GLOSS:	the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	
     IS_TRANS:	&#xe056;
        INDEX:	P20W6
      OFFSETS:	33-34
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe056;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

