 INPUT STRING:	بست
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	غلطان
     IS_TRANS:	glTAn
        INDEX:	P235W3
      OFFSETS:	9-14
       TOKENS:	P235W3-P235W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTAn_1]
   UNSPLITVOC:	(galoTAn)
          POS:	ADJ
          VOC:	galoTAn
        GLOSS:	wrong/erring

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P236W1
      OFFSETS:	0-2
       TOKENS:	P236W1-P236W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P236W2
      OFFSETS:	3-5
       TOKENS:	P236W2-P236W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P236W3
      OFFSETS:	6-8
       TOKENS:	P236W3-P236W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تلحقيش
     IS_TRANS:	tlHqy$
        INDEX:	P236W4
      OFFSETS:	9-15
       TOKENS:	P236W4-P236W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(tiloHaqiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+loHaq+iy+$
        GLOSS:	you+follow/be attached/[help!]/reach+you+not

 INPUT STRING:	حألحق
     IS_TRANS:	H>lHq
        INDEX:	P237W1
      OFFSETS:	0-5
       TOKENS:	P237W1-P237W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(HaAaloHaq)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+loHaq
        GLOSS:	will+I+follow/be attached/[help!]/reach

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P237W2
      OFFSETS:	6-7
       TOKENS:	P237W3-P237W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P238W1
      OFFSETS:	0-2
       TOKENS:	P238W1-P238W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P238W2
      OFFSETS:	3-5
       TOKENS:	P238W2-P238W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P238W3
      OFFSETS:	6-8
       TOKENS:	P238W3-P238W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	لحقتي
     IS_TRANS:	lHqty
        INDEX:	P238W4
      OFFSETS:	9-14
       TOKENS:	P238W4-P238W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(liHiqtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	liHiq+tiy
        GLOSS:	follow/be attached/[help!]/reach+you

 INPUT STRING:	الأذان
     IS_TRANS:	Al>*An
        INDEX:	P238W5
      OFFSETS:	15-21
       TOKENS:	P238W5-P238W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a*An_1]
   UNSPLITVOC:	(Al>a*An)
          POS:	DET+NOUN
          VOC:	Al+>a*An
        GLOSS:	the+call to prayer

 INPUT STRING:	يأذن
     IS_TRANS:	y>*n
        INDEX:	P238W6
      OFFSETS:	22-26
       TOKENS:	P238W6-P238W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a*~in_1]
   UNSPLITVOC:	(yi>a*~in)
          POS:	IV3MS+IV
          VOC:	yi+>a*~in
        GLOSS:	he/it+call pray/call prayer

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P238W7
      OFFSETS:	27-32
       TOKENS:	P238W7-P238W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	while+you [fem.sg.]/you/feminine

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P238W8
      OFFSETS:	33-36
       TOKENS:	P238W9-P238W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	حاتبتدي
     IS_TRANS:	HAtbtdy
        INDEX:	P238W9
      OFFSETS:	37-44
       TOKENS:	P238W10-P238W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AibtdaY_1]
   UNSPLITVOC:	(HAtibtidiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	HA+ti+btid+iy
        GLOSS:	will+you+start+you

 INPUT STRING:	تشربي
     IS_TRANS:	t$rby
        INDEX:	P238W10
      OFFSETS:	45-50
       TOKENS:	P238W12-P238W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(ti$orabiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+$orab+iy
        GLOSS:	you+drink/be drunk/be caused absorb/soak up/make drink/sip/water/sate+you

 INPUT STRING:	مية
     IS_TRANS:	myp
        INDEX:	P238W11
      OFFSETS:	51-54
       TOKENS:	P238W13-P238W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~ap_1]
   UNSPLITVOC:	(may~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	may~+ap
        GLOSS:	water+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P238W12
      OFFSETS:	54-55
       TOKENS:	P238W14-P238W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	وأول
     IS_TRANS:	w>wl
        INDEX:	P239W1
      OFFSETS:	0-4
       TOKENS:	P239W1-P239W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(wiAw~il)
          POS:	CONJ+ADJ
          VOC:	wi+Aw~il
        GLOSS:	and+first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P239W2
      OFFSETS:	5-7
       TOKENS:	P239W3-P239W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	يأذن
     IS_TRANS:	y>*n
        INDEX:	P239W3
      OFFSETS:	8-12
       TOKENS:	P239W4-P239W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a*~in_1]
   UNSPLITVOC:	(yi>a*~in)
          POS:	IV3MS+IV
          VOC:	yi+>a*~in
        GLOSS:	he/it+call pray/call prayer

 INPUT STRING:	بطنك
     IS_TRANS:	bTnk
        INDEX:	P239W4
      OFFSETS:	13-17
       TOKENS:	P239W5-P239W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTon_1]
   UNSPLITVOC:	(baTonik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	baTon+ik
        GLOSS:	stomach/depth/stomachs/interior+your

 INPUT STRING:	توجعك
     IS_TRANS:	twjEk
        INDEX:	P239W5
      OFFSETS:	18-23
       TOKENS:	P239W7-P239W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(tiwojaEik)
          POS:	IV3FS+IV+IVSUFF_DO:2FS
          VOC:	ti+wojaE+ik
        GLOSS:	it/they/she+pain/suffer/ache/hurt+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P239W6
      OFFSETS:	24-26
       TOKENS:	P239W9-P239W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الجوع
     IS_TRANS:	AljwE
        INDEX:	P239W7
      OFFSETS:	27-32
       TOKENS:	P239W10-P239W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwE_1]
   UNSPLITVOC:	(AljuwE)
          POS:	DET+NOUN
          VOC:	Al+juwE
        GLOSS:	the+hunger/starvation/of hunger/of starvation

 INPUT STRING:	وفجأة
     IS_TRANS:	wfj>p
        INDEX:	P239W8
      OFFSETS:	33-38
       TOKENS:	P239W11-P239W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(wifajo>ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+fajo>+ap
        GLOSS:	and+suddenly+[fem.sg.]

 INPUT STRING:	ريئك
     IS_TRANS:	ry}k
        INDEX:	P239W9
      OFFSETS:	39-43
       TOKENS:	P239W13-P239W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ry}k)
          POS:	TYPO
          VOC:	ry}k
        GLOSS:	nogloss

 INPUT STRING:	ينشف
     IS_TRANS:	yn$f
        INDEX:	P239W10
      OFFSETS:	44-48
       TOKENS:	P239W14-P239W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ni$if_1]
   UNSPLITVOC:	(yino$af)
          POS:	IV3MS+IV
          VOC:	yi+no$af
        GLOSS:	he/it+dry

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P240W1
      OFFSETS:	0-3
       TOKENS:	P240W1-P240W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P240W2
      OFFSETS:	4-8
       TOKENS:	P240W2-P240W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P240W3
      OFFSETS:	9-12
       TOKENS:	P240W3-P240W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P240W4
      OFFSETS:	13-17
       TOKENS:	P240W4-P240W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	أفطر
     IS_TRANS:	>fTr
        INDEX:	P240W5
      OFFSETS:	18-22
       TOKENS:	P240W5-P240W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fitir_1]
   UNSPLITVOC:	(>afTar)
          POS:	IV1S+IV
          VOC:	>a+fTar
        GLOSS:	I+eat breakfast

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P240W6
      OFFSETS:	23-27
       TOKENS:	P240W6-P240W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	NOUN
          VOC:	EAdiy
        GLOSS:	aggressive/hostile/ordinary/normal/regular/chaser/plain

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P241W1
      OFFSETS:	0-1
       TOKENS:	P241W1-P241W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P242W1
      OFFSETS:	0-4
       TOKENS:	P242W1-P242W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hahahah)
          POS:	INTERJ
          VOC:	hahahah
        GLOSS:	laughing

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P242W2
      OFFSETS:	5-9
       TOKENS:	P242W2-P242W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P242W3
      OFFSETS:	10-12
       TOKENS:	P242W3-P242W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P242W4
      OFFSETS:	13-15
       TOKENS:	P242W4-P242W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/paternal uncles

 INPUT STRING:	الجامد
     IS_TRANS:	AljAmd
        INDEX:	P242W5
      OFFSETS:	16-22
       TOKENS:	P242W5-P242W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmid_1]
   UNSPLITVOC:	(AljAmid)
          POS:	DET+ADJ
          VOC:	Al+jAmid
        GLOSS:	the+frozen/rigid/inorganic

 INPUT STRING:	عيب
     IS_TRANS:	Eyb
        INDEX:	P243W1
      OFFSETS:	0-3
       TOKENS:	P243W1-P243W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiyb_1]
   UNSPLITVOC:	(Eiyb)
          POS:	NOUN
          VOC:	Eiyb
        GLOSS:	shame/fault/faults/weaknesses

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P243W2
      OFFSETS:	4-8
       TOKENS:	P243W2-P243W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P243W3
      OFFSETS:	9-12
       TOKENS:	P243W4-P243W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	جامدة
     IS_TRANS:	jAmdp
        INDEX:	P243W4
      OFFSETS:	13-18
       TOKENS:	P243W5-P243W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmid_1]
   UNSPLITVOC:	(jAmodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAmod+ap
        GLOSS:	frozen/rigid/inorganic+[fem.sg.]

 INPUT STRING:	فشخ
     IS_TRANS:	f$x
        INDEX:	P243W5
      OFFSETS:	19-22
       TOKENS:	P243W6-P243W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$ax_1]
   UNSPLITVOC:	(fa$ax)
          POS:	NOUN
          VOC:	fa$ax
        GLOSS:	digusting/spreading

 INPUT STRING:	لاابهرتيني
     IS_TRANS:	lAAbhrtyny
        INDEX:	P244W1
      OFFSETS:	0-10
       TOKENS:	P244W1-P244W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAAbhrtyny)
          POS:	NO_FUNC
          VOC:	lAAbhrtyny
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P245W1
      OFFSETS:	0-2
       TOKENS:	P245W1-P245W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P245W2
      OFFSETS:	3-6
       TOKENS:	P245W2-P245W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	صدري
     IS_TRANS:	Sdry
        INDEX:	P245W3
      OFFSETS:	7-11
       TOKENS:	P245W3-P245W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidor_1]
   UNSPLITVOC:	(Sidoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Sidor+iy
        GLOSS:	chest+my

 INPUT STRING:	عنية
     IS_TRANS:	Enyp
        INDEX:	P246W1
      OFFSETS:	0-4
       TOKENS:	P246W1-P246W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eiyn_1]
   UNSPLITVOC:	(Einiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Einiy~+ap
        GLOSS:	eyes+[fem.sg.]

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P247W1
      OFFSETS:	0-3
       TOKENS:	P247W1-P247W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P247W2
      OFFSETS:	3-4
       TOKENS:	P247W2-P247W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P247W3
      OFFSETS:	5-8
       TOKENS:	P247W3-P247W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شمال
     IS_TRANS:	$mAl
        INDEX:	P247W4
      OFFSETS:	9-13
       TOKENS:	P247W4-P247W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$imAl_1]
   UNSPLITVOC:	($imAl)
          POS:	NOUN
          VOC:	$imAl
        GLOSS:	left

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P247W5
      OFFSETS:	14-17
       TOKENS:	P247W5-P247W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P247W6
      OFFSETS:	18-21
       TOKENS:	P247W6-P247W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P248W1
      OFFSETS:	0-1
       TOKENS:	P248W1-P248W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	تأمر
     IS_TRANS:	t>mr
        INDEX:	P249W1
      OFFSETS:	0-4
       TOKENS:	P249W1-P249W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(t>mr)
          POS:	TYPO
          VOC:	t>mr
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P249W2
      OFFSETS:	5-6
       TOKENS:	P249W2-P249W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P250W1
      OFFSETS:	0-2
       TOKENS:	P250W1-P250W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P250W2
      OFFSETS:	3-7
       TOKENS:	P250W2-P250W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ
          VOC:	EAyiz
        GLOSS:	needing/liking/requiring/wanting/desiring

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P250W3
      OFFSETS:	8-12
       TOKENS:	P250W3-P250W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	ثانية
     IS_TRANS:	vAnyp
        INDEX:	P250W4
      OFFSETS:	13-18
       TOKENS:	P250W4-P250W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	vAnoy+ap
        GLOSS:	second+[fem.sg.]

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P250W5
      OFFSETS:	19-24
       TOKENS:	P250W5-P250W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
