 INPUT STRING:	وند
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W10
      OFFSETS:	36-39
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P9W11
      OFFSETS:	40-43
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Twl)
          POS:	FOREIGN
          VOC:	Twl
        GLOSS:	nogloss

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P9W12
      OFFSETS:	44-46
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	مفشوخة
     IS_TRANS:	mf$wxp
        INDEX:	P9W13
      OFFSETS:	47-53
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maf$uwx_1]
   UNSPLITVOC:	(maf$uwxap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mf$wx+ap
        GLOSS:	wide opened/spread/weary+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W14
      OFFSETS:	54-57
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAn)
          POS:	FOREIGN
          VOC:	kAn
        GLOSS:	nogloss

 INPUT STRING:	وأنجين
     IS_TRANS:	w>njyn
        INDEX:	P9W15
      OFFSETS:	58-64
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w>njyn)
          POS:	FOREIGN
          VOC:	w>njyn
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P9W16
      OFFSETS:	65-70
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	تعبانة
     IS_TRANS:	tEbAnp
        INDEX:	P9W17
      OFFSETS:	71-77
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobAn_1]
   UNSPLITVOC:	(taEobAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	taEobAn+ap
        GLOSS:	tired/weary/oppressed/overburdened/suppressed/fed up/stressed/exhausted+[fem.sg.]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P9W18
      OFFSETS:	78-81
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(Aawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	تودي
     IS_TRANS:	twdy
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twdy)
          POS:	FOREIGN
          VOC:	twdy
        GLOSS:	nogloss

 INPUT STRING:	وز
     IS_TRANS:	wz
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wz)
          POS:	FOREIGN
          VOC:	wz
        GLOSS:	nogloss

 INPUT STRING:	أمازينغ
     IS_TRANS:	>mAzyng
        INDEX:	P10W4
      OFFSETS:	13-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>mAzyng)
          POS:	FOREIGN
          VOC:	>mAzyng
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P10W5
      OFFSETS:	21-26
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P11W2
      OFFSETS:	4-7
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	مبسوط
     IS_TRANS:	mbswT
        INDEX:	P11W3
      OFFSETS:	8-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabosuwT_1]
   UNSPLITVOC:	(mabosuwT)
          POS:	ADJ
          VOC:	mabosuwT
        GLOSS:	cheerful

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P12W2
      OFFSETS:	3-10
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAlnisobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	لجوهري
     IS_TRANS:	ljwhry
        INDEX:	P12W3
      OFFSETS:	11-17
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwhariy_1]
   UNSPLITVOC:	(lijuwhariy)
          POS:	PREP+NOUN_PROP
          VOC:	li+jwhry
        GLOSS:	for/to+Gohary

 INPUT STRING:	لفيت
     IS_TRANS:	lfyt
        INDEX:	P12W4
      OFFSETS:	18-22
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lfyt)
          POS:	FOREIGN
          VOC:	lfyt
        GLOSS:	nogloss

 INPUT STRING:	عر
     IS_TRANS:	Er
        INDEX:	P12W5
      OFFSETS:	23-25
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Er)
          POS:	FOREIGN
          VOC:	Er
        GLOSS:	nogloss

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P12W6
      OFFSETS:	26-28
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ly)
          POS:	FOREIGN
          VOC:	ly
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W7
      OFFSETS:	29-32
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W8
      OFFSETS:	33-34
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P12W9
      OFFSETS:	35-36
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/labor/business

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	قوس
     IS_TRANS:	qws
        INDEX:	P13W3
      OFFSETS:	7-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(qws)
          POS:	FOREIGN
          VOC:	qws
        GLOSS:	nogloss

 INPUT STRING:	وحت
     IS_TRANS:	wHt
        INDEX:	P13W4
      OFFSETS:	11-14
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wHt)
          POS:	FOREIGN
          VOC:	wHt
        GLOSS:	nogloss

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P13W5
      OFFSETS:	15-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hy)
          POS:	FOREIGN
          VOC:	hy
        GLOSS:	nogloss

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P13W6
      OFFSETS:	18-21
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAm)
          POS:	FOREIGN
          VOC:	kAm
        GLOSS:	nogloss

 INPUT STRING:	باك
     IS_TRANS:	bAk
        INDEX:	P13W7
      OFFSETS:	22-25
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAk)
          POS:	FOREIGN
          VOC:	bAk
        GLOSS:	nogloss

 INPUT STRING:	ناوي
     IS_TRANS:	nAwy
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nAwy)
          POS:	FOREIGN
          VOC:	nAwy
        GLOSS:	nogloss

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(qwy)
          POS:	FOREIGN
          VOC:	qwy
        GLOSS:	nogloss

 INPUT STRING:	ليف
     IS_TRANS:	lyf
        INDEX:	P14W3
      OFFSETS:	9-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyf)
          POS:	FOREIGN
          VOC:	lyf
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P14W4
      OFFSETS:	13-14
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w)
          POS:	FOREIGN
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place+he/it

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P15W2
      OFFSETS:	4-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P15W3
      OFFSETS:	9-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P15W4
      OFFSETS:	13-16
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W5
      OFFSETS:	16-17
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W2
      OFFSETS:	4-5
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W3
      OFFSETS:	5-6
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W4
      OFFSETS:	6-7
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	رجع
     IS_TRANS:	rjE
        INDEX:	P17W3
      OFFSETS:	8-11
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijiE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rijiE+(null)
        GLOSS:	come back/go back/return back/return+he/it

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P17W4
      OFFSETS:	12-14
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you

 INPUT STRING:	ياي
     IS_TRANS:	yAy
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAy_1]
   UNSPLITVOC:	(yAy)
          POS:	INTERJ
          VOC:	yAy
        GLOSS:	yeah/yes

