 INPUT STRING:	ولاء
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jAbit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	jAb+it
        GLOSS:	bring+it/they/she

 INPUT STRING:	الداخلي
     IS_TRANS:	AldAxly
        INDEX:	P9W3
      OFFSETS:	9-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AldAxaliy_1]
   UNSPLITVOC:	(AldAxaliy)
          POS:	DET+ADJ
          VOC:	Al+dAxaliy
        GLOSS:	the+inner

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W4
      OFFSETS:	17-22
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W5
      OFFSETS:	23-26
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(lil~`h)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~`h
        GLOSS:	to/for+Allah/God

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	27-28
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W7
      OFFSETS:	28-29
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	رزقه
     IS_TRANS:	rzqh
        INDEX:	P9W8
      OFFSETS:	29-33
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rizq_1]
   UNSPLITVOC:	(rizquh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	rizq+uh
        GLOSS:	livelihood/sustenance/rations+his/its

 INPUT STRING:	واسع
     IS_TRANS:	wAsE
        INDEX:	P9W9
      OFFSETS:	34-38
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsiE_1]
   UNSPLITVOC:	(wAsiE)
          POS:	ADJ
          VOC:	wAsiE
        GLOSS:	wide/extensive/broad

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W10
      OFFSETS:	39-44
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W11
      OFFSETS:	45-48
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(lil~`h)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~`h
        GLOSS:	to/for+Allah/God

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P9W12
      OFFSETS:	49-50
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P9W13
      OFFSETS:	50-51
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P10W2
      OFFSETS:	3-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	generality/totality/in general/generally/(House of) Commons+[acc.indef.]

 INPUT STRING:	جيبي
     IS_TRANS:	jyby
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jiybiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	jiyb+iy
        GLOSS:	bring+you

 INPUT STRING:	الداخلي
     IS_TRANS:	AldAxly
        INDEX:	P10W4
      OFFSETS:	14-21
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AldAxaliy_1]
   UNSPLITVOC:	(AldAxaliy)
          POS:	DET+ADJ
          VOC:	Al+dAxaliy
        GLOSS:	the+inner

 INPUT STRING:	وصلتك
     IS_TRANS:	wSltk
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(wiSolitik)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:2FS
          VOC:	wiSol+it+ik
        GLOSS:	connect/arrive/reach+it/they/she+you

 INPUT STRING:	النمرة
     IS_TRANS:	Alnmrp
        INDEX:	P11W2
      OFFSETS:	6-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nimorap_1]
   UNSPLITVOC:	(Alnimorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nimor+ap
        GLOSS:	the+number+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P11W3
      OFFSETS:	13-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بعتها
     IS_TRANS:	bEthA
        INDEX:	P11W4
      OFFSETS:	17-22
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(baEat~ahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	baEat+~+hA
        GLOSS:	send+I+it/them/her

 INPUT STRING:	انهاردة
     IS_TRANS:	AnhArdp
        INDEX:	P11W5
      OFFSETS:	23-30
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~ahArdap_1]
   UNSPLITVOC:	(Ain~ahArdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArd+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P11W6
      OFFSETS:	31-35
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liki)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you [fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W7
      OFFSETS:	35-36
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P12W3
      OFFSETS:	10-16
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+make stay+you

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P12W4
      OFFSETS:	17-21
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wi>anA)
          POS:	PART+PRON_1S
          VOC:	wi+>anA
        GLOSS:	so/and+I

 INPUT STRING:	قلتهلها
     IS_TRANS:	qlthlhA
        INDEX:	P12W5
      OFFSETS:	22-29
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qlthlhA)
          POS:	TYPO
          VOC:	qlthlhA
        GLOSS:	nogloss

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P12W6
      OFFSETS:	30-32
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P12W7
      OFFSETS:	33-38
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isomhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<isom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	شيماء
     IS_TRANS:	$ymA'
        INDEX:	P12W8
      OFFSETS:	39-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aymA'_1]
   UNSPLITVOC:	($aymA')
          POS:	NOUN_PROP
          VOC:	$aymA'
        GLOSS:	Shaima

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	وكلمها
     IS_TRANS:	wklmhA
        INDEX:	P14W2
      OFFSETS:	5-11
       TOKENS:	P14W2-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(wakal~imhA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	wa+kal~im+(null)+hA
        GLOSS:	and+talk/speak+he/it+it/them/her

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P14W3
      OFFSETS:	12-16
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W4
      OFFSETS:	17-19
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~a)
          POS:	SUB_CONJ
          VOC:	<in~a
        GLOSS:	despite/even if/in spite of the fact that/verily/Although/(even) though/that/indeed

 INPUT STRING:	شاآ
     IS_TRANS:	$A|
        INDEX:	P14W5
      OFFSETS:	20-23
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($A|)
          POS:	TYPO
          VOC:	$A|
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W6
      OFFSETS:	24-28
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P15W3
      OFFSETS:	10-14
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sah~al_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate/make easy

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W4
      OFFSETS:	15-17
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$~_1]
   UNSPLITVOC:	(mi$~)
          POS:	NEG_PART
          VOC:	mi$~
        GLOSS:	not

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P15W5
      OFFSETS:	18-24
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting+[pl.]

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P15W6
      OFFSETS:	25-29
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P15W7
      OFFSETS:	30-34
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ_COMP
          VOC:	tAniy
        GLOSS:	again/once more/second

 INPUT STRING:	قوليلي
     IS_TRANS:	qwlyly
        INDEX:	P16W1
      OFFSETS:	0-6
       TOKENS:	P16W1-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	quwl+iy+li+iy
        GLOSS:	said/say/be said/(for example)+you+to/for+I

 INPUT STRING:	احيب
     IS_TRANS:	AHyb
        INDEX:	P16W2
      OFFSETS:	7-11
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AHyb)
          POS:	TYPO
          VOC:	AHyb
        GLOSS:	nogloss

 INPUT STRING:	شتوي
     IS_TRANS:	$twy
        INDEX:	P16W3
      OFFSETS:	12-16
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$itowiy_1]
   UNSPLITVOC:	($itowiy)
          POS:	ADJ
          VOC:	$itowiy
        GLOSS:	winter/wintery

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P16W4
      OFFSETS:	17-21
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more/most/majority

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P16W5
      OFFSETS:	22-26
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(<inotiy)
          POS:	PRON_2FS
          VOC:	<inotiy
        GLOSS:	you [fem.sg.]/you

 INPUT STRING:	هتلحقي
     IS_TRANS:	htlHqy
        INDEX:	P16W6
      OFFSETS:	27-33
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(HatiloHaqiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+loHaq+iy
        GLOSS:	will+you+follow/be attached/caught/achieve/help/catch up with/reach+you

 INPUT STRING:	البرد
     IS_TRANS:	Albrd
        INDEX:	P16W7
      OFFSETS:	34-39
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barod_1]
   UNSPLITVOC:	(Albarod)
          POS:	DET+NOUN
          VOC:	Al+barod
        GLOSS:	the+cold/cooling

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P16W8
      OFFSETS:	40-43
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P16W9
      OFFSETS:	44-48
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P16W10
      OFFSETS:	49-53
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P16W11
      OFFSETS:	54-58
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iz~Ay_1]
   UNSPLITVOC:	(<iz~Ay)
          POS:	REL_ADV
          VOC:	<iz~Ay
        GLOSS:	How

 INPUT STRING:	ادعيلنا
     IS_TRANS:	AdEylnA
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(AidoEiy_linA)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1P
          VOC:	AidoE+iy+li+nA
        GLOSS:	call someone names/supplicate/pray/be called/call/be invited+you+to/for+us

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P17W2
      OFFSETS:	8-10
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P17W4
      OFFSETS:	16-22
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+make stay+you

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ
          VOC:	walA
        GLOSS:	or/nor/neither

 INPUT STRING:	قطني
     IS_TRANS:	qTny
        INDEX:	P18W2
      OFFSETS:	4-8
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quToniy_1]
   UNSPLITVOC:	(quToniy)
          POS:	ADJ
          VOC:	quToniy
        GLOSS:	cotton/made of cotton

 INPUT STRING:	بكم
     IS_TRANS:	bkm
        INDEX:	P18W3
      OFFSETS:	9-12
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kum~_1]
   UNSPLITVOC:	(bikum~)
          POS:	PREP+NOUN
          VOC:	bi+kum~
        GLOSS:	with/by+armhole

 INPUT STRING:	طويل
     IS_TRANS:	Twyl
        INDEX:	P18W4
      OFFSETS:	13-17
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiyl)
          POS:	ADJ
          VOC:	Tawiyl
        GLOSS:	tall/long/for a long time/at length/extensively

 INPUT STRING:	اخسن
     IS_TRANS:	Axsn
        INDEX:	P18W5
