 INPUT STRING:	بيبي
      OFFSETS:	11-14
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ
          VOC:	Aw~il
        GLOSS:	first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P24W5
      OFFSETS:	15-17
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P24W6
      OFFSETS:	18-22
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	ذاكر
     IS_TRANS:	*Akr
        INDEX:	P24W7
      OFFSETS:	23-27
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Akir_1]
   UNSPLITVOC:	(*Akir)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	*Akir+(null)
        GLOSS:	study+he/it

 INPUT STRING:	وامتحن
     IS_TRANS:	wAmtHn
        INDEX:	P24W8
      OFFSETS:	28-34
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimotaHan_1]
   UNSPLITVOC:	(wiAimotaHan)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AimotaHan+(null)
        GLOSS:	and+examine/take an examination+he/it

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	express understanding

 INPUT STRING:	فهمت
     IS_TRANS:	fhmt
        INDEX:	P25W2
      OFFSETS:	3-7
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(fihimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	fihim+t
        GLOSS:	understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive+I

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P26W2
      OFFSETS:	4-6
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P26W3
      OFFSETS:	7-9
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lih)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+it/him

 INPUT STRING:	كتب
     IS_TRANS:	ktb
        INDEX:	P26W4
      OFFSETS:	10-13
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(kutub)
          POS:	NOUN
          VOC:	kutub
        GLOSS:	book/books

 INPUT STRING:	ومذكرة
     IS_TRANS:	wm*krp
        INDEX:	P26W5
      OFFSETS:	14-20
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*ak~irap_1]
   UNSPLITVOC:	(wimu*ak~irap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+mu*ak~ir+ap
        GLOSS:	and+reminder/memorandum/memoirs/diary+[fem.sg.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P27W2
      OFFSETS:	4-7
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	عملوه
     IS_TRANS:	Emlwh
        INDEX:	P27W3
      OFFSETS:	8-13
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaluwh)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	Eamal+uwA+uh
        GLOSS:	function/make/act/do+they+it/him

 INPUT STRING:	ونجحوا
     IS_TRANS:	wnjHwA
        INDEX:	P27W4
      OFFSETS:	14-20
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najaH_1]
   UNSPLITVOC:	(winajaHuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+najaH+uwA
        GLOSS:	and+succeed+they

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P28W2
      OFFSETS:	3-5
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	faces

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W3
      OFFSETS:	6-8
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فريش
     IS_TRANS:	fry$
        INDEX:	P28W4
      OFFSETS:	9-13
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fry$)
          POS:	FOREIGN
          VOC:	fry$
        GLOSS:	nogloss

 INPUT STRING:	غرادس
     IS_TRANS:	grAds
        INDEX:	P28W5
      OFFSETS:	14-19
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(grAds)
          POS:	FOREIGN
          VOC:	grAds
        GLOSS:	nogloss

 INPUT STRING:	جرادز
     IS_TRANS:	jrAdz
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jrAdz)
          POS:	FOREIGN
          VOC:	jrAdz
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	أسأل
     IS_TRANS:	>s>l
        INDEX:	P30W2
      OFFSETS:	4-8
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>al)
          POS:	IV1S+IV
          VOC:	Aa+so>al
        GLOSS:	I+ask/inquire/request/be asked

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P30W3
      OFFSETS:	9-12
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	REL_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W4
      OFFSETS:	12-13
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P31W2
      OFFSETS:	3-5
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P31W3
      OFFSETS:	6-10
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	فريش
     IS_TRANS:	fry$
        INDEX:	P31W4
      OFFSETS:	11-15
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fry$)
          POS:	FOREIGN
          VOC:	fry$
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P32W2
      OFFSETS:	4-7
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	those

 INPUT STRING:	والنبي
     IS_TRANS:	wAlnby
        INDEX:	P32W3
      OFFSETS:	8-14
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nabiy_1]
   UNSPLITVOC:	(wiAlnabiy)
          POS:	PREP+DET+NOUN_PROP
          VOC:	wi+Al+nabiy
        GLOSS:	by+the+Naby

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P33W2
      OFFSETS:	4-7
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P33W3
      OFFSETS:	8-10
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ذات
     IS_TRANS:	*At
        INDEX:	P33W4
      OFFSETS:	11-14
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(*At)
          POS:	NOUN
          VOC:	*At
        GLOSS:	same/self/essence/selves/beings/exactly/precisely/having

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P33W5
      OFFSETS:	15-20
       TOKENS:	P33W5-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves/soul/souls+its/their/her

 INPUT STRING:	وصحابها
     IS_TRANS:	wSHAbhA
        INDEX:	P33W6
      OFFSETS:	21-28
       TOKENS:	P33W7-P33W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiSuHAbhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+SuHAb+hA
        GLOSS:	and+owner/originator/owners/originators/friend/companion/friends/companions+its/their/her

 INPUT STRING:	نجحوا
     IS_TRANS:	njHwA
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nijiH_1]
   UNSPLITVOC:	(nijoHuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nijoH+uwA
        GLOSS:	succeed/make successful/become expert/successful/pass+they

 INPUT STRING:	بالعافية
     IS_TRANS:	bAlEAfyp
        INDEX:	P34W2
      OFFSETS:	6-14
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAfoyap_1]
   UNSPLITVOC:	(biAlEAfoyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+EAfoy+ap
        GLOSS:	with/by+the+difficulty+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P34W3
      OFFSETS:	15-19
       TOKENS:	P34W4-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P34W4
      OFFSETS:	20-23
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P34W5
      OFFSETS:	24-29
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	at/have/possession/with+their

 INPUT STRING:	أكسبيرينس
     IS_TRANS:	>ksbyryns
        INDEX:	P34W6
      OFFSETS:	30-39
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>ksbyryns)
          POS:	FOREIGN
          VOC:	>ksbyryns
        GLOSS:	nogloss

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	ones

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P35W2
      OFFSETS:	5-8
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	بيمرنا
     IS_TRANS:	bymrnA
        INDEX:	P35W3
      OFFSETS:	9-15
       TOKENS:	P35W3-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mar~an_1]
   UNSPLITVOC:	(biyimar~an~A)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:1P
          VOC:	bi+yi+mar~an+nA
        GLOSS:	[present-tense]+he/it+field+us

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P35W4
      OFFSETS:	16-18
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سلامة
     IS_TRANS:	slAmp
        INDEX:	P35W5
      OFFSETS:	19-24
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(salAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	salAm+ap
        GLOSS:	security/safety/integrity+[fem.sg.]

 INPUT STRING:	صغير
     IS_TRANS:	Sgyr
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(Sugay~ar)
          POS:	ADJ
          VOC:	Sugay~ar
        GLOSS:	young/small

 INPUT STRING:	هممم
     IS_TRANS:	hmmm
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hmm_1]
   UNSPLITVOC:	(hmm)
          POS:	INTERJ
          VOC:	hmm
        GLOSS:	hum

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P38W1
      OFFSETS:	0-2
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P38W2
      OFFSETS:	3-8
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P39W1
      OFFSETS:	0-5
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P40W1
      OFFSETS:	0-3
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	حأسألها
     IS_TRANS:	H>s>lhA
        INDEX:	P40W2
      OFFSETS:	4-11
       TOKENS:	P40W2-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(HaAaso>alahA)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	Ha+Aa+so>al+hA
        GLOSS:	will+I+ask/inquire/request/be asked+it/them/her

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P40W3
      OFFSETS:	12-14
       TOKENS:	P40W5-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P41W1
      OFFSETS:	0-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P41W2
      OFFSETS:	3-6
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P41W3
      OFFSETS:	7-10
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P41W4
      OFFSETS:	11-14
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Asm)
          POS:	FOREIGN
          VOC:	Asm
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P42W1
      OFFSETS:	0-3
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P42W2
      OFFSETS:	4-6
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P42W3
      OFFSETS:	7-10
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P42W4
      OFFSETS:	11-13
       TOKENS:	P42W4-P42W4
